0	Index      	 *	Score 	Summary	Detail	
1	24423 15561	 * 	307.35	DCR|DCR|2VULN|1TLV|1MLV	1MBVNT|28VULN|3MLV|4RAT|5LIT|6TLV|7TBNT|9aRCR
2	24423 14661	 * 	306.96	DCR|DCR|2MLV|1VULN|1TLV	1MBVNT|2VULN|37MLV|4RAT|5LIT|6TLV|8BBNT|9aRCR
3	24421 12216	 * 	303.07	DCR|2VULN|2MLV|2TLV|1DMG|1AAC|2RAT	1MBVNT|28VULN|36MLV|48RAT|58TLV|7AAC|8BPWR|9DMG|aRCR
4	25541 12216	   	303.07	DCR|2VULN|2MLV|2TLV|1DMG|1AAC|2RAT	1MBVNT|28RAT|36MLV|48VULN|58TLV|7AAC|8BPWR|9DMG|aRCR
5	24233 71883	 * 	302.44	DCR|DCR|2VULN|2MLV	1MBVNT|27VULN|35FRZARM|45MLV|5BPWR|69RCR|8DUST|aDUR
6	24233 73386	   	300.12	DCR|DCR|2MLV|1VULN|1TLV	1MBVNT|2VULN|35FRZARM|45MLV|5BPWR|69RCR|7LHND|8CGEN|aTLV
7	24233 38386	   	300.02	DCR|DCR|2MLV|1VULN|1TLV	1MBVNT|2VULN|35FRZARM|45MLV|5BPWR|6LEGI|79RCR|8CGEN|aTLV
8	24233 71881	   	294.13	DCR|DCR|2VULN|2MLV	1MBVNT|27VULN|35FRZARM|45MLV|5BPWR|69RCR|8DUST|aLHND
9	24233 71882	   	294.13	DCR|DCR|2VULN|2MLV	1MBVNT|27VULN|35FRZARM|45MLV|5BPWR|69RCR|8DUST|aRCVC
10	24233 71884	   	294.13	DCR|DCR|2VULN|2MLV	1MBVNT|27VULN|35FRZARM|45MLV|5BPWR|69RCR|8DUST|aLWND
11	24234 68382	   	292.88	DCR|DCR|2VULN|1MLV|1ASPD	1MBVNT|26VULN|3FRZARM|4MLV|5DUR|79RCR|8RMIN|aASPD
12	24263 74354	   	291.89	DCR|DCR|2VULN|1TLV|1DMG	1MBVNT|24VULN|3FRZARM|5TLV|6aRCR|7TBNT|8DMG|9LIT
13	24415 14182	 * 	291.49	DCR|3VULN|2MLV|2TLV|1AAC	1MBVNT|26aVULN|36MLV|4AAC|5TBNT|6aBPWR|7aERES|8RCR|9aTLV
14	24481 41861	   	289.66	DCR|3VULN|2MLV|2TLV|2DUR	1MBVNT|279VULN|37MLV|49DUR|5BEXP|67TLV|79BPWR|89CGEN|aRCR
15	24234 38386	   	289.07	DCR|DCR|1VULN|1TLV|1MLV|2DUR	1MBVNT|2VULN|3FRZARM|4MLV|56DUR|79RCR|8RMIN|aTLV
16	24238 74354	   	288.38	DCR|DCR|2VULN|1MLV|1DMG	1MBVNT|25VULN|3FRZARM|4MLV|6aRCR|7TBNT|8DMG|9LIT
17	24233 74354	   	288.09	DCR|DCR|2MLV|1VULN|1DMG	1MBVNT|2VULN|35FRZARM|45MLV|5BPWR|6aRCR|7TBNT|8DMG|9LIT
18	24263 73382	   	288.07	DCR|DCR|2VULN|1TLV|1ASPD	1MBVNT|24VULN|3FRZARM|5TLV|69RCR|7LHND|8CGEN|aASPD
19	24263 38382	   	287.97	DCR|DCR|2VULN|1TLV|1ASPD	1MBVNT|24VULN|3FRZARM|5TLV|6LEGI|79RCR|8CGEN|aASPD
