0	Index      	 *	Score 	Summary	Detail	
1	32433 23352	 * 	308.32	DCR|DCR|2MLV|1VULN|1TLV	1DUST|2LIT|3AART|4TLV|58MLV|6VULN|7aRCR|9TBNT
2	31316 26531	 * 	302.17	DCR|DCR|3VULN|1TLV	146DUST|2RMIN|345VULN|4BPWR|79RCR|8TLV|aDUR
3	61315 42232	 * 	300.31	DCR|DCR|2VULN|1TLV|1MLV	14BEXP|2RMIN|34VULN|4BPWR|5TLV|6AEFRZ|79RCR|8FEWX|aMLV
4	61315 42332	   	300.31	DCR|DCR|2VULN|1TLV|1MLV	14BEXP|2RMIN|34VULN|4BPWR|5TLV|6AEFRZ|79RCR|8LHND|aMLV
5	31315 42134	   	300.21	DCR|DCR|2VULN|1TLV|1MLV	148DUST|2RMIN|34VULN|4BPWR|5TLV|6AEFRZ|79RCR|aMLV
6	31315 42352	   	300.21	DCR|DCR|2VULN|1TLV|1MLV	14DUST|2RMIN|34VULN|4BPWR|5TLV|68AEFRZ|79RCR|aMLV
7	33315 14432	 * 	298.82	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	1DUST|24DMG|347VULN|4BPWR|5TLV|6MLV|8RCR|9AAC|aNUKE
8	31316 26532	   	293.86	DCR|DCR|3VULN|1TLV	146DUST|2RMIN|345VULN|4BPWR|79RCR|8TLV|aBBNT
9	31316 26533	   	293.86	DCR|DCR|3VULN|1TLV	146DUST|2RMIN|345VULN|4BPWR|79RCR|8TLV|aTBNT
10	61315 42231	   	293.86	DCR|DCR|3VULN|1TLV	14BEXP|2RMIN|34aVULN|4BPWR|5TLV|6AEFRZ|79RCR|8FEWX
11	61315 42331	   	293.86	DCR|DCR|3VULN|1TLV	14BEXP|2RMIN|34aVULN|4BPWR|5TLV|6AEFRZ|79RCR|8LHND
12	31315 42135	   	293.76	DCR|DCR|3VULN|1TLV	148DUST|2RMIN|34aVULN|4BPWR|5TLV|6AEFRZ|79RCR
13	31315 42351	   	293.76	DCR|DCR|3VULN|1TLV	14DUST|2RMIN|34aVULN|4BPWR|5TLV|68AEFRZ|79RCR
14	33315 13436	 * 	292.73	DCR|2VULN|2MLV|2DMG|1TLV|1AAC	17DUST|24DMG|34VULN|4BPWR|5TLV|6aMLV|8RCR|9AAC
15	33331 21512	 * 	290.21	DCR|2VULN|2MLV|2TLV|2DMG	1DUST|2aDMG|39VULN|4FRZICY|5aMLV|6AME|7aTLV|8RCR|aBPWR
16	63331 21512	   	290.21	DCR|2VULN|2MLV|2TLV|2DMG	1BEXP|2aDMG|39VULN|4FRZICY|5aMLV|6AME|7aTLV|8RCR|aBPWR
17	33315 14431	   	289.16	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	1DUST|24DMG|347VULN|4BPWR|5TLV|6MLV|8RCR|9AAC|aRMIN
18	33315 14433	   	289.16	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	1DUST|24DMG|347VULN|4BPWR|5TLV|6MLV|8RCR|9AAC|aFEWX
19	33313 11153	   	289.16	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	1DUST|24DMG|348VULN|4BPWR|5AAC|6MLV|7BBNT|9TLV|aRCR
20	33313 14263	   	289.16	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	1DUST|24DMG|347VULN|4BPWR|5AAC|6MLV|8TLV|9TBNT|aRCR
21	63313 11153	   	289.16	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	1BEXP|24DMG|348VULN|4BPWR|5AAC|6MLV|7BBNT|9TLV|aRCR
22	63313 14263	   	289.16	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	1BEXP|24DMG|347VULN|4BPWR|5AAC|6MLV|8TLV|9TBNT|aRCR
23	33315 13434	   	289.06	DCR|3VULN|2DMG|1TLV|1MLV|1AAC	17DUST|24DMG|34aVULN|4BPWR|5TLV|6MLV|8RCR|9AAC
24	63331 14432	   	288.38	DCR|DCR|2VULN|1MLV|1DMG	1BEXP|2DMG|37VULN|4FRZICY|5MLV|6aRCR|8LIT|9RCVC
25	33331 14422	   	288.28	DCR|DCR|2VULN|1MLV|1DMG	19DUST|2DMG|37VULN|4FRZICY|5MLV|6aRCR|8LIT
26	43221 27461	 * 	283.17	DCR|DCR|2DMG|1VULN|1TLV	1RPLT|2VULN|3MBVNT|4TLV|5MDPS|6CGEN|79DMG|8aRCR
27	63313 11653	 * 	282.12	DCR|2VULN|2DMG|2AAC|1TLV|1MLV	1BEXP|24DMG|34VULN|4BPWR|58AAC|6MLV|7BBNT|9TLV|aRCR
28	31315 42131	   	279.93	DCR|DCR|2VULN|1TLV	148DUST|2RMIN|34VULN|4BPWR|5TLV|6AEFRZ|79RCR|aDUR
