0	Index      	 *	Score 	Summary	Detail	
1	36413 23326	 * 	276.30	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	1DLOT|2CDMG|3DUST|4DUR|5FEWX|68VULN|7DMG|9aRCR
2	42263 32623	   	265.23	DCR|DCR|2VULN|1MLV|1DUR	1RMIN|2ASPD|3CGEN|4AEFRZ|5MLV|6DUR|78RCR|9aVULN
3	65212 22226	 * 	262.51	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1SELL	1TLV|2SELL|3VULN|4DLOT|5DMG|6RMIN|7LWND|8DUR|9aRCR
4	33221 36364	 * 	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DLOT|2AEFRZ|3DUR|4TLV|5TBNT|6aRCR|7RAT|8MLV|9VULN
5	33223 36364	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DLOT|2AEFRZ|3DUR|4TLV|5BBNT|6aRCR|7RAT|8MLV|9VULN
6	36411 23126	 * 	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DLOT|28CDMG|3DUST|4DUR|5LHND|6VULN|7DMG|9aRCR
7	36412 23126	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DLOT|28CDMG|3DUST|4DUR|5LWND|6VULN|7DMG|9aRCR
8	36413 23126	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DLOT|28CDMG|3DUST|4DUR|5FEWX|6VULN|7DMG|9aRCR
9	36431 13126	   	256.31	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1DLOT|28CDMG|3DUST|4VULN|5LEGI|6DUR|7DMG|9aRCR
10	33224 21156	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	1DLOT|2AEFRZ|35DUR|4TLV|6RAT|7aRCR|8RPLT|9VULN
11	35251 31114	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1DLOT|2CGEN|34DUR|5TBNT|6aRCR|7VULN|8RAT|9TLV
12	35253 31114	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1DLOT|2CGEN|34DUR|5BBNT|6aRCR|7VULN|8RAT|9TLV
13	23113 13352	 * 	253.12	DCR|DCR|2TLV|1VULN|1AART	13BEXP|24TLV|5LHND|69RCR|7FEWX|8AART|aVULN
14	23663 13352	   	253.02	DCR|DCR|2TLV|1VULN|1AART	1BEXP|23TLV|4AEFBLL|5LHND|69RCR|7FEWX|8AART|aVULN
15	61115 13352	   	252.92	DCR|DCR|2TLV|1VULN|1AART	14TLV|23AEWIND|5BEXP|69RCR|7FEWX|8AART|aVULN
16	61113 13652	   	252.82	DCR|DCR|2TLV|1VULN|1AART	14TLV|23AEWIND|5LEGI|69RCR|7AART|8LWND|aVULN
17	42263 12623	   	251.48	DCR|DCR|2VULN|1MLV	1RMIN|2ASPD|3CGEN|46AEFRZ|5MLV|78RCR|9aVULN
18	36413 23226	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1DLOT|2CDMG|3DUST|4DUR|5FEWX|6VULN|7DMG|8RCVC|9aRCR
19	65222 12352	 * 	249.69	DCR|4VULN|2TLV|2MLV|1AAC|1SELL	17TLV|2SELL|3579VULN|47MLV|6AAC|7BPWR|8RCVC|aRCR
20	25232 12623	   	249.63	DCR|DCR|2VULN|1DUR	1BEXP|2AEFBLL|3CGEN|4DUR|5ASPD|6RCVC|78RCR|9aVULN
21	42242 32623	   	249.63	DCR|DCR|2VULN|1DUR	1RMIN|2ASPD|3CGEN|4AME|5RCVC|6DUR|78RCR|9aVULN
22	65222 12152	 * 	249.59	DCR|4VULN|2TLV|2MLV|1AAC|1SELL	17TLV|2SELL|3579VULN|47MLV|6AAC|7BPWR|8AEFBLL|aRCR
23	11134 32623	   	249.43	DCR|DCR|2VULN|1DUR	1ERES|23AEWIND|4RCVC|5ASPD|6DUR|78RCR|9aVULN
24	16134 32623	   	249.43	DCR|DCR|2VULN|1DUR	1ERES|2AEFBLL|3AEWIND|4LWND|5ASPD|6DUR|78RCR|9aVULN
25	11164 32623	   	249.33	DCR|DCR|2VULN|1DUR	1ERES|23AEWIND|4AEFRZ|5ASPD|6DUR|78RCR|9aVULN
26	65213 12226	   	249.29	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1TLV|2SELL|3VULN|4DLOT|5ERES|6ASPD|7LWND|8DUR|9aRCR
27	31323 21223	 * 	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DLOT|2SPLARM|3TBNT|4CGEN|5BEXP|6DMG|7aRCR|8VULN|9TLV
28	15212 43136	   	248.66	DCR|DCR|1VULN|1TLV|1DMG|1SELL	1ERES|2SELL|3VULN|4DLOT|5DMG|6aRCR|7DUST|8LWND|9TLV
