0	Index      	 *	Score 	Summary	Detail	
1	34115 12433	 * 	274.64	DCR|DCR|2VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2RMIN|3LHND|4MLV|5RPLT|67VULN|8AART|9aRCR
2	15333 32535	 * 	265.81	DCR|DCR|1VULN|1DMG|1MLV|2ASPD|1CDMG	14ASPD|2RPLT|3VULN|5DMG|69RCR|7CGEN|8MLV|aCDMG
3	23222 35653	 * 	265.60	DCR|DCR|3DMG|2MLV|1AART	159DMG|25MLV|3AART|4BBNT|5BPWR|6AME|7LHND|8aRCR
4	23426 61122	 * 	261.85	DCR|2VULN|2DMG|2MLV|2DUR|1FLTARM	1aDMG|25MLV|3aDUR|4FLTARM|6MBVNT|7RCR|8AEBURN|9aVULN|aBPWR
5	23215 42522	   	258.34	DCR|DCR|2DMG|1MLV|1DUR|1AART	17DMG|2MLV|3AART|4VENTOX|5DUR|6ASPD|8RPLT|9aRCR
6	62314 22281	   	256.34	DCR|DCR|2VULN|1DUR|1AART	15LIT|24VULN|3DUR|6aRCR|7MBVNT|8BOSS|9AART
7	44313 12533	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1BEXP|2LHND|3CDMG|4BLASTR|5MBVNT|67VULN|8AART|9aRCR
8	44323 12533	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1BEXP|2LHND|3CDMG|4VENFST|5MBVNT|67VULN|8AART|9aRCR
9	51313 12533	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1LHND|2FEWX|3CDMG|4BLASTR|5MBVNT|67VULN|8AART|9aRCR
10	51323 12533	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1LHND|2FEWX|3CDMG|4VENFST|5MBVNT|67VULN|8AART|9aRCR
11	62313 22281	   	256.24	DCR|DCR|2VULN|1DUR|1AART	1LIT|24VULN|3DUR|5AEBURN|6aRCR|7MBVNT|8BOSS|9AART
12	54313 12533	   	256.14	DCR|DCR|2VULN|1AART|1CDMG	1LHND|2LEGI|3CDMG|4BLASTR|5MBVNT|67VULN|8AART|9aRCR
13	54323 12533	   	256.14	DCR|DCR|2VULN|1AART|1CDMG	1LHND|2LEGI|3CDMG|4VENFST|5MBVNT|67VULN|8AART|9aRCR
14	23223 35653	   	253.20	DCR|DCR|3DMG|1MLV|1AART	159DMG|2MLV|3AART|4BBNT|6AME|7LHND|8aRCR
15	34233 61343	   	252.80	DCR|DCR|1VULN|1DMG|1MSLTOX|1CDMG	1MSLTOX|2RMIN|35FEWX|4DMG|6MBVNT|7aRCR|8VULN|9CDMG
16	15333 32536	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|2ASPD	14ASPD|2aRPLT|3VULN|5DMG|69RCR|7CGEN|8MLV
17	15333 32531	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|2ASPD	14ASPD|2RPLT|3VULN|5DMG|69RCR|7CGEN|8MLV|aAEWIND
