0	Index      	 *	Score 	Summary	Detail	
1	16522 61133	 * 	293.85	DCR|DCR|2VULN|2DMG|1DUR|1AAC|1SELL	17DMG|27VULN|3DUR|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL|aAAC
2	16331 22123	 * 	290.41	DCR|DCR|4VULN|1DMG	1DMG|2356VULN|4ZMB|7RPLT|8AEPOI|9aRCR
3	16328 33123	 * 	286.75	DCR|DCR|2VULN|2DMG|2CDMG	17DMG|23VULN|4MBVNT|57ZMB|67CDMG|7BPWR|8AEPOI|9aRCR
4	16328 33723	   	286.75	DCR|DCR|2VULN|2DMG|2CDMG	17DMG|23VULN|4MBVNT|57ZMB|67CDMG|7BPWR|8AEFBLL|9aRCR
5	16328 35123	   	284.79	DCR|DCR|3VULN|1DMG|1CDMG	1DMG|237VULN|4MBVNT|5ZMB|6CDMG|8AEPOI|9aRCR
6	16362 33523	 * 	282.45	DCR|DCR|2VULN|3DMG	148DMG|23VULN|5LIT|69FEWX|7aRCR
7	16122 61133	   	280.20	DCR|DCR|2VULN|2DMG|1AAC|1SELL	17DMG|27VULN|3LHND|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL|aAAC
8	16132 61136	   	280.20	DCR|DCR|2VULN|2DMG|1DUR|1SELL	17DMG|27VULN|3LHND|4LWND|57AEFRZ|69RCR|7BPWR|8SELL|aDUR
9	16522 61131	   	280.20	DCR|DCR|2VULN|2DMG|1DUR|1SELL	17DMG|27VULN|3DUR|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL|aRPLT
10	16522 61132	   	280.20	DCR|DCR|2VULN|2DMG|1DUR|1SELL	17DMG|27VULN|3DUR|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL|aLWND
11	16532 61131	   	280.20	DCR|DCR|2VULN|2DMG|1DUR|1SELL	17DMG|27VULN|3DUR|4LWND|57AEFRZ|69RCR|7BPWR|8SELL|aRPLT
12	16532 61132	   	280.20	DCR|DCR|2VULN|2DMG|1DUR|1SELL	17DMG|27VULN|3DUR|4aLWND|57AEFRZ|69RCR|7BPWR|8SELL
13	16532 61133	   	280.20	DCR|DCR|2VULN|2DMG|1DUR|1SELL	17DMG|27VULN|3DUR|4LWND|57AEFRZ|69RCR|7BPWR|8SELL|aRCVC
14	14431 22123	   	271.14	DCR|DCR|3VULN|1DMG	1DMG|2AEFRZ|356VULN|4ZMB|7RPLT|8AEPOI|9aRCR
15	16331 52123	   	271.14	DCR|DCR|3VULN|1DMG	1DMG|235VULN|4ZMB|6AEBURN|7RPLT|8AEPOI|9aRCR
16	16221 61325	   	269.79	DCR|DCR|3DMG|1VULN|1DUR	179DMG|2VULN|357DUST|47BEXP|6aRCR|7BPWR|8DUR
17	32331 81622	 * 	269.04	ACR|DCR|2VULN|2MLV|1TLV|2CDMG|1SELL	19RCR|2MBVNT|37MLV|4SELL|57CDMG|67VULN|7BPWR|8SPLJET|aTLV
18	16122 61131	   	266.55	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3LHND|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL|aRPLT
19	16122 61132	   	266.55	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3LHND|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL|aLWND
20	16122 61135	   	266.55	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3aLHND|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL
21	16132 61131	   	266.55	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3LHND|4LWND|57AEFRZ|69RCR|7BPWR|8SELL|aRPLT
22	16132 61132	   	266.55	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3LHND|4aLWND|57AEFRZ|69RCR|7BPWR|8SELL
23	16132 61133	   	266.55	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3LHND|4LWND|57AEFRZ|69RCR|7BPWR|8SELL|aRCVC
24	16122 61136	   	266.45	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3LHND|4BEXP|57AEFRZ|69RCR|7BPWR|8SELL|aMBVNT
25	16132 61135	   	266.45	DCR|DCR|2VULN|2DMG|1SELL	17DMG|27VULN|3LHND|4LWND|57AEFRZ|69RCR|7BPWR|8SELL|aCANTOX
