0	Index      	 *	Score 	Summary	Detail	
1	24141 33512	 * 	283.68	DCR|DCR|2VULN|3DUR|1DMG|1ZMB	13VULN|234DUR|3BPWR|5LWND|69RCR|7TBNT|8ZMB|aDMG
2	61613 42121	 * 	273.52	DCR|DCR|1VULN|2ASPD|1DMG|1RPLT	17ASPD|2VULN|3FLTHEA|4RCVC|5RPLT|69RCR|8DMG|aLHND
3	61613 42122	   	273.52	DCR|DCR|1VULN|2ASPD|1DMG|1RPLT	17ASPD|2VULN|3aFLTHEA|4RCVC|5RPLT|69RCR|8DMG
4	61613 42123	   	273.52	DCR|DCR|1VULN|2ASPD|1DMG|1RPLT	17ASPD|2VULN|3FLTHEA|4RCVC|5RPLT|69RCR|8DMG|aBEXP
5	23343 42621	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG|1RPLT	1VULN|2DMSP|3TSLFST|4DMG|5RPLT|69RCR|78ASPD|aLHND
6	23343 42622	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG|1RPLT	1VULN|2DMSP|3TSLFST|4DMG|5RPLT|69RCR|78ASPD|aFLTHEA
7	23343 42623	   	273.42	DCR|DCR|1VULN|2ASPD|1DMG|1RPLT	1VULN|2DMSP|3TSLFST|4DMG|5RPLT|69RCR|78ASPD|aFEWX
8	23343 44221	 * 	273.28	DCR|DCR|2VULN|1DMG|1RPLT|1ZMB	17VULN|2DMSP|3TSLFST|4DMG|5RPLT|69RCR|8ZMB|aLHND
9	23343 44222	 * 	273.28	DCR|DCR|2VULN|1DMG|1RPLT|1ZMB	17VULN|2DMSP|3TSLFST|4DMG|5RPLT|69RCR|8ZMB|aFLTHEA
10	23343 44223	 * 	273.28	DCR|DCR|2VULN|1DMG|1RPLT|1ZMB	17VULN|2DMSP|3TSLFST|4DMG|5RPLT|69RCR|8ZMB|aFEWX
11	14113 31343	   	272.09	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1FEWX|2AART|3ASPD|4MLV|5LHND|69RCR|7VULN|8AME|aCDMG
12	14143 31343	   	272.09	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1FEWX|2AART|3ASPD|4ERES|5LHND|69RCR|7VULN|8MLV|aCDMG
13	61421 12124	 * 	270.72	ACR|DCR|2VULN|2ASPD|1DMG|1RPLT	17ASPD|2aVULN|39RCR|4TSLFST|5RPLT|6RCVC|8DMG
14	61421 34121	   	270.72	ACR|DCR|2VULN|2ASPD|1DMG|1RPLT	16ASPD|27VULN|39RCR|4TSLFST|5RPLT|8DMG|aLHND
15	61421 34122	   	270.72	ACR|DCR|2VULN|2ASPD|1DMG|1RPLT	16ASPD|27VULN|39RCR|4TSLFST|5RPLT|8DMG|aFLTHEA
16	61421 34123	   	270.72	ACR|DCR|2VULN|2ASPD|1DMG|1RPLT	16ASPD|27VULN|39RCR|4TSLFST|5RPLT|8DMG|aFEWX
17	36633 22113	   	264.95	DCR|DCR|1VULN|1DMG|1MLV|1AART	1FRZARM|2LHND|3LWND|4MLV|5VULN|6FEWX|79RCR|8AART|aDMG
18	56633 22113	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1AART	1MULHEA|2LHND|3LWND|4MLV|5VULN|6FEWX|79RCR|8AART|aDMG
19	24141 34321	 * 	263.66	DCR|DCR|2VULN|3DUR	13VULN|234DUR|3BPWR|5LWND|6aRCR|7MSLFST|8ERES|9FEWX
20	24165 11321	   	263.66	DCR|DCR|2VULN|3DUR	13VULN|235DUR|3BPWR|4MSLFST|6aRCR|7LHND|8ERES|9FEWX
21	24141 33513	   	263.62	DCR|DCR|2VULN|3DUR|1ZMB	13VULN|234DUR|3BPWR|5LWND|69RCR|7TBNT|8ZMB|aAAC
