0	Index      	 *	Score 	Summary	Detail	
1	52541 43484	 * 	286.12	DCR|DCR|2VULN|1DMG|1MLV	1MLV|2RMIN|3MBVNT|4CGEN|57VULN|6BEXP|8aRCR|9DMG
2	42584 32133	   	278.01	DCR|DCR|2VULN|1DMG|1RPLT|1ZMB	1ZMB|2RMIN|3MBVNT|4aVULN|5DMG|6BEXP|78RCR|9RPLT
3	12314 16242	 * 	277.96	DCR|DCR|2DMG|1VULN|3DUR	147DUR|2NUKE|34DMG|4BPWR|5LIT|6MDPS|8VULN|9aRCR
4	16551 33434	   	276.90	DCR|DCR|2VULN|1DMG	1DUR|2RCVC|3MBVNT|4CGEN|57VULN|6BEXP|8aRCR|9DMG
5	16584 33434	   	276.90	DCR|DCR|2VULN|1DMG	1DUR|2RCVC|3MBVNT|47VULN|5CGEN|6BEXP|8aRCR|9DMG
6	66544 33434	   	276.90	DCR|DCR|2VULN|1DMG	17VULN|2RCVC|3MBVNT|4DUR|5CGEN|6BEXP|8aRCR|9DMG
7	33323 32666	   	274.27	DCR|DCR|2VULN|1MLV	1BLASTR|2MLV|3FEWX|46VULN|5DUST|7BEXP|8aRCR|9DUR
8	16212 35613	   	273.00	DCR|DCR|1VULN|1DMG|1MLV|2DUR	14DUR|2RCVC|34LWND|4BPWR|5AME|68RCR|7DMG|9MLV|aVULN
9	16232 35613	   	272.90	DCR|DCR|1VULN|1DMG|1MLV|2DUR	14DUR|2RCVC|3LWND|5AME|68RCR|7DMG|9MLV|aVULN
10	11242 35613	   	272.80	DCR|DCR|1VULN|1DMG|1MLV|2DUR	13DUR|2ERES|4RMIN|5AME|68RCR|7DMG|9MLV|aVULN
11	64621 33232	 * 	272.29	DCR|DCR|3VULN	157VULN|246FEWX|367TLV|67BPWR|8aRCR|9LSRICY
12	64421 33232	   	271.99	DCR|DCR|3VULN	157VULN|246FEWX|367AME|67BPWR|8aRCR|9LSRICY
13	62135 12137	   	271.74	DCR|DCR|2VULN|1CDMG|1RPLT	1aVULN|2NUKE|3CDMG|4RPLT|5LHND|6RMIN|78RCR|9MBVNT
