0	Index      	 *	Score 	Summary	Detail	
1	11161 42233	 * 	276.66	DCR|DCR|3DMG|3ASPD	15aDMG|2RMIN|35aASPD|4AAC|5aBPWR|6TBNT|78RCR|9BBNT
2	11131 42233	   	274.55	DCR|DCR|3ASPD|2DMG|3ZMB	1aDMG|2RMIN|35aASPD|45aZMB|5aBPWR|6TBNT|78RCR|9BBNT
3	11365 42233	 * 	269.27	DCR|DCR|2DMG|2ASPD|2CDMG|1SELL	1aDMG|2RMIN|3SELL|4aCDMG|5aASPD|6TBNT|78RCR|9BBNT|aBPWR
4	15132 31354	 * 	268.64	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1DMG|2MDPS|3ASPD|4LWND|5DUST|6VULN|7aRCR|8SNIFST|9MLV
5	63122 51141	 * 	267.68	DCR|DCR|1DMG|2CDMG|1MLV|2DUR|1AART	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9AART|aDMG
6	13163 12244	 * 	267.28	DCR|2VULN|3DMG|2CDMG|2DUR|1ASPD|1RPLT	16aDMG|2aDUR|3RPLT|4ASPD|56CDMG|6aBPWR|7RCR|8aVULN|9BELT
7	25322 42612	 * 	265.65	DCR|DCR|2VULN|1CDMG	1CGEN|2MDPS|36VULN|4MULARM|5CDMG|7LHND|8aRCR|9DUR
8	25322 43612	   	265.55	DCR|DCR|2VULN|1CDMG	1CGEN|2MDPS|36VULN|4MULARM|5CDMG|7DUST|8aRCR|9DUR
9	11161 42221	   	265.11	DCR|DCR|3DMG|2ASPD	15aDMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LHND
10	11161 42251	   	265.11	DCR|DCR|3DMG|2ASPD	15aDMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LWND
11	11161 42261	   	265.11	DCR|DCR|3DMG|2ASPD	15aDMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9FEWX
12	11161 42211	   	265.01	DCR|DCR|3DMG|2ASPD	15aDMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9DUST
13	11531 45414	 * 	264.70	DCR|DCR|2DMG|1VULN|1AART	19DMG|2RMIN|3BLASTR|4VULN|5MBVNT|6AART|7SPLJET|8aRCR
14	11623 62234	 * 	263.86	DCR|DCR|2VULN|1DMG	1DMG|2RMIN|3MBVNT|4LWND|5LHND|6aVULN|78RCR|9LIT
15	11623 62244	   	263.86	DCR|DCR|2VULN|1DMG	1DMG|2RMIN|3MBVNT|4LWND|5LHND|6aVULN|78RCR|9FEWX
16	11623 62284	   	263.86	DCR|DCR|2VULN|1DMG	1DMG|2RMIN|3MBVNT|4LWND|5LHND|6aVULN|78RCR|9BEXP
17	11623 62214	   	263.76	DCR|DCR|2VULN|1DMG	1DMG|2RMIN|3MBVNT|4LWND|5LHND|6aVULN|78RCR|9DUST
18	13163 12214	   	260.53	DCR|2VULN|3DMG|2CDMG|1ASPD|1RPLT	169DMG|2DUR|3RPLT|4ASPD|56CDMG|6BPWR|7RCR|8aVULN
19	55323 22622	   	258.87	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUR|3AART|4LWND|5CGEN|6aRCR|7MDPS|8VULN|9RPLT
