0	Index      	 *	Score 	Summary	Detail	
1	24342 12231	 * 	267.73	DCR|4VULN|2ASPD|1DMG|2DUR|1RPLT	17DUR|2DMG|37ASPD|4TBNT|5789VULN|6RPLT|7BPWR|aRCR
2	13313 54126	 * 	257.45	DCR|DCR|2VULN|1ASPD	16FEWX|2RMIN|3ASPD|4CANTOX|56VULN|6BPWR|7aRCR|8ERES|9BELT
3	13313 34126	   	257.35	DCR|DCR|2VULN|1ASPD	1FEWX|2RMIN|3ASPD|4CANTOX|56VULN|7aRCR|8ERES|9BELT
4	13313 34526	   	257.35	DCR|DCR|2VULN|1ASPD	1FEWX|2RMIN|3ASPD|4CANTOX|56VULN|7aRCR|8AME|9BELT
5	12631 25223	   	253.36	DCR|DCR|2VULN|1AART	1FEWX|2ERES|35VULN|4LIT|6AART|7LHND|8SNIFST|9aRCR
6	12631 21223	   	253.26	DCR|DCR|2VULN|1AART	1FEWX|2ERES|35VULN|4LIT|6AART|7LEGI|8SNIFST|9aRCR
7	23113 51323	   	253.19	DCR|DCR|1VULN|1MLV|1AART	1DUR|2RMIN|3MLV|4FRZICY|5VULN|6CGEN|7AART|8LIT|9aRCR
8	23115 11323	   	253.19	DCR|DCR|1VULN|1MLV|1AART	1DUR|2RMIN|3MLV|4FRZICY|5CGEN|6VULN|7AART|8LIT|9aRCR
9	62316 42223	   	253.09	DCR|DCR|1VULN|1MLV|1AART	1BASHEA|2MLV|3DUR|4LIT|5LHND|6VULN|7AART|8RCVC|9aRCR
10	22113 51323	   	252.99	DCR|DCR|1VULN|1MLV|1AART	1DUR|2ERES|3MLV|4VENFST|5VULN|6CGEN|7AART|8LIT|9aRCR
11	22115 11323	   	252.99	DCR|DCR|1VULN|1MLV|1AART	1DUR|2ERES|3MLV|4VENFST|5CGEN|6VULN|7AART|8LIT|9aRCR
12	34342 12231	   	252.88	DCR|4VULN|2ASPD|1DMG|1RPLT	17LHND|2DMG|37ASPD|4TBNT|5789VULN|6RPLT|7BPWR|aRCR
13	14313 53212	 * 	249.69	DCR|2VULN|3DMG|1MLV|1ASPD|1AART	1FEWX|269DMG|3ASPD|4CANTOX|56VULN|6BPWR|7AART|8MLV|aRCR
14	24342 12223	   	248.57	DCR|3VULN|2ASPD|1DMG|2DUR|1RPLT	17DUR|2DMG|37ASPD|4TBNT|578VULN|6RPLT|7BPWR|9AAC|aRCR
15	24342 11231	   	248.53	DCR|4VULN|1DMG|1ASPD|1RPLT	1DUR|2DMG|3ASPD|4TBNT|5789VULN|6RPLT|aRCR
16	14114 21226	 * 	247.11	DCR|DCR|2MLV|1DMG	1FEWX|2DMG|36MLV|4FRZICY|5RMIN|7aRCR|8DUR|9BELT
17	24114 21326	   	247.11	DCR|DCR|2MLV|1DMG	1DUR|2DMG|36MLV|4FRZICY|5RMIN|7aRCR|8FEWX|9BELT
