0	Index      	 *	Score 	Summary	Detail	
1	13452 84428	 * 	282.29	DCR|3VULN|3DMG|3ASPD|1CDMG	19aVULN|2MBVNT|39aDMG|4CDMG|5DUST|69aASPD|7RCR|8LEGI|9aBPWR
2	53211 33651	 * 	279.81	DCR|DCR|1VULN|1DMG|1MLV|2DUR|1AART	1BBNT|2BELT|3VULN|46DUR|5AART|7aRCR|8DMG|9MLV
3	13457 34126	 * 	277.31	DCR|DCR|2VULN|1DMG|1CDMG	15VULN|2MBVNT|3DMG|4CDMG|6MDPS|7BEXP|8aRCR|9SPLREG
4	13488 24126	   	277.31	DCR|DCR|2VULN|1DMG|1CDMG	16VULN|2MBVNT|3DMG|4MDPS|5CDMG|7BEXP|8aRCR|9SPLREG
5	13488 42126	 * 	277.00	DCR|DCR|2DMG|1VULN|1CDMG	1VULN|2MBVNT|37DMG|4MDPS|5CDMG|6DUR|8aRCR|9SPLREG
6	13482 15133	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	18VULN|2MBVNT|3DMG|4MDPS|5RPLT|6LWND|7CGEN|9aRCR
7	13482 45133	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	18VULN|2MBVNT|3DMG|4MDPS|5RPLT|6CGEN|7LWND|9aRCR
8	13482 14133	   	273.32	DCR|DCR|2VULN|1DMG|1RPLT	18VULN|2MBVNT|3DMG|4MDPS|5RPLT|6LWND|7AME|9aRCR
9	13255 52233	   	273.06	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1VULN|2MBVNT|3LWND|4DUST|5MLV|6RPLT|7DMG|8DUR|9aRCR
10	34513 32511	   	270.89	DCR|DCR|2VULN|1MLV|1RPLT	1RMIN|2RPLT|3BBNT|4MLV|5MSLREG|69RCR|7BASARM|8aVULN
11	13411 83873	   	269.07	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2MBVNT|3DMG|4DUR|5ERES|6RPLT|7CDMG|8aRCR|9MDPS
12	12355 13338	   	268.93	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aASPD
13	13453 34126	   	268.69	DCR|DCR|2DMG|1VULN|1CDMG	1VULN|2MBVNT|35DMG|4CDMG|6MDPS|7BEXP|8aRCR|9SPLREG
14	13453 36126	   	268.69	DCR|DCR|2DMG|1VULN|1CDMG	1VULN|2MBVNT|35DMG|4CDMG|6MDPS|7LWND|8aRCR|9SPLREG
15	13488 12126	   	268.69	DCR|DCR|2DMG|1VULN|1CDMG	1VULN|2MBVNT|37DMG|4MDPS|5CDMG|6LHND|8aRCR|9SPLREG
16	12513 43125	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	17VULN|2LEGI|3AAC|47DUR|57BEXP|6RPLT|7BPWR|8aRCR|9SPLREG
17	12516 13125	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	17VULN|2LEGI|3AAC|47DUR|5RPLT|67LHND|7BPWR|8aRCR|9SPLREG
18	15632 23125	   	268.31	DCR|DCR|2VULN|2DUR|1RPLT	17VULN|2DUST|37FEWX|4NUKE|57DUR|6RPLT|7BPWR|8aRCR|9SPLREG
19	16212 43125	   	268.27	DCR|DCR|2VULN|2DUR|1RPLT|1ZMB	17VULN|27FEWX|3LWND|4ZMB|57DUR|6RPLT|7BPWR|8aRCR|9SPLREG
20	16216 33125	   	268.27	DCR|DCR|2VULN|2DUR|1RPLT|1ZMB	17VULN|27FEWX|3LWND|4ZMB|5RPLT|67DUR|7BPWR|8aRCR|9SPLREG
21	12522 43125	   	268.21	DCR|DCR|2VULN|2DUR|1RPLT	17VULN|2LEGI|3AAC|47DUST|57DUR|6RPLT|7BPWR|8aRCR|9SPLREG
22	15212 43125	   	268.07	DCR|DCR|2VULN|2DUR|1RPLT|1ZMB	17VULN|27DUST|3LWND|4ZMB|57DUR|6RPLT|7BPWR|8aRCR|9SPLREG
23	15216 33125	   	268.07	DCR|DCR|2VULN|2DUR|1RPLT|1ZMB	17VULN|27DUST|3LWND|4ZMB|5RPLT|67DUR|7BPWR|8aRCR|9SPLREG
24	12612 43125	   	267.92	DCR|DCR|2VULN|2DUR|1RPLT|2ZMB	17VULN|2LEGI|3FEWX|47ZMB|57DUR|6RPLT|7BPWR|8aRCR|9SPLREG
25	36211 21542	 * 	266.96	ACR|DCR|3VULN|2CDMG|1AART	1RMIN|2aCDMG|35aVULN|49RCR|6AART|7aLIT|8BELT|aBPWR
26	12355 13333	   	264.94	DCR|DCR|1VULN|1DMG|1AART|1RPLT|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aRPLT
27	13264 23126	 * 	263.76	DCR|DCR|2VULN|2CDMG	17VULN|2MBVNT|37LWND|4MDPS|57CDMG|6AAC|7BPWR|8aRCR|9SPLREG
28	53211 33631	   	262.27	DCR|DCR|1VULN|1DMG|2DUR|1AART	1BBNT|2BELT|3VULN|46DUR|5AART|7aRCR|8DMG|9RMIN
