0	Index      	 *	Score 	Summary	Detail	
1	63526 42241	 * 	279.71	DCR|DCR|2VULN|1MLV|1CDMG	1MBVNT|2CGEN|3BELT|4LWND|57VULN|69RCR|8MLV|aCDMG
2	63526 42242	   	265.96	DCR|DCR|2VULN|1MLV	1MBVNT|2CGEN|3BELT|4LWND|57VULN|69RCR|8MLV|aAME
3	63526 42243	   	265.96	DCR|DCR|2VULN|1MLV	1MBVNT|2CGEN|3BELT|4LWND|57VULN|69RCR|8MLV|aBLAICY
4	63526 42244	   	265.96	DCR|DCR|2VULN|1MLV	1MBVNT|2CGEN|3BELT|4LWND|57VULN|69RCR|8MLV|aERES
5	62176 33133	   	258.19	DCR|DCR|2VULN|1RPLT	1MBVNT|2AAC|3BBNT|4TLV|5FEWX|6RPLT|7aRCR|89VULN
6	64351 33473	 * 	258.18	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2ERES|3MDPS|4DMG|5DUST|6aRCR|7RPLT|8DUR|9VULN
7	62186 33133	   	258.09	DCR|DCR|2VULN|1RPLT	1MBVNT|2AAC|3BBNT|4ERES|5FEWX|6RPLT|7aRCR|89VULN
8	23241 33355	   	257.06	DCR|DCR|1VULN|1MLV|1AART|1RPLT|1ZMB	1RPLT|2LIT|3LEGI|4VULN|5MLV|6ZMB|7TBNT|8aRCR|9AART
9	32622 16313	 * 	252.69	ACR|DCR|2VULN|1ASPD|1AART|1RPLT	1FEWX|2aVULN|3RPLT|47RCR|5BEXP|6CGEN|8ASPD|9AART
10	64161 33473	   	251.77	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2ERES|3ASPD|4MDPS|5DUST|6aRCR|7RPLT|8DUR|9VULN
11	32121 26411	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2VULN|3CDMG|5LWND|68RCR|7LIT|9CGEN|aMLV
12	32121 26431	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2VULN|3CDMG|5LWND|68RCR|7LIT|9TLV|aMLV
13	32124 26411	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2VULN|3CDMG|5LHND|68RCR|7LIT|9CGEN|aMLV
14	32124 26431	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	14FEWX|2VULN|3CDMG|5LHND|68RCR|7LIT|9TLV|aMLV
15	32235 26411	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	13FEWX|2VULN|4LWND|5CDMG|68RCR|7LIT|9CGEN|aMLV
16	32235 26431	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	13FEWX|2VULN|4LWND|5CDMG|68RCR|7LIT|9TLV|aMLV
17	31132 26436	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2LHND|3CDMG|4MLV|5ERES|68RCR|7LIT|9TLV|aVULN
18	11436 51131	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1ERES|2FEWX|3BELT|4CDMG|5MLV|6BEXP|7LWND|8VULN|9aRCR
19	63523 72241	   	250.80	ACR|DCR|2VULN|1MLV|1CDMG	1MBVNT|2CGEN|3BELT|4LWND|59RCR|67VULN|8MLV|aCDMG
20	32463 22231	 * 	250.45	DCR|3VULN|3DMG|1ASPD|1ZMB	1FEWX|28aVULN|3ASPD|456DMG|7ZMB|9RCR
21	23334 53118	   	250.17	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2LIT|3FEWX|4MBVNT|5BELT|6aRCR|7VULN|8CGEN|9DMG
22	61731 21163	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2LHND|3RPLT|4VULN|5DMG|6AME|7aRCR|8RCVC|9BBNT
23	64351 33273	   	249.87	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2ERES|3MDPS|4DMG|5DUST|6aRCR|7RPLT|8FEWX|9VULN
