0	Index      	 *	Score 	Summary	Detail	
1	26262 23163	 * 	309.57	DCR|DCR|4VULN|1MLV	1MLV|2ERES|3678VULN|4LWND|5MDPS|9aRCR
2	14253 11214	 * 	296.59	DCR|DCR|2VULN|2ASPD|1CDMG	15ASPD|2CDMG|3FEWX|49VULN|6DUR|7aRCR|8MSLTOX
3	14252 21214	 * 	293.45	DCR|DCR|1VULN|2MLV|2ASPD|1CDMG	18ASPD|2CDMG|38FEWX|4VULN|5ERES|68MLV|7aRCR|8BPWR|9CANARM
4	22126 53163	   	289.42	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|3ERES|4TLV|5RMIN|678VULN|9aRCR
5	22136 53163	   	289.42	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|3ERES|4CGEN|5RMIN|678VULN|9aRCR
6	22114 53163	   	289.32	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|34ERES|5LWND|678VULN|9aRCR
7	22115 43163	   	289.32	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|34ERES|578VULN|6LHND|9aRCR
8	22115 51163	   	289.32	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|34ERES|568VULN|7LWND|9aRCR
9	22125 53163	   	289.32	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|3ERES|4TLV|5AME|678VULN|9aRCR
10	22135 53163	   	289.32	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|3ERES|4CGEN|5AME|678VULN|9aRCR
11	22215 53163	   	289.32	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|3RMIN|4ERES|5AME|678VULN|9aRCR
12	22111 53163	   	289.22	DCR|DCR|3VULN|1MLV	1MLV|2MDPS|34ERES|5LEGI|678VULN|9aRCR
13	12114 53163	   	285.44	DCR|DCR|3VULN|1ASPD	1ASPD|2MDPS|34ERES|5LWND|678VULN|9aRCR
14	12115 43163	   	285.44	DCR|DCR|3VULN|1ASPD	1ASPD|2MDPS|34ERES|578VULN|6LHND|9aRCR
15	12115 51163	   	285.44	DCR|DCR|3VULN|1ASPD	1ASPD|2MDPS|34ERES|568VULN|7LWND|9aRCR
16	12125 53163	   	285.44	DCR|DCR|3VULN|1ASPD	1ASPD|2MDPS|3ERES|4TLV|5AME|678VULN|9aRCR
17	12135 53163	   	285.44	DCR|DCR|3VULN|1ASPD	1ASPD|2MDPS|3ERES|4CGEN|5AME|678VULN|9aRCR
18	12111 53163	   	285.34	DCR|DCR|3VULN|1ASPD	1ASPD|2MDPS|34ERES|5LEGI|678VULN|9aRCR
19	14251 11214	   	284.13	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|2CDMG|3FEWX|49VULN|5DMSP|6DUR|7aRCR|8MSLTOX
20	16325 31214	   	282.69	DCR|DCR|2VULN|2ASPD|1SELL	18ASPD|28ERES|3DUR|4CGEN|5SELL|68VULN|7aRCR|8BPWR|9CANARM
