0	Index      	 *	Score 	Summary	Detail	
1	15163 33162	 * 	266.97	DCR|3VULN|3DMG|3DUR|1RPLT	137DUR|28aFEWX|47aDMG|5RPLT|67aVULN|7aBPWR|9RCR
2	11242 36151	 * 	266.45	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2VULN|3LHND|4LIT|5LWND|6DMG|7MLV|8aRCR|9TLV
3	11242 36111	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2VULN|3LHND|4LIT|5LWND|6DMG|7MLV|8aRCR|9AME
4	11242 36141	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2VULN|3LHND|4LIT|5LWND|6DMG|7MLV|8aRCR|9ERES
5	13334 12223	   	261.24	DCR|DCR|1VULN|1MLV|2RPLT	1DUR|23RPLT|4MLV|5RMIN|6CGEN|7aRCR|8BEXP|9VULN
6	13354 13133	 * 	259.90	DCR|4VULN|3CDMG|2DUR|2RPLT	19DUR|23RPLT|469aVULN|569CDMG|69BPWR|7BBNT|8RCR
7	52422 31638	 * 	258.09	DCR|DCR|2VULN|1RPLT	14DMSP|2MBVNT|36VULN|5RPLT|7FLTFST|8aRCR|9BELT
8	11231 13561	   	256.93	DCR|DCR|2VULN	1DUR|29VULN|3LHND|4AAC|5LWND|6FEWX|7aRCR|8LIT
9	31116 61134	   	256.83	DCR|DCR|2VULN	1BEXP|29VULN|3DUR|4LWND|5MDPS|6BBNT|7aRCR|8BELT
10	11215 13561	   	256.69	DCR|DCR|2VULN|1ZMB	1DUR|29VULN|3LHND|4LWND|5ZMB|6FEWX|7aRCR|8LIT
11	11261 13541	 * 	254.96	DCR|DCR|1VULN|2ASPD	1DUR|2VULN|3LHND|49ASPD|5LWND|6FEWX|7aRCR|8LIT
12	52523 12644	   	254.53	DCR|3VULN|3DMG|1MLV|1SELL	1DMSP|2MBVNT|38BEXP|468DMG|568VULN|68BPWR|7SELL|9MLV|aRCR
