0	Index      	 *	Score 	Summary	Detail	
1	11161 23136	 * 	238.37	紫2基础对甲3基地爆炸2伤害	1平台26a基地爆炸3核4挖尘5a伤害7易伤8最后敌人9a基础对甲a序列升级
2	11165 33136	 * 	238.37	紫2基础对甲3基地爆炸2攻速	1平台25a基地爆炸3核4挖尘6a攻速7易伤8最后敌人9a基础对甲a序列升级
3	11166 33136	   	238.37	紫2基础对甲3基地爆炸2攻速	1平台25a基地爆炸3核45挖尘5a序列升级6a攻速7易伤8最后敌人9a基础对甲
4	11156 21136	 * 	233.81	紫2基础对甲3基地爆炸2易伤1伤害	1平台26a基地爆炸3核4伤害5a易伤7挖尘8最后敌人9a基础对甲a序列升级
5	11156 31136	   	222.54	紫2基础对甲2基地爆炸2易伤1伤害	1平台2a基地爆炸3核4伤害5a易伤6立即金币7挖尘8最后敌人9a基础对甲a序列升级
6	11152 23136	   	220.68	紫2基础对甲3基地爆炸1伤害	1平台26a基地爆炸3核4伤害5a挖尘7易伤8最后敌人9a基础对甲a序列升级
7	36321 31631	   	219.23	紫1基础对甲2伤害2基地爆炸1全技能	18时间2雷电3核48基地爆炸5敌人爆炸6等级78伤害8序列升级9基础对甲a全技能
8	36325 31631	   	219.13	紫1基础对甲2伤害2基地爆炸1全技能	18时间2雷电3核48基地爆炸5挖尘6等级78伤害8序列升级9基础对甲a全技能
9	13151 31436	 * 	218.58	紫2基础对甲2伤害1攻速	1平台2低血量敌人3核4a伤害5策反6攻速7a挖尘8易伤9a基础对甲a序列升级
10	36325 31632	   	216.75	紫1基础对甲3基地爆炸2伤害	18时间2雷电3核48a基地爆炸5挖尘6等级78伤害8序列升级9基础对甲
11	25334 34231	 * 	214.35	紫3攻速1基础对甲2暴击	189掉矿28磁铁减费3易伤4核59暴击6挖青789攻速89序列升级a基础对甲
12	25331 36211	 * 	214.30	紫1基础对甲2易伤2暴击1伤害1攻速	18掉矿2磁铁减费38易伤4核5敌人爆炸6攻速78暴击8序列升级9基础对甲a伤害
13	25336 36211	   	214.30	紫1基础对甲2易伤2暴击1伤害1攻速	18掉矿2磁铁减费38易伤4核5时间6攻速78暴击8序列升级9基础对甲a伤害
14	36321 31636	   	212.52	紫1基础对甲2伤害2基地爆炸	18时间2雷电3核48基地爆炸5敌人爆炸6等级78伤害8序列升级9基础对甲a易伤
15	13161 33436	   	212.27	紫2基础对甲2伤害1基地爆炸	16平台2a低血量敌人3核4挖尘5a伤害7基地爆炸8易伤9a基础对甲a序列升级
16	15162 33136	   	212.07	紫2基础对甲2攻速1基地爆炸	1平台24a挖尘3核5基地爆炸6a攻速7易伤8最后敌人9a基础对甲a序列升级
17	11151 36631	   	210.61	紫1基础对甲2伤害1攻速1基地爆炸	1平台2基地爆炸3核49伤害5策反6攻速7毒液对冰8额外掉落a基础对甲
18	13162 33436	   	209.32	紫2基础对甲2基地爆炸1攻速	1平台2低血量敌人3核4a挖尘5火球减费6攻速7a基地爆炸8易伤9a基础对甲a序列升级
