0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13133 43552	10	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	12aDUR|3BELT|4TLV|5RCVC|69aVULN|7aDMG|8RCR|aBPWR
2	13153 32552	10	 * 	281.09	DCR|2VULN|3DMG|3DUR|2TLV	12aDUR|3BELT|49VULN|5aTLV|67aDMG|8RCR|aBPWR
3	65123 32433	9	 * 	279.31	DCR|3VULN|2DMG|2TLV|3ASPD|1AART	1AART|27TLV|36DMG|479VULN|578ASPD|7BPWR|aRCR
4	13153 22243	8	   	275.10	DCR|2VULN|3DUR|2DMG|2TLV|1AART	12aDUR|3BELT|49VULN|5aTLV|6AART|7aDMG|8RCR|aBPWR
5	13662 24333	10	 * 	273.56	DCR|4VULN|3DUR|1TLV	12aDUR|389aVULN|4TLV|5ASPD|6aDUST|7RCR|aBPWR
6	62131 31626	10	 * 	271.18	DCR|3VULN|3DMG|2TLV|1NUKE|1AART	1AART|26aDMG|3NUKE|4ERES|58aVULN|7aTLV|9RCR|aBPWR
7	15224 22122	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2RPLT|38DMG|46LHND|5TLV|789VULN|8BPWR|aRCR
8	15224 62122	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2RPLT|38DMG|4LHND|5TLV|6DMSP|789VULN|8BPWR|aRCR
9	15611 12122	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2RPLT|38LHND|4TLV|57DMG|689VULN|8BPWR|aRCR
10	15611 62122	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2RPLT|38LHND|4TLV|56DMG|789VULN|8BPWR|aRCR
11	25211 12122	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18FEWX|2RPLT|38DUR|4TLV|57DMG|689VULN|8BPWR|aRCR
12	25211 62122	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18FEWX|2RPLT|38DUR|4TLV|56DMG|789VULN|8BPWR|aRCR
13	55211 12122	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18LHND|2RPLT|38DUR|4TLV|57DMG|689VULN|8BPWR|aRCR
14	55211 62122	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	18LHND|2RPLT|38DUR|4TLV|56DMG|789VULN|8BPWR|aRCR
15	11521 23254	5	 * 	267.94	DCR|4VULN|2DUR|1DMG|1CDMG	16DUR|2ASPD|3BEXP|4567VULN|6BPWR|8DMG|9CDMG|aRCR
16	11521 23254	4	   	267.94	DCR|4VULN|2DUR|1DMG|1CDMG	16DUR|2ASPD|3BEXP|4567VULN|6BPWR|8DMG|9CDMG|aRCR
17	12121 23254	4	   	267.94	DCR|4VULN|2DUR|1DMG|1CDMG	16DUR|2BEXP|3DMG|4567VULN|6BPWR|8ASPD|9CDMG|aRCR
18	12121 23254	5	   	267.94	DCR|4VULN|2DUR|1DMG|1CDMG	16DUR|2BEXP|3DMG|4567VULN|6BPWR|8ASPD|9CDMG|aRCR
19	13152 16352	4	 * 	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	128DUR|37BELT|48aVULN|58TLV|6RCR|8BPWR|9CDMG
20	13153 16352	5	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	128DUR|37BELT|48aVULN|58TLV|6RCR|8BPWR|9CDMG
21	13661 51332	7	   	265.44	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|36VULN|48TLV|5RPLT|78DMG|8BPWR|9BEXP|aRCR
22	12126 23254	4	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	16DUR|2BEXP|35DMG|467VULN|6BPWR|8ASPD|9CDMG|aRCR
23	13363 62214	8	   	264.05	DCR|3VULN|3DUR|2DMG	127DUR|3DUST|479VULN|5RCVC|67DMG|7BPWR|8ASPD|aRCR
24	13363 62234	9	   	264.05	DCR|3VULN|3DUR|2DMG	127DUR|3DUST|479VULN|5RCVC|67DMG|7BPWR|8ASPD|aRCR
25	13411 52431	10	   	264.02	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	129DUR|3SELL|4TLV|568VULN|7DMG|aRCR
26	15321 46122	8	 * 	263.67	DCR|4VULN|2DMG|2DUR	18DUR|2RPLT|3ZMB|489aVULN|58DMG|6BELT|7RCR|8BPWR
27	15131 46122	8	   	263.67	DCR|4VULN|2DMG|2DUR	18DUR|2RPLT|389aVULN|4RMIN|58DMG|6BELT|7RCR|8BPWR
28	65131 33261	9	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|2TLV|36DMG|4ERES|59aVULN|7RCR|8DUR
29	65131 33631	9	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|2TLV|36DMG|4ERES|58aVULN|7RCR|9DUR
30	65123 32322	10	   	263.44	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1AART	1AART|27TLV|36DMG|47VULN|57ASPD|7BPWR|8MLV|9RCR|aDUR
31	65123 32326	9	   	263.44	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1AART	1AART|27TLV|36DMG|47VULN|57ASPD|7BPWR|8MLV|9RCR|aDUR
32	65123 32363	9	   	263.44	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1AART	1AART|27TLV|36DMG|47VULN|57ASPD|7BPWR|8MLV|9DUR|aRCR
33	65123 32623	7	   	263.44	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1AART	1AART|27TLV|36DMG|47VULN|57ASPD|7BPWR|8DUR|9RCVC|aRCR
34	65123 32522	10	   	263.34	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1AART	1AART|27TLV|36DMG|47VULN|57ASPD|7BPWR|8ERES|9RCR|aDUR
35	65123 32326	10	 * 	262.94	DCR|2VULN|3DMG|3TLV|2ASPD|1AART	1AART|27aTLV|36aDMG|47VULN|57ASPD|7aBPWR|8aMLV|9RCR
36	65123 32413	9	   	262.39	DCR|2VULN|2DMG|2TLV|3ASPD|2AART	19AART|27TLV|36DMG|47VULN|578ASPD|7BPWR|aRCR
37	13623 11515	10	   	261.66	DCR|2VULN|3DMG|3DUR|2LIT	127DUR|39VULN|4LWND|59LIT|6RCR|89aDMG|9BPWR
38	13152 16353	4	   	261.50	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	128DUR|37BELT|48VULN|58TLV|6RCR|8BPWR|9CDMG|aDMG
39	13153 16353	5	   	261.50	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	128DUR|37BELT|48VULN|58TLV|6RCR|8BPWR|9CDMG|aDMG
40	13153 22213	9	   	260.90	DCR|3DMG|3DUR|1VULN|2TLV|1AART	12aDUR|3BELT|4VULN|5aTLV|6AART|79aDMG|8RCR|aBPWR
41	13152 63121	4	   	260.79	DCR|3VULN|3DUR|2TLV	127DUR|3BELT|467VULN|57TLV|7BPWR|8LIT|9FEWX|aRCR
42	13153 63121	5	   	260.79	DCR|3VULN|3DUR|2TLV	127DUR|3BELT|467VULN|57TLV|7BPWR|8LIT|9FEWX|aRCR
43	13152 63151	4	   	260.69	DCR|3VULN|3DUR|2TLV	127DUR|3BELT|467VULN|57TLV|7BPWR|8LIT|9LEGI|aRCR
44	13153 63151	5	   	260.69	DCR|3VULN|3DUR|2TLV	127DUR|3BELT|467VULN|57TLV|7BPWR|8LIT|9LEGI|aRCR
45	13662 11416	10	   	260.23	DCR|4VULN|2DUR|1TLV	12DUR|3789VULN|4TLV|5ASPD|6MBVNT|aRCR
46	65123 12214	8	   	259.59	DCR|3VULN|1TLV|1DMG|2AART|1CDMG	19AART|2TLV|3DMG|478VULN|5ASPD|6CDMG|aRCR
47	65123 12133	9	 * 	259.31	DCR|2VULN|2DMG|2TLV|2CDMG|1AART	1AART|29TLV|39DMG|47VULN|5ASPD|69CDMG|8BELT|9BPWR|aRCR
48	12121 21314	4	 * 	259.21	DCR|4VULN|3DUR|1DMG	168DUR|2BEXP|3DMG|4569VULN|6BPWR|7CGEN|aRCR
49	12121 21314	5	   	259.21	DCR|4VULN|3DUR|1DMG	168DUR|2BEXP|3DMG|4569VULN|6BPWR|7CGEN|aRCR
50	16121 21314	5	   	259.21	DCR|4VULN|3DUR|1DMG	168DUR|2LHND|3DMG|4569VULN|6BPWR|7CGEN|aRCR
51	16121 21314	4	   	259.21	DCR|4VULN|3DUR|1DMG	168DUR|2LHND|3DMG|4569VULN|6BPWR|7CGEN|aRCR
52	13411 34336	5	   	259.01	DCR|3VULN|3DUR|1TLV|2LIT|1SELL	127DUR|3SELL|4TLV|57aVULN|67LIT|7BPWR|8ZMB|9RCR
53	13413 34336	5	   	259.01	DCR|3VULN|3DUR|1TLV|2LIT|1SELL	127DUR|3SELL|4TLV|57LIT|67aVULN|7BPWR|8ZMB|9RCR
54	13413 34336	6	   	259.01	DCR|3VULN|3DUR|1TLV|2LIT|1SELL	127DUR|3SELL|4TLV|57LIT|67aVULN|7BPWR|8ZMB|9RCR
55	11151 12152	7	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|28ASPD|3FEWX|4RPLT|57DMG|689VULN|8BPWR|aRCR
56	11551 12152	7	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|28ASPD|3BEXP|4RPLT|57DMG|689VULN|8BPWR|aRCR
57	11621 36152	5	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|28ASPD|3LHND|459VULN|68DMG|7RPLT|8BPWR|aRCR
58	11621 36152	4	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|28ASPD|3LHND|459VULN|68DMG|7RPLT|8BPWR|aRCR
59	11651 12152	7	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|28ASPD|3LHND|4RPLT|57DMG|689VULN|8BPWR|aRCR
60	65121 53223	10	   	258.37	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG|1AART	1AART|2TLV|3DMG|469VULN|57LIT|8CDMG|aRCR
61	65621 33223	9	   	257.73	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1AART|23TLV|3BPWR|48DUR|57VULN|6DMG|9RCR|aCDMG
62	13261 13211	7	 * 	257.49	DCR|5VULN|3DUR	127DUR|35RCVC|4678aVULN|7BPWR|9RCR
63	13261 13311	8	   	257.49	DCR|5VULN|3DUR	127DUR|35RCVC|4678aVULN|7BPWR|9RCR
64	12121 14362	8	 * 	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2BEXP|3DMG|4589VULN|6ERES|7RCR|aTLV
65	23121 14362	8	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1FEWX|2DUR|3DMG|4589VULN|6ERES|7RCR|aTLV
66	13642 31314	4	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	125DUR|37VULN|48DMG|6TLV|9BEXP|aRCR
67	13642 31324	4	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	125DUR|37VULN|48DMG|6TLV|9LWND|aRCR
68	13411 11332	7	   	257.01	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	128DUR|3SELL|4TLV|58VULN|6MBVNT|78DMG|8BPWR|9BEXP|aRCR
69	11255 61211	3	   	256.98	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	18DUR|28ASPD|3CGEN|4TLV|5BELT|68aVULN|7AART|8BPWR|9RCR
70	11255 61211	2	   	256.98	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	18DUR|28ASPD|3CGEN|4TLV|5BELT|68aVULN|7AART|8BPWR|9RCR
71	13155 21241	8	   	256.97	DCR|2VULN|3DUR|2DMG|2ASPD|1AART	12aDUR|3BELT|49VULN|5aASPD|6AART|7aDMG|8RCR|aBPWR
72	13411 11382	7	   	256.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	128DUR|3SELL|4TLV|58VULN|6MBVNT|78DMG|8BPWR|9DUST|aRCR
73	11355 61211	3	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	18DUR|28ASPD|3ERES|4TLV|5BELT|68aVULN|7AART|8BPWR|9RCR
