0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36212 25335	1	 * 	288.56	DCR|4VULN|2DMG|1TLV|3LIT|1AART	158LIT|2BBNT|3AART|458aVULN|58BPWR|68DMG|7RCR|9TLV
2	61542 32221	2	 * 	277.03	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2ASPD|39DUR|4TLV|5BEXP|689VULN|7TBNT|9BPWR|aRCR
3	63542 32221	1	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2ASPD|39DUR|4TLV|5BEXP|689VULN|7TBNT|9BPWR|aRCR
4	31243 55113	2	 * 	276.73	DCR|2VULN|2DMG|2TLV|2DUR|2LIT|1AART	18LIT|28DMG|3AART|49VULN|57DUR|68TLV|8BPWR|aRCR
5	66146 11314	8	 * 	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	17DMG|2RPLT|3MBVNT|4CDMG|57VULN|679DUR|7BPWR|8TLV|aRCR
6	61352 32221	2	 * 	270.53	DCR|3VULN|2DMG|2TLV|1DUR	19DMG|2ASPD|39TLV|4DUR|5BEXP|689VULN|7TBNT|9BPWR|aRCR
7	63352 32221	1	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	19DMG|2ASPD|39TLV|4DUR|5BEXP|689VULN|7TBNT|9BPWR|aRCR
8	62542 32221	2	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2ZMB|39DUR|4TLV|5BEXP|689VULN|7TBNT|9BPWR|aRCR
9	36122 44113	6	   	268.65	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	18LIT|2RCVC|38DUR|4TLV|59VULN|6AART|78DMG|8BPWR|aRCR
10	36122 45113	7	   	268.65	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	18LIT|2RCVC|38DUR|4TLV|59VULN|6AART|78DMG|8BPWR|aRCR
11	36126 24113	6	   	268.65	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	18LIT|2RCVC|38DUR|4TLV|5AART|69VULN|78DMG|8BPWR|aRCR
12	36126 25113	7	   	268.65	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	18LIT|2RCVC|38DUR|4TLV|5AART|69VULN|78DMG|8BPWR|aRCR
13	32113 31356	5	 * 	268.35	DCR|4VULN|3DMG|3LIT	18aLIT|2FEWX|3MBVNT|48aDMG|578aVULN|6BBNT|8aBPWR|9RCR
14	32113 54356	5	   	268.35	DCR|4VULN|3DMG|3LIT	18aLIT|2FEWX|3MBVNT|48aDMG|568aVULN|7BBNT|8aBPWR|9RCR
15	32122 21356	3	   	268.35	DCR|4VULN|3DMG|3LIT	18aLIT|2FEWX|3MBVNT|4BBNT|578aVULN|68aDMG|8aBPWR|9RCR
16	33422 21356	1	   	268.35	DCR|4VULN|3DMG|3LIT	18aLIT|2MBVNT|3LWND|4BBNT|578aVULN|68aDMG|8aBPWR|9RCR
17	33822 21356	1	   	268.35	DCR|4VULN|3DMG|3LIT	18aLIT|2MBVNT|3FEWX|4BBNT|578aVULN|68aDMG|8aBPWR|9RCR
18	61322 25241	2	   	267.79	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	17DMG|27ASPD|3TLV|45BEXP|679VULN|7BPWR|8RCR|aCDMG
19	63322 25241	1	   	267.79	DCR|3VULN|2DMG|1TLV|2ASPD|1CDMG	17DMG|27ASPD|3TLV|45BEXP|679VULN|7BPWR|8RCR|aCDMG
20	36123 13524	7	 * 	267.76	DCR|3VULN|2TLV|2DUR|2LIT|1CDMG	19LIT|2RCVC|39DUR|4aTLV|5CDMG|679VULN|8RCR|9BPWR
21	36212 25324	1	   	267.51	DCR|3VULN|2DMG|1TLV|3LIT|1AART	158LIT|2BBNT|3AART|458VULN|58BPWR|68DMG|7RCR|9RCVC|aTLV
22	36212 25336	1	   	267.51	DCR|3VULN|2DMG|1TLV|3LIT|1AART	158LIT|2BBNT|3AART|458VULN|58BPWR|68DMG|7RCR|9TLV|aBELT
23	36212 25332	1	   	267.41	DCR|3VULN|2DMG|1TLV|3LIT|1AART	158LIT|2BBNT|3AART|458VULN|58BPWR|68DMG|7RCR|9TLV|aDUST
24	36212 25333	1	   	267.41	DCR|3VULN|2DMG|1TLV|3LIT|1AART	158LIT|2BBNT|3AART|458VULN|58BPWR|68DMG|7RCR|9TLV|aERES
25	36212 25331	1	   	267.27	DCR|3VULN|2DMG|1TLV|3LIT|1AART|1SELL	158LIT|2BBNT|3AART|458VULN|58BPWR|68DMG|7RCR|9TLV|aSELL
26	31244 25121	2	   	267.04	DCR|3VULN|2DMG|2DUR|2LIT|1AART	19LIT|2aDMG|3AART|469VULN|5TBNT|7RCR|89DUR|9BPWR
27	32112 57132	10	   	266.40	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	19LIT|2FEWX|3MBVNT|49DMG|5TLV|6RCR|7CDMG|89aVULN|9BPWR
28	31123 13524	7	   	266.40	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	19LIT|29DMG|3ERES|4RMIN|5CDMG|679VULN|8RCR|9BPWR|aTLV
29	36143 26133	9	   	266.36	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	19LIT|2RCVC|3DUR|49DMG|5CDMG|6TLV|7RCR|89VULN|9BPWR|aASPD
30	13321 14113	6	   	264.04	DCR|3VULN|2DMG|2TLV|1AART	18LWND|28TLV|3AART|459VULN|6LIT|78DMG|8BPWR|aRCR
31	13321 15113	7	   	264.04	DCR|3VULN|2DMG|2TLV|1AART	18LWND|28TLV|3AART|459VULN|6LIT|78DMG|8BPWR|aRCR
32	31563 26131	10	 * 	262.37	DCR|2VULN|3DMG|1TLV|3LIT|1CDMG	19aLIT|249DMG|3LEGI|5CDMG|6TLV|7RCR|89VULN|9BPWR
33	31563 26132	9	   	262.37	DCR|2VULN|3DMG|1TLV|3LIT|1CDMG	19aLIT|249DMG|3LEGI|5CDMG|6TLV|7RCR|89VULN|9BPWR
34	36212 25315	1	   	262.36	DCR|4VULN|2DMG|3LIT|1AART	158LIT|2BBNT|3AART|458aVULN|58BPWR|68DMG|7RCR|9CGEN
35	62352 32221	2	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	19DMG|2ZMB|39TLV|4DUR|5BEXP|689VULN|7TBNT|9BPWR|aRCR
36	31243 51113	2	   	262.14	DCR|2VULN|2DMG|2TLV|1DUR|2LIT|1AART	18LIT|28DMG|3AART|49VULN|5DUR|68TLV|7RCVC|8BPWR|aRCR
37	14534 33322	4	 * 	262.14	DCR|3VULN|3DUR|2TLV|1AART	13LWND|235DUR|35BPWR|456VULN|7AART|8aTLV|9RCR
38	63252 35133	8	 * 	261.95	DCR|3VULN|3DMG|1TLV	167DMG|2DUST|37CGEN|4BELT|567VULN|67BPWR|8RCR|9ASPD|aTLV
39	31243 55213	2	   	261.90	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1LIT|28DMG|3AART|49VULN|57DUR|6TLV|aRCR
