0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36233 65311	10	 * 	291.26	DCR|4VULN|2DMG|2CDMG|1TLV|1AART	1AART|238aVULN|48DMG|5ZMB|6TLV|78CDMG|8BPWR|9RCR
2	36234 35311	10	   	286.02	DCR|4VULN|2DMG|2CDMG|1ASPD|1AART	1AART|238aVULN|48DMG|5ASPD|6CGEN|78CDMG|8BPWR|9RCR
3	36326 23126	8	 * 	284.68	DCR|4VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249aVULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD
4	36233 65312	9	   	279.63	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD|1AART	1AART|238VULN|48DMG|5ZMB|6TLV|78CDMG|8BPWR|9RCR|aASPD
5	36235 23316	7	 * 	279.29	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1AART|237VULN|45DMG|68DUR|9RCR|aTLV
6	36215 35211	10	 * 	277.39	DCR|4VULN|2TLV|1DMG|2CDMG|1AART	1AART|238aVULN|48TLV|5DMG|6CGEN|78CDMG|8BPWR|9RCR
7	36233 65312	10	   	276.93	DCR|3VULN|2DMG|2CDMG|1TLV|1AART	1AART|238VULN|48DMG|5ZMB|6TLV|78CDMG|8BPWR|9RCR|aLIT
8	36222 34262	8	 * 	276.87	DCR|5VULN|2TLV|1DMG|1AART	1AART|23789VULN|4RPLT|57TLV|6RCR|7BPWR|aDMG
9	36235 23531	10	 * 	275.12	DCR|3VULN|3DMG|1DUR|1ASPD|1AART	1AART|237VULN|459DMG|6DUR|8ASPD|aRCR
10	36233 35311	10	   	275.01	DCR|4VULN|2DMG|2CDMG|1AART	1AART|238aVULN|48DMG|5ZMB|6CGEN|78CDMG|8BPWR|9RCR
11	36236 35211	10	   	275.01	DCR|4VULN|2DMG|2CDMG|1AART	1AART|238aVULN|48DMG|5MLV|6CGEN|78CDMG|8BPWR|9RCR
12	36433 35311	10	   	275.01	DCR|4VULN|2DMG|2CDMG|1AART	1AART|248aVULN|38DMG|5ZMB|6CGEN|78CDMG|8BPWR|9RCR
13	36322 15311	10	   	274.91	DCR|4VULN|2DMG|2CDMG|1AART	1AART|248aVULN|34CDMG|48BPWR|5RMIN|68DMG|78ERES|9RCR
14	36242 33315	4	 * 	274.09	DCR|4VULN|2DUR|2LIT|1ASPD|1AART	1AART|2368VULN|4RMIN|58LIT|78DUR|8BPWR|9ASPD|aRCR
15	36312 16212	7	 * 	273.93	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|27aVULN|37CDMG|4LIT|5DMG|67DUR|7BPWR|8RCR|9LWND
16	36312 16152	9	   	273.83	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|27aVULN|37CDMG|4LIT|5DMG|67DUR|7BPWR|8MBVNT|9RCR
17	36312 16232	7	   	273.83	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|27aVULN|37CDMG|4LIT|5DMG|67DUR|7BPWR|8RCR|9LEGI
