0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61522 21214	5	 * 	273.49	ACR|3VULN|3DMG|3DUR|3TLV|1NUKE	1RCR|28aDMG|356DUR|48aTLV|78aVULN|8aBPWR|9NUKE
2	33542 63332	8	 * 	271.56	DCR|3VULN|3DMG|3DUR|1SELL	17aDMG|24aFEWX|347DUR|47aBPWR|5SELL|67aVULN|8BELT|9RCR
3	33552 63332	8	 * 	271.46	DCR|3VULN|3DMG|3DUR|1SELL	17aDMG|2aFEWX|347DUR|5SELL|67aVULN|7aBPWR|8BELT|9RCR
4	35222 14342	5	 * 	271.38	DCR|3VULN|3DMG|2TLV|1AART	178DMG|2AART|38aVULN|4BEXP|5LHND|68TLV|8BPWR|9RCR
5	35212 14342	5	   	271.28	DCR|3VULN|3DMG|2TLV|1AART	178DMG|2AART|38aVULN|4DUST|5LHND|68TLV|8BPWR|9RCR
6	61523 21136	4	 * 	262.87	ACR|2VULN|3DUR|2DMG|2TLV|2CDMG|1AART	1RCR|2aDMG|356DUR|45TLV|5aBPWR|7aVULN|8aCDMG|9AART
7	31464 73224	4	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	16DMG|2MLV|38TLV|4MBVNT|569VULN|6BPWR|7RCR|aDUR
8	32115 43253	10	   	261.95	DCR|3VULN|3DMG|1TLV	158DMG|28LHND|3ASPD|4TLV|6BELT|789VULN|8BPWR|aRCR
9	33134 61111	2	   	261.52	DCR|3VULN|3DMG|2TLV	19aDMG|2FEWX|3TBNT|4aTLV|57aVULN|6RCR|8BBNT|aBPWR
10	33434 61111	2	   	261.52	DCR|3VULN|3DMG|2TLV	19aDMG|2FEWX|3BBNT|4aTLV|57aVULN|6RCR|8TBNT|aBPWR
11	36134 61111	1	   	261.52	DCR|3VULN|3DMG|2TLV	19aDMG|2FEWX|3TBNT|4aTLV|57aVULN|6RCR|8BBNT|aBPWR
12	61523 21121	4	   	261.51	ACR|2VULN|3DUR|2DMG|2TLV|2CDMG	1RCR|29DMG|356DUR|45TLV|59BPWR|79VULN|89CDMG|aLIT
13	61523 21122	4	   	261.51	ACR|2VULN|3DUR|2DMG|2TLV|2CDMG	1RCR|29DMG|356DUR|45TLV|59BPWR|79VULN|89CDMG|aASPD
14	35213 24123	3	 * 	260.74	DCR|5VULN|2DMG|1AART	1aDMG|2AART|34678VULN|56BEXP|6BPWR|9RCR
15	35223 24123	5	   	260.74	DCR|5VULN|2DMG|1AART	1aDMG|2AART|35678VULN|46BEXP|6BPWR|9RCR
16	35215 14123	3	   	260.64	DCR|5VULN|2DMG|1AART	1aDMG|2AART|34578VULN|6LWND|9RCR
17	35213 24123	5	   	260.54	DCR|5VULN|2DMG|1AART	1aDMG|2AART|35678VULN|46DUST|6BPWR|9RCR
18	35216 24123	3	   	260.54	DCR|5VULN|2DMG|1AART	1aDMG|2AART|34678VULN|56DUST|6BPWR|9RCR
19	34236 23724	1	 * 	259.40	DCR|5VULN|1TLV|1DMG	1DMG|2MBVNT|35689VULN|4DUST|7RCR|aTLV
20	31312 62631	8	 * 	258.80	DCR|4VULN|2DMG|1TLV|1SELL	17DMG|27MLV|3LWND|4TLV|5SELL|678aVULN|7BPWR|9RCR
