0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51124 35222	7	 * 	314.50	DCR|4VULN|3DMG|3CDMG|1TLV|1ASPD	1489VULN|2ASPD|389DMG|5FEWX|6TLV|789CDMG|89BPWR|aRCR
2	13123 35121	9	 * 	311.42	DCR|5VULN|3DMG|2DUR	1RCVC|24678VULN|38DUR|58aDMG|8BPWR|9RCR
3	12123 35122	8	 * 	308.99	DCR|5VULN|3DUR|2DMG	1RCVC|238DUR|46789VULN|58DMG|8BPWR|aRCR
4	12123 35162	9	   	308.99	DCR|5VULN|3DUR|2DMG	1RCVC|238DUR|46789VULN|58DMG|8BPWR|aRCR
5	13123 35142	9	   	308.99	DCR|5VULN|3DUR|2DMG	1RCVC|24678VULN|389DUR|58DMG|8BPWR|aRCR
6	13123 35152	8	   	308.99	DCR|5VULN|3DUR|2DMG	1RCVC|24678VULN|389DUR|58DMG|8BPWR|aRCR
7	12123 35312	7	   	308.99	DCR|5VULN|3DUR|2DMG	1RCVC|239DUR|46789VULN|59DMG|9BPWR|aRCR
8	52623 35121	10	   	308.99	DCR|5VULN|3DUR|2DMG	14678VULN|238DUR|58DMG|8BPWR|9RCR|aBEXP
9	52623 35122	9	   	308.99	DCR|5VULN|3DUR|2DMG	14678VULN|238DUR|58DMG|8BPWR|9RCR|aFEWX
10	52623 35122	10	   	308.99	DCR|5VULN|3DUR|2DMG	14678VULN|238DUR|58DMG|8BPWR|9RCR|aLWND
11	52623 35123	10	   	308.99	DCR|5VULN|3DUR|2DMG	14678VULN|238DUR|58DMG|8BPWR|9RCR|aLHND
12	52623 35312	8	   	308.99	DCR|5VULN|3DUR|2DMG	14679VULN|239DUR|59DMG|8RCVC|9BPWR|aRCR
13	52623 36122	8	   	308.99	DCR|5VULN|3DUR|2DMG	14689VULN|238DUR|58DMG|7RCVC|8BPWR|aRCR
14	52623 36312	7	   	308.99	DCR|5VULN|3DUR|2DMG	14689VULN|239DUR|59DMG|7RCVC|9BPWR|aRCR
15	52633 35122	8	   	308.99	DCR|5VULN|3DUR|2DMG	16789VULN|238DUR|4DMSP|58DMG|8BPWR|aRCR
16	52633 35312	7	   	308.99	DCR|5VULN|3DUR|2DMG	16789VULN|239DUR|4DMSP|59DMG|9BPWR|aRCR
17	52623 35121	9	   	308.89	DCR|5VULN|3DUR|2DMG	14678VULN|238DUR|58DMG|8BPWR|9RCR|aMBVNT
18	52623 35123	9	   	308.89	DCR|5VULN|3DUR|2DMG	14678VULN|238DUR|58DMG|8BPWR|9RCR|aERES
19	51323 45223	6	 * 	307.88	DCR|4VULN|3DMG|3ASPD|1DUR|1SELL	1789VULN|289ASPD|3ERES|4DUR|589DMG|6SELL|89BPWR|aRCR
20	12123 35122	9	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aTLV
21	12123 35145	8	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9TLV|aRCR
22	52623 36122	9	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	1468VULN|238DUR|58DMG|7RCVC|8BPWR|9RCR|aTLV
23	52633 35122	9	   	305.70	DCR|4VULN|3DUR|2DMG|1TLV	1678VULN|238DUR|4DMSP|58DMG|8BPWR|9RCR|aTLV
24	13123 35126	9	   	305.42	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aAART
25	12123 35121	9	 * 	305.10	DCR|4VULN|3DMG|3DUR	1RCVC|238DUR|4678VULN|58aDMG|8BPWR|9RCR
26	52623 36121	9	   	305.10	DCR|4VULN|3DMG|3DUR	1468VULN|238DUR|58aDMG|7RCVC|8BPWR|9RCR
27	52633 35121	9	   	305.10	DCR|4VULN|3DMG|3DUR	1678VULN|238DUR|4DMSP|58aDMG|8BPWR|9RCR
28	51122 45222	7	   	298.25	DCR|4VULN|3DMG|3CDMG|1ASPD	1489VULN|2ASPD|389DMG|5LWND|6CGEN|789CDMG|89BPWR|aRCR
29	51122 65222	7	   	298.15	DCR|4VULN|3DMG|3CDMG|1ASPD	1489VULN|2ASPD|389DMG|5LWND|6ERES|789CDMG|89BPWR|aRCR
30	52363 33225	9	   	297.23	DCR|5VULN|2DMG|1TLV|1DUR	16789VULN|2DUR|3TLV|45DMG|aRCR
31	52343 33331	4	   	296.43	DCR|3VULN|3DUR|2DMG|2TLV	15aVULN|246DUR|3aTLV|7AART|8RCR|9aDMG|aBPWR
32	13123 35122	10	   	295.76	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aZMB
33	13123 35122	9	   	295.76	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aMLV
34	13123 35124	10	   	295.76	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aLWND
35	13123 35124	9	   	295.76	DCR|5VULN|2DMG|2DUR	1aRCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR
36	13123 35126	10	   	295.76	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aRMIN
37	13123 35123	10	   	295.66	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aDUST
38	13123 35125	10	   	295.66	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aERES
39	13123 35125	9	   	295.66	DCR|5VULN|2DMG|2DUR	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aERES
40	13123 35123	9	   	295.52	DCR|5VULN|2DMG|2DUR|1SELL	1RCVC|24678VULN|38DUR|58DMG|8BPWR|9RCR|aSELL
41	52341 33225	9	   	294.23	DCR|5VULN|2DUR|1DMG|1TLV	16789VULN|24DUR|3TLV|5DMG|aRCR
42	51111 51161	4	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD	19aVULN|2ASPD|39aDMG|4ERES|5BEXP|6LEGI|79aDUR|8RCR|9aBPWR
43	51112 51161	4	   	293.47	DCR|3VULN|3DMG|3DUR|1ASPD	19aVULN|2ASPD|39aDMG|4ERES|5FEWX|6LEGI|79aDUR|8RCR|9aBPWR
