0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36121 32362	4	 * 	296.43	DCR|3VULN|3DUR|2DMG|3LIT	17aDUR|25DMG|35aVULN|4AART|5aBPWR|69aLIT|8RCR
2	32221 34145	10	 * 	292.32	DCR|3VULN|3DMG|3DUR	157DUR|29aVULN|37aDMG|4AART|67aBEXP|7aBPWR|8RCR
3	44613 31133	6	   	291.75	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	17DMG|23LIT|467VULN|57DUR|7BPWR|8CDMG|9AART|aRCR
4	36121 43112	9	   	291.33	DCR|3VULN|3DUR|2DMG|2LIT	15aDUR|27DMG|38aVULN|4AART|6aLIT|9RCR|aBPWR
5	36122 42112	9	   	291.33	DCR|3VULN|3DUR|2DMG|2LIT	17aDUR|25DMG|38aVULN|4AART|6aLIT|9RCR|aBPWR
6	44613 31333	5	   	291.33	DCR|3VULN|3DUR|2DMG|2LIT	17DMG|23LIT|479VULN|567DUR|7BPWR|8AART|aRCR
7	32221 32362	4	 * 	285.18	DCR|2VULN|3DMG|3DUR|3LIT	17aDUR|25VULN|35aDMG|4AART|5aBPWR|69aLIT|8RCR
8	32221 12563	4	   	284.68	DCR|3VULN|3DUR|2DMG	179DUR|256VULN|35DMG|4AART|5BPWR|8LIT|aRCR
9	36121 12563	4	   	284.68	DCR|3VULN|3DUR|2DMG	179DUR|25DMG|356VULN|4AART|5BPWR|8LIT|aRCR
10	36112 13332	6	 * 	284.08	DCR|3VULN|3DUR|2ASPD|1DMG|1CDMG	167DUR|2DMG|347VULN|57ASPD|7BPWR|8CDMG|9FEWX|aRCR
11	36112 13342	6	   	283.98	DCR|3VULN|3DUR|2ASPD|1DMG|1CDMG	167DUR|2DMG|347VULN|57ASPD|7BPWR|8CDMG|9DUST|aRCR
12	36122 44112	9	   	283.11	DCR|3VULN|2DMG|2DUR|3LIT	1aDUR|25DMG|38aVULN|4AART|67aLIT|9RCR|aBPWR
13	32242 23161	5	   	282.56	DCR|3VULN|3DMG|3DUR	157DUR|29aVULN|379DMG|467ZMB|79BPWR|8RCR
14	36314 31114	9	   	282.46	DCR|3VULN|3DMG|3DUR	156DUR|289DMG|3DUST|458VULN|58BPWR|78MLV|aRCR
15	36214 63232	5	 * 	281.77	ACR|4VULN|3DUR|2DMG|2LIT	19aDUR|25DMG|3RCR|457aVULN|5aBPWR|6AART|8aLIT
16	36214 63332	5	   	281.77	ACR|4VULN|3DUR|2DMG|2LIT	18aDUR|25DMG|3RCR|457aVULN|5aBPWR|6AART|9aLIT
17	31214 22361	9	   	281.77	DCR|3VULN|3DUR|2DMG|2LIT	159DUR|2LWND|39DMG|45aVULN|59BPWR|6ZMB|79LIT|8RCR
18	31214 22361	10	   	281.77	DCR|3VULN|3DUR|2DMG|2LIT	159DUR|2LWND|39DMG|45aVULN|59BPWR|6ZMB|79LIT|8RCR
19	36142 23161	5	   	280.56	DCR|3VULN|3DUR|2DMG|1CDMG	157DUR|29DMG|379VULN|467ZMB|79BPWR|8RCR|aCDMG
20	32216 13332	6	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	167DUR|247VULN|37DMG|5NUKE|7BPWR|8CDMG|9FEWX|aRCR
21	36116 13332	6	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	167DUR|27DMG|347VULN|5NUKE|7BPWR|8CDMG|9FEWX|aRCR
22	32216 13342	6	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	167DUR|247VULN|37DMG|5NUKE|7BPWR|8CDMG|9DUST|aRCR
23	36116 13342	6	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	167DUR|27DMG|347VULN|5NUKE|7BPWR|8CDMG|9DUST|aRCR
24	32221 43112	9	   	280.07	DCR|2VULN|3DMG|3DUR|2LIT	15aDUR|28VULN|37aDMG|4AART|6aLIT|9RCR|aBPWR
25	32222 42112	9	   	280.07	DCR|2VULN|3DMG|3DUR|2LIT	17aDUR|28VULN|35aDMG|4AART|6aLIT|9RCR|aBPWR
26	36121 44112	9	   	278.75	DCR|3VULN|3DUR|3LIT|1DMG	15aDUR|2DMG|38aVULN|4AART|67aLIT|9RCR|aBPWR
27	32214 61326	7	 * 	278.60	DCR|4VULN|2DUR|1DMG|2CDMG	19DUR|2469VULN|3DMG|5RPLT|7CGEN|89CDMG|9BPWR|aRCR
28	32214 62326	6	   	278.60	DCR|4VULN|2DUR|1DMG|2CDMG	19DUR|2469VULN|3DMG|5RPLT|7CGEN|89CDMG|9BPWR|aRCR
29	43111 23326	4	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	19DMG|2BEXP|349VULN|589DUR|6RCR|7RCVC|9BPWR|aASPD
30	43111 24226	4	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	19DMG|28BEXP|349VULN|579DUR|6RCR|9BPWR|aASPD
31	43111 26326	4	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	19DMG|27BEXP|349VULN|589DUR|6RCR|9BPWR|aASPD
32	45121 15232	4	 * 	277.78	DCR|4VULN|2DMG|2AART|2LIT	1aDMG|25FEWX|356aVULN|47AART|5aBPWR|8RCR|9aLIT
33	45123 15232	5	   	277.78	DCR|4VULN|2DMG|2AART|2LIT	1aDMG|25FEWX|356aVULN|47AART|5aBPWR|8RCR|9aLIT
