0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12623 12534	4	 * 	301.80	DCR|5VULN|3DMG|2ASPD	1345aVULN|2CGEN|68aDMG|7RCR|9aASPD|aBPWR
2	42623 15312	4	   	297.43	DCR|5VULN|2DMG|1TLV|1DUR	17CGEN|23457VULN|67DMG|7BPWR|8RCR|9TLV|aDUR
3	12623 15312	4	   	297.43	DCR|5VULN|2DMG|1TLV|1DUR	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TLV|aDUR
4	12653 15312	3	   	297.43	DCR|5VULN|2DMG|1TLV|1DUR	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TLV|aDUR
5	14523 12234	4	   	295.90	DCR|5VULN|2DMG|2TLV|1ASPD	1459aVULN|2DMSP|3ASPD|6aDMG|7RCR|8aTLV|aBPWR
6	42623 15313	4	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	17CGEN|23457VULN|67DMG|7BPWR|8RCR|9TLV|aCDMG
7	12623 15313	4	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TLV|aCDMG
8	12653 15313	3	   	294.83	DCR|5VULN|2DMG|1TLV|1CDMG	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TLV|aCDMG
9	12623 15316	4	   	289.49	DCR|5VULN|2DMG|1TLV	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TLV|aLIT
10	12643 12334	3	   	286.14	DCR|5VULN|2DMG|2ASPD	1358aVULN|24CGEN|6aDMG|7RCR|9aASPD|aBPWR
11	12623 15314	4	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9aTLV
12	42623 15311	4	   	281.18	DCR|5VULN|2DMG|1TLV	17aCGEN|23457VULN|67DMG|7BPWR|8RCR|9TLV
13	12623 15311	4	   	281.18	DCR|5VULN|2DMG|1TLV	13457VULN|27aCGEN|67DMG|7BPWR|8RCR|9TLV
14	12623 15325	4	   	281.18	DCR|5VULN|2DMG|1DUR	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9FEWX|aDUR
15	12623 15342	4	   	281.18	DCR|5VULN|2DMG|1DUR	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9MLV|aDUR
16	12623 15352	4	   	281.18	DCR|5VULN|2DMG|1DUR	13457VULN|279CGEN|67DMG|7BPWR|8RCR|aDUR
17	12653 15311	3	   	281.18	DCR|5VULN|2DMG|1TLV	13457VULN|27aCGEN|67DMG|7BPWR|8RCR|9TLV
18	12623 15315	4	   	281.08	DCR|5VULN|2DMG|1TLV	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TLV|aTBNT
19	12623 15335	4	   	281.08	DCR|5VULN|2DMG|1DUR	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TBNT|aDUR
20	32626 32418	1	 * 	280.95	DCR|4VULN|2DMG|3CDMG	178CDMG|2358VULN|4MBVNT|68DMG|8BPWR|9AART|aRCR
21	12623 12514	4	   	280.48	DCR|5VULN|3DMG|1NUKE	1345aVULN|2aCGEN|68aDMG|7RCR|9NUKE|aBPWR
22	12623 15363	4	   	280.48	DCR|5VULN|3DMG	13457VULN|27CGEN|67aDMG|7BPWR|8RCR|9MBVNT
23	12623 12232	4	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	13459VULN|2CGEN|6DMG|7RCR|8TLV|aDUR
24	12623 12312	4	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	13458VULN|2CGEN|6DMG|7RCR|9TLV|aDUR
25	12653 12232	3	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	13459VULN|2CGEN|6DMG|7RCR|8TLV|aDUR
26	12653 12312	3	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	13458VULN|2CGEN|6DMG|7RCR|9TLV|aDUR
27	42623 12232	4	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1CGEN|23459VULN|6DMG|7RCR|8TLV|aDUR
