0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12243 63241	10	 * 	280.27	DCR|4VULN|2TLV|2DUR|1DMG	139aVULN|2aTLV|4ERES|5RCVC|6DMG|7aDUR|8RCR|aBPWR
2	13166 32132	1	 * 	277.70	DCR|4VULN|2TLV|1DMG|2CDMG	1259VULN|39CDMG|4DMG|6LIT|79TLV|8BBNT|9BPWR|aRCR
3	14244 33231	10	 * 	275.70	DCR|4VULN|2DUR|1TLV|3ASPD	135aVULN|29aASPD|4ERES|6TLV|7aDUR|8RCR|aBPWR
4	14246 33231	10	   	275.70	DCR|4VULN|2DUR|1TLV|3ASPD	136aVULN|29aASPD|4ERES|5TLV|7aDUR|8RCR|aBPWR
5	13332 12121	1	 * 	274.91	DCR|4VULN|3DUR|1TLV|1AART	126aVULN|378DUR|4AART|5TLV|9RCR
6	13336 22121	1	   	274.91	DCR|4VULN|3DUR|1TLV|1AART	125aVULN|378DUR|4AART|6TLV|9RCR
7	14211 23236	10	 * 	274.82	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	13aVULN|29aASPD|4RCVC|5DMG|6TLV|7aDUR|8RCR|aBPWR
8	26126 34221	1	   	274.30	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	17LIT|2BBNT|37DUR|4ASPD|5DMG|678VULN|7BPWR|9TLV|aRCR
9	22336 25111	7	   	274.12	DCR|4VULN|1TLV|1DMG|1DUR	1LIT|2ASPD|378aVULN|4DMG|5TLV|6DUR|9RCR
10	22336 25111	6	   	274.12	DCR|4VULN|1TLV|1DMG|1DUR	1LIT|2ASPD|378aVULN|4DMG|5TLV|6DUR|9RCR
11	13332 12125	1	 * 	273.92	DCR|3VULN|3DUR|1TLV|1DMG|1AART	126VULN|378DUR|4AART|5TLV|9RCR|aDMG
12	13336 22125	1	   	273.92	DCR|3VULN|3DUR|1TLV|1DMG|1AART	125VULN|378DUR|4AART|6TLV|9RCR|aDMG
13	16262 13411	3	 * 	273.09	DCR|4VULN|2DMG|2DUR|1AART|1SELL	136aVULN|2ZMB|4aDUR|5AART|7aDMG|8SELL|9RCR|aBPWR
14	16362 13411	2	 * 	273.09	DCR|4VULN|2DMG|2DUR|1AART|1SELL	146aVULN|2ZMB|3aDUR|5AART|7aDMG|8SELL|9RCR|aBPWR
15	12243 63251	10	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	13aVULN|2aTLV|4ERES|5RCVC|6DMG|79aDUR|8RCR|aBPWR
16	13364 33241	10	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	159aVULN|2RCVC|3aERES|4DMG|6TLV|7aDUR|8RCR|aBPWR
17	13366 33241	10	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	169aVULN|2RCVC|3aERES|4DMG|5TLV|7aDUR|8RCR|aBPWR
18	12235 23426	10	 * 	268.88	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	13aVULN|2aTLV|4LHND|58CDMG|6RCR|7AART|9aDUR|aBPWR
19	14126 33241	10	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	169aVULN|2aASPD|3TLV|4RCVC|5ERES|7aDUR|8RCR|aBPWR
20	14243 33241	10	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	139aVULN|2aASPD|4ERES|5RCVC|6TLV|7aDUR|8RCR|aBPWR
21	22336 22111	7	   	267.65	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|2ASPD|38aVULN|4DMG|5TLV|67DUR|9RCR
22	22336 25113	7	   	267.65	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|2ASPD|378VULN|4DMG|5TLV|6aDUR|9RCR
