0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21353 15143	8	 * 	312.86	DCR|5VULN|3DMG|1TLV|2CDMG|1SELL	134DMG|23459VULN|349BPWR|6SELL|7RCR|89CDMG|aTLV
2	21353 33563	10	 * 	305.97	DCR|5VULN|3DMG|2DUR	134DMG|23456VULN|34BPWR|7ASPD|8aDUR|9RCR
3	21311 16641	7	 * 	305.53	DCR|4VULN|3DMG|2DUR|1TLV	139DMG|2379VULN|39BPWR|4ERES|5LWND|69DUR|8RCR|aTLV
4	21513 51333	10	 * 	303.33	DCR|4VULN|2DMG|2TLV|2CDMG|1DUR	18DMG|2589VULN|34CDMG|6DUR|78TLV|8BPWR|aRCR
5	21356 11322	9	 * 	302.60	DCR|5VULN|3DMG|1TLV	134DMG|23468VULN|34BPWR|5DLOT|7AART|9TLV|aRCR
6	21352 23524	4	 * 	301.12	DCR|5VULN|3DMG|2TLV	134DMG|2349aVULN|349BPWR|59TLV|6TBNT|7RCR|8RCVC
7	21352 23624	4	   	301.12	DCR|5VULN|3DMG|2TLV	134DMG|2349aVULN|349BPWR|59TLV|6TBNT|7RCR|8DMSP
8	21353 31146	5	   	300.51	DCR|4VULN|3DMG|1TLV|1DUR	134DMG|2345VULN|34BPWR|6ERES|7RCR|8AART|9TLV|aDUR
9	21353 33562	10	   	299.70	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7ASPD|8DUR|9RCR|aLIT
10	21353 23165	7	   	299.25	DCR|4VULN|3DMG|1TLV|1DUR	134DMG|2345VULN|34BPWR|6RPLT|7DUR|8RCR|9LIT|aTLV
11	21353 23123	7	   	297.67	DCR|5VULN|3DMG|2DUR	134DMG|2345aVULN|34BPWR|6RPLT|79DUR|8RCR
12	21353 31561	10	   	296.73	DCR|5VULN|3DMG|1DUR|1CDMG	134DMG|23456VULN|34BPWR|7MLV|8DUR|9RCR|aCDMG
13	21352 23122	4	 * 	296.32	DCR|4VULN|3DMG|3TLV|1CDMG	134DMG|2349VULN|349BPWR|589TLV|6TBNT|7RCR|aCDMG
14	21353 31156	7	   	293.04	DCR|5VULN|3DMG|1TLV	134DMG|23456VULN|34BPWR|7MLV|8TLV|9LWND|aRCR
15	21353 32222	7	   	293.04	DCR|5VULN|3DMG|1TLV	134DMG|23456VULN|34BPWR|7RPLT|8RCR|9CGEN|aTLV
