0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32631 36432	10	 * 	265.47	DCR|3VULN|3DUR|1DMG|1TLV	17ZMB|2TLV|367DUR|47aVULN|5DMSP|7BPWR|8DMG|9RCR
2	43284 46311	10	 * 	261.14	DCR|4VULN|3DMG	18aFEWX|2MBVNT|3CGEN|4RPLT|589aVULN|68aDMG|7RCR|8aBPWR
3	13383 21852	6	 * 	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	19LHND|2MBVNT|39DMG|4aCDMG|5DUR|679VULN|8RCR|9BPWR
4	14623 62112	7	 * 	258.54	DCR|4VULN|2DUR|2TLV	19LHND|25TLV|3RCVC|4569VULN|59BPWR|79DUR|8TBNT|aRCR
5	32631 36362	10	   	256.41	DCR|3VULN|3DUR|1TLV|1ASPD	17ZMB|2TLV|367DUR|47aVULN|5DMSP|7BPWR|8RCR|9ASPD
6	13235 11852	3	 * 	255.86	DCR|3VULN|2DUR|1DMG|2CDMG	19LHND|2MBVNT|379VULN|4aCDMG|5DMG|69DUR|8RCR|9BPWR
7	13423 72228	10	 * 	254.62	DCR|4VULN|3ASPD|1TLV	17LHND|2MBVNT|3TLV|467aVULN|578ASPD|7BPWR|9RCR
8	43343 28314	3	 * 	254.33	DCR|5VULN|1TLV|1ASPD	15FEWX|2MBVNT|3457aVULN|5BPWR|6ASPD|8TLV|9RCR
9	43743 28314	2	   	254.33	DCR|5VULN|1TLV|1ASPD	15FEWX|2MBVNT|3457aVULN|5BPWR|6ASPD|8TLV|9RCR
10	13234 11847	3	   	254.04	DCR|3VULN|2DUR|1TLV|1CDMG	18LHND|2MBVNT|378VULN|4CDMG|5TLV|68DUR|8BPWR|9LIT|aRCR
11	13734 11847	2	   	254.04	DCR|3VULN|2DUR|1TLV|1CDMG	18LHND|2MBVNT|378VULN|4CDMG|5TLV|68DUR|8BPWR|9LIT|aRCR
12	32613 15352	3	   	253.79	DCR|4VULN|1TLV|1DUR|1CDMG	156ZMB|2TLV|3DUR|456aVULN|56BPWR|7MBVNT|8CDMG|9RCR
13	32633 15352	4	   	253.79	DCR|4VULN|1TLV|1DUR|1CDMG	156ZMB|2TLV|3DUR|456aVULN|56BPWR|7MBVNT|8CDMG|9RCR
14	13232 35881	10	   	253.75	DCR|3VULN|2DMG|1TLV|2LIT	1aLHND|2MBVNT|39aVULN|46LIT|5TLV|7aDMG|8RCR|aBPWR
15	13313 46881	10	   	253.26	DCR|3VULN|3DMG|2LIT	1aLHND|2MBVNT|35aDMG|45LIT|5aBPWR|6MLV|79aVULN|8RCR
16	13383 21853	6	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	19aLHND|2MBVNT|39DMG|4CDMG|5DUR|679VULN|8RCR|9BPWR
17	13383 21854	6	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	19LHND|2MBVNT|39DMG|4CDMG|5DUR|679VULN|8RCR|9BPWR|aZMB
18	13383 21851	6	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	19LHND|2MBVNT|39DMG|4CDMG|5DUR|679VULN|8RCR|9BPWR|aERES
19	15233 51122	5	   	251.22	DCR|3VULN|3DUR|1CDMG	19aLHND|2LWND|39aVULN|4LIT|5CDMG|6RCR|7BBNT|89aDUR|9aBPWR
20	32613 12164	3	   	251.21	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	156ZMB|2TLV|3DUR|456VULN|56BPWR|7DMG|8BBNT|9CDMG|aRCR
21	32633 12164	4	   	251.21	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	156ZMB|2TLV|3DUR|456VULN|56BPWR|7DMG|8BBNT|9CDMG|aRCR
22	12233 51122	5	   	251.12	DCR|3VULN|3DUR|1CDMG	19aLHND|2DUST|39aVULN|4LIT|5CDMG|6RCR|7BBNT|89aDUR|9aBPWR
23	43343 28311	3	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	15FEWX|2MBVNT|3457VULN|5BPWR|6ASPD|8TLV|9RCR|aDUR
24	43743 28311	2	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	15FEWX|2MBVNT|3457VULN|5BPWR|6ASPD|8TLV|9RCR|aDUR
25	43373 44281	3	   	250.94	DCR|3VULN|1DMG|2CDMG|1TLV|1AART	1aFEWX|2MBVNT|37aVULN|4TLV|5AART|6DMG|8RCR|9aCDMG|aBPWR
26	13417 42138	7	 * 	250.91	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG	1LHND|2MBVNT|3aTLV|4LIT|5CDMG|6RCR|7aDUR|8DMG|9aVULN|aBPWR
27	13417 42138	5	   	250.91	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG	1LHND|2MBVNT|3aTLV|4LIT|5CDMG|6RCR|7aDUR|8DMG|9aVULN|aBPWR
28	13417 42138	6	   	250.91	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG	1LHND|2MBVNT|3aTLV|4LIT|5CDMG|6RCR|7aDUR|8DMG|9aVULN|aBPWR
29	13454 42138	6	   	250.91	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG	1LHND|2MBVNT|3aTLV|4CDMG|5LIT|6RCR|7aDUR|8DMG|9aVULN|aBPWR
30	13454 42138	5	   	250.91	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG	1LHND|2MBVNT|3aTLV|4CDMG|5LIT|6RCR|7aDUR|8DMG|9aVULN|aBPWR
31	13454 42138	7	   	250.91	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG	1LHND|2MBVNT|3aTLV|4CDMG|5LIT|6RCR|7aDUR|8DMG|9aVULN|aBPWR
32	13323 53168	8	   	249.70	DCR|3VULN|2DMG|1TLV|1ASPD	1LHND|2MBVNT|38DMG|49aVULN|5ASPD|6TLV|7RCR
33	13323 53638	7	   	249.70	DCR|3VULN|2DMG|1TLV|1ASPD	1LHND|2MBVNT|39DMG|48aVULN|5ASPD|6TLV|7RCR
34	32631 36432	9	   	249.57	DCR|2VULN|3DUR|1DMG|1TLV|1ASPD	17ZMB|2TLV|367DUR|47VULN|5DMSP|7BPWR|8DMG|9RCR|aASPD
35	13152 84412	5	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	18LHND|2MBVNT|3BELT|4CDMG|58DUR|6RCR|78aVULN|8BPWR|9DMG
36	13152 84444	5	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	18LHND|2MBVNT|3BELT|4CDMG|58DUR|6RCR|789VULN|8BPWR|aDMG
37	13154 84412	4	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	18LHND|2MBVNT|3BELT|4CDMG|58DUR|6RCR|78aVULN|8BPWR|9DMG
38	13154 84444	4	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	18LHND|2MBVNT|3BELT|4CDMG|58DUR|6RCR|789VULN|8BPWR|aDMG
39	13235 11853	3	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	19aLHND|2MBVNT|379VULN|4CDMG|5DMG|69DUR|8RCR|9BPWR
40	13235 11854	3	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	19LHND|2MBVNT|379VULN|4CDMG|5DMG|69DUR|8RCR|9BPWR|aZMB
41	13235 11851	3	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	19LHND|2MBVNT|379VULN|4CDMG|5DMG|69DUR|8RCR|9BPWR|aERES
42	13325 24752	8	   	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	19LHND|2MBVNT|3DMG|469VULN|5SELL|79DUR|8RCR|9BPWR|aCDMG
43	13325 24852	7	   	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	19LHND|2MBVNT|3DMG|469VULN|5SELL|79DUR|8RCR|9BPWR|aCDMG
44	13325 11852	5	   	249.30	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	19LHND|2MBVNT|3DMG|479VULN|5SELL|69DUR|8RCR|9BPWR|aCDMG
45	31631 36432	10	   	249.12	DCR|3VULN|3DUR|1DMG	17ZMB|2ERES|367DUR|47aVULN|5DMSP|7BPWR|8DMG|9RCR
46	32631 36161	7	 * 	249.12	DCR|3VULN|3DUR|2TLV	17ZMB|29TLV|367DUR|47aVULN|5DMSP|7BPWR|8RCR
47	32631 36311	9	   	249.12	DCR|3VULN|3DUR|2TLV	17ZMB|29TLV|367DUR|47aVULN|5DMSP|7BPWR|8RCR
48	32631 36361	8	   	249.12	DCR|3VULN|3DUR|2TLV	17ZMB|29TLV|367DUR|47aVULN|5DMSP|7BPWR|8RCR
49	14523 32446	8	 * 	249.02	DCR|3VULN|3DUR|3TLV	1aLHND|235TLV|45aVULN|5aBPWR|6MBVNT|79aDUR|8RCR
50	32652 12161	3	   	249.02	DCR|3VULN|3DUR|2TLV	16ZMB|29TLV|347DUR|56aVULN|6BPWR|8RCR
51	32613 15427	3	   	248.56	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	156ZMB|2TLV|3DUR|456VULN|56BPWR|7MBVNT|8ASPD|9RCR|aDMG
52	32633 15427	4	   	248.56	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	156ZMB|2TLV|3DUR|456VULN|56BPWR|7MBVNT|8ASPD|9RCR|aDMG
53	14423 61122	10	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2TLV|3DUR|46aVULN|5ASPD|7RMIN|8DMG|9RCR
54	13423 38862	5	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2MBVNT|3TLV|469VULN|5ASPD|7DUR|8RCR|aDMG
55	13323 53661	8	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2MBVNT|3DMG|49aVULN|5ASPD|6TLV|7RCR|8DUR
56	13323 53861	7	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2MBVNT|3DMG|49aVULN|5ASPD|6TLV|7RCR|8DUR
57	13423 18862	5	   	248.36	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|2MBVNT|3TLV|479VULN|5ASPD|6DUR|8RCR|aDMG
58	13423 87373	4	   	248.25	DCR|4VULN|1DUR|1TLV	1LHND|2MBVNT|3TLV|469aVULN|5DUR|7LIT|8RCR
59	13323 43444	4	   	248.17	DCR|4VULN|1DMG|1ASPD|1AART	1LHND|2MBVNT|3DMG|489aVULN|5AART|6ASPD|7RCR
60	13323 63444	6	   	248.17	DCR|4VULN|1DMG|1ASPD|1AART	1LHND|2MBVNT|3DMG|489aVULN|5ASPD|6AART|7RCR
61	13234 67123	4	   	247.01	DCR|3VULN|2DMG|1DUR	1LHND|2MBVNT|38aVULN|4LIT|5DUR|6RCR|79DMG
62	13322 37735	4	   	247.01	DCR|3VULN|2DMG|1TLV	1LHND|2MBVNT|36DMG|469VULN|5TBNT|6BPWR|7LIT|8TLV|aRCR
63	13243 27312	3	   	246.91	DCR|4VULN|1DMG|1ASPD	15LHND|2MBVNT|3459VULN|5BPWR|6ASPD|7LIT|8RCR|aDMG
64	13743 27312	2	   	246.91	DCR|4VULN|1DMG|1ASPD	15LHND|2MBVNT|3459VULN|5BPWR|6ASPD|7LIT|8RCR|aDMG
65	43343 27312	3	   	246.91	DCR|4VULN|1DMG|1ASPD	15FEWX|2MBVNT|3459VULN|5BPWR|6ASPD|7LIT|8RCR|aDMG
66	43743 27312	2	   	246.91	DCR|4VULN|1DMG|1ASPD	15FEWX|2MBVNT|3459VULN|5BPWR|6ASPD|7LIT|8RCR|aDMG
67	32631 36433	10	   	246.87	DCR|2VULN|3DUR|1DMG|1TLV	17ZMB|2TLV|367DUR|47VULN|5DMSP|7BPWR|8DMG|9RCR|aLIT
68	13211 61854	1	 * 	246.77	DCR|3VULN|3ASPD|2DUR	189LHND|26DUR|389ASPD|4RPLT|5MBVNT|789VULN|89BPWR|aRCR
69	13383 21752	8	 * 	246.54	DCR|2VULN|2DMG|2DUR|2CDMG	19LHND|2MBVNT|39DMG|4aCDMG|57DUR|69VULN|8RCR|9BPWR
70	13383 21852	7	   	246.54	DCR|2VULN|2DMG|2DUR|2CDMG	19LHND|2MBVNT|39DMG|4aCDMG|57DUR|69VULN|8RCR|9BPWR
71	31433 24321	10	   	246.51	DCR|3VULN|3DMG	1ZMB|289ERES|3CGEN|4DUST|589VULN|6LIT|789DMG|89BPWR|aRCR
72	31433 24326	9	   	246.51	DCR|3VULN|3DMG	1ZMB|289ERES|3CGEN|4DUST|589VULN|6LIT|789DMG|89BPWR|aRCR
73	43332 18281	3	   	245.96	DCR|3VULN|2DMG|1CDMG|1AART	1aFEWX|2MBVNT|35aVULN|4CDMG|6CGEN|7aDMG|8AART|9RCR|aBPWR
74	62323 52112	7	   	245.87	DCR|3VULN|1DMG|1TLV|1DUR	15MLV|2TLV|3ZMB|459VULN|5BPWR|6LIT|7RCR|8DUR|aDMG
75	13243 42737	3	   	245.75	DCR|4VULN|1TLV|1CDMG	15LHND|2MBVNT|3458VULN|5BPWR|6CDMG|7LIT|9TLV|aRCR
76	13743 42737	2	   	245.75	DCR|4VULN|1TLV|1CDMG	15LHND|2MBVNT|3458VULN|5BPWR|6CDMG|7LIT|9TLV|aRCR
77	13423 87328	4	   	245.67	DCR|3VULN|1DMG|1DUR|1TLV	1LHND|2MBVNT|3TLV|46aVULN|5DUR|7LIT|8RCR|9DMG
78	13233 82737	6	   	245.65	DCR|4VULN|1TLV|1CDMG	1LHND|2MBVNT|3678VULN|4LIT|5CDMG|9TLV|aRCR
79	42332 32531	3	   	245.65	DCR|4VULN|1DUR|1CDMG	1FEWX|2DUST|359aVULN|4CDMG|6RCR|7LIT|8DUR
80	42632 32531	2	   	245.65	DCR|4VULN|1DUR|1CDMG	1FEWX|2DUST|359aVULN|4CDMG|6RCR|7LIT|8DUR
81	32631 36321	10	   	245.41	DCR|3VULN|3DUR|1TLV	179ZMB|2TLV|367DUR|47aVULN|5DMSP|7BPWR|8RCR
82	32631 36633	10	   	245.41	DCR|3VULN|3DUR|1TLV	17ZMB|2TLV|367DUR|479VULN|5DMSP|7BPWR|8RCVC|aRCR
83	36412 36312	10	   	245.41	DCR|3VULN|3DUR|1TLV	17ZMB|23CGEN|467DUR|57aVULN|7BPWR|8RCR|9TLV
84	36123 15412	3	   	245.35	DCR|5VULN|1AART	17ZMB|247CGEN|34579VULN|47BPWR|6AART|8LIT|aRCR
85	31631 36312	10	   	245.31	DCR|3VULN|3DUR|1TLV	17ZMB|2ERES|367DUR|47aVULN|5DMSP|7BPWR|8RCR|9TLV
86	43284 46314	10	   	245.29	DCR|4VULN|2DMG	18FEWX|2MBVNT|3CGEN|4RPLT|589aVULN|68DMG|7RCR|8BPWR
87	36113 15412	3	   	245.25	DCR|5VULN|1AART	17ZMB|27CGEN|34579VULN|6AART|7BPWR|8LIT|aRCR
88	13423 81648	4	   	245.21	DCR|3VULN|3DUR|1TLV	1aLHND|2MBVNT|3TLV|46aVULN|59aDUR|7BBNT|8RCR|aBPWR
89	31156 36312	10	   	245.21	DCR|3VULN|3DUR|1TLV	17ZMB|24ERES|37aVULN|567DUR|7BPWR|8RCR|9TLV
90	31636 36312	10	   	245.21	DCR|3VULN|3DUR|1TLV	17ZMB|25ERES|367DUR|47aVULN|7BPWR|8RCR|9TLV
91	31652 36312	10	   	245.21	DCR|3VULN|3DUR|1TLV	17ZMB|24ERES|367DUR|57aVULN|7BPWR|8RCR|9TLV
92	36333 62353	8	 * 	245.20	ACR|4VULN|3DMG|1DUR	178ZMB|2CGEN|3RCR|478aVULN|5RPLT|678DMG|78BPWR|9DUR
93	13423 72148	9	   	245.10	DCR|4VULN|2ASPD|1TLV	17LHND|2MBVNT|3TLV|467aVULN|57ASPD|7BPWR|8ZMB|9RCR
94	31333 62353	8	   	245.10	ACR|4VULN|3DMG|1DUR	178ZMB|2ERES|3RCR|478aVULN|5RPLT|678DMG|78BPWR|9DUR
95	31113 15412	3	   	245.05	DCR|5VULN|1AART	17ZMB|27ERES|34579VULN|6AART|7BPWR|8LIT|aRCR
96	13423 72322	10	   	245.00	DCR|4VULN|2ASPD|1TLV	17LHND|2MBVNT|3TLV|467aVULN|57ASPD|7BPWR|8LEGI|9RCR
97	13423 72622	10	   	245.00	DCR|4VULN|2ASPD|1TLV	17LHND|2MBVNT|3TLV|467aVULN|57ASPD|7BPWR|8DUST|9RCR
98	13423 72627	9	   	245.00	DCR|4VULN|2ASPD|1TLV	17LHND|2MBVNT|3TLV|467aVULN|57ASPD|7BPWR|8DUST|9RCR
99	32313 12514	3	 * 	244.57	ACR|5VULN|3TLV|1DMG|1AART	1ZMB|256TLV|3RCR|4568aVULN|56BPWR|7DMG|9AART
100	32333 12514	4	   	244.57	ACR|5VULN|3TLV|1DMG|1AART	1ZMB|256TLV|3RCR|4568aVULN|56BPWR|7DMG|9AART
101	62612 11262	4	   	244.05	DCR|4VULN|2TLV|1DUR	146MLV|29TLV|3DUR|5689VULN|69BPWR|79CGEN|aRCR
102	62612 11262	5	   	244.05	DCR|4VULN|2TLV|1DUR	146MLV|29TLV|3DUR|5689VULN|69BPWR|79CGEN|aRCR
103	31613 16252	3	   	243.85	DCR|4VULN|1DMG|1DUR	156ZMB|27ERES|3DUR|4569VULN|56BPWR|8RCR|aDMG
104	31633 16252	4	   	243.85	DCR|4VULN|1DMG|1DUR	156ZMB|27ERES|3DUR|4569VULN|56BPWR|8RCR|aDMG
105	65623 21212	1	   	243.85	DCR|4VULN|1DMG|1DUR	1MLV|24CGEN|3456VULN|4BPWR|7DMG|8BBNT|9DUR|aRCR
106	13223 38862	4	   	243.75	DCR|4VULN|1DMG|1DUR	1LHND|2MBVNT|3679VULN|4BEXP|5DUR|8RCR|aDMG
107	13241 18862	3	   	243.75	DCR|4VULN|1DMG|1DUR	1LHND|2MBVNT|3479VULN|5BEXP|6DUR|8RCR|aDMG
