0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35113 26312	9	 * 	292.76	DCR|4VULN|3DUR|3CDMG|2LIT	127DUR|379aVULN|4DUST|5aLIT|67aCDMG|7aBPWR|8RCR
2	36433 42131	10	 * 	291.46	DCR|3VULN|3DUR|2DMG|1CDMG|1ASPD	189DUR|29DMG|3RPLT|4ASPD|5CDMG|6RCR|79aVULN|9BPWR
3	35155 31333	10	 * 	289.55	DCR|4VULN|3DUR|2DMG	124DUR|3489VULN|49BPWR|59DMG|6RMIN|79FEWX|aRCR
4	33233 65315	7	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569aVULN|7RCR|89CDMG|9BPWR
5	33233 65315	6	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569aVULN|7RCR|89CDMG|9BPWR
6	32335 35331	2	 * 	287.77	DCR|4VULN|3DUR|3LIT|1TLV|1SELL	179DUR|2TLV|3789VULN|479LIT|5SELL|6BBNT|79BPWR|aRCR
7	35131 26312	9	   	286.31	DCR|4VULN|3DUR|3CDMG	127DUR|379aVULN|4LIT|5aLHND|67aCDMG|7aBPWR|8RCR
8	35131 26333	8	 * 	284.14	DCR|3VULN|3DUR|2TLV|2CDMG|2LIT	127DUR|37aVULN|4aLIT|5LHND|67CDMG|7aBPWR|8RCR|9aTLV
9	35124 42321	3	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	128DUR|358VULN|4CGEN|6BEXP|78DMG|8BPWR|9TLV|aRCR
10	33263 32415	6	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	138DUR|2RPLT|4ERES|578VULN|68DMG|8BPWR|9TLV|aRCR
11	21412 34412	1	 * 	280.91	DCR|4VULN|3DMG|2CDMG	19CDMG|279aVULN|369DMG|4RPLT|5MBVNT|8RCR|9BPWR
12	32313 31663	2	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1aDUR|2TLV|39aVULN|4ASPD|5BEXP|6aDMG|7RCR|8TBNT|aBPWR
13	21421 52415	1	 * 	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	149CDMG|259VULN|359DMG|59BPWR|6MBVNT|7RPLT|8RCR|aDUR
14	13126 46312	9	   	280.51	DCR|4VULN|3DUR|2LIT|1CDMG	147FEWX|279aVULN|3CDMG|5aLIT|67aDUR|7aBPWR|8RCR
15	11156 13433	9	 * 	280.34	DCR|3VULN|3DMG|2DUR|1ASPD	124FEWX|349VULN|49BPWR|5ASPD|689DMG|79DUR|aRCR
16	35151 53123	7	   	280.33	DCR|3VULN|3DUR|2CDMG|1TLV|2LIT	124DUR|349VULN|49BPWR|59LIT|6ZMB|7TLV|89CDMG|aRCR
17	36433 42133	9	 * 	280.21	DCR|2VULN|3DMG|3DUR|1CDMG|1ASPD	189DUR|29aDMG|3RPLT|4ASPD|5CDMG|6RCR|79VULN|9BPWR
18	35151 25312	9	   	280.17	DCR|4VULN|3DUR|2CDMG	124DUR|349aVULN|4aBPWR|5LIT|6aCDMG|7aLWND|8RCR
19	35131 26315	10	   	280.07	DCR|4VULN|3DUR|2CDMG	127DUR|379aVULN|4LIT|5LHND|67CDMG|7BPWR|8RCR
20	35113 26315	10	   	279.97	DCR|4VULN|3DUR|2CDMG	127DUR|379aVULN|4DUST|5LIT|67CDMG|7BPWR|8RCR
21	22324 23843	10	 * 	279.49	DCR|3VULN|2DMG|2DUR|3CDMG	128CDMG|3MBVNT|459VULN|68DUR|78DMG|8BPWR|aRCR
22	35151 22622	8	 * 	278.88	DCR|3VULN|3DUR|2ASPD|2LIT|1CDMG	124DUR|349VULN|49BPWR|59LIT|6CDMG|7ERES|89ASPD|aRCR
23	35151 25333	8	   	277.73	DCR|3VULN|3DUR|2TLV|2LIT|1CDMG	124DUR|34aVULN|4aBPWR|5aLIT|6CDMG|7LWND|8RCR|9aTLV
24	35113 26333	8	   	277.39	DCR|3VULN|3DUR|2TLV|2CDMG	127DUR|37aVULN|4aDUST|5LIT|67CDMG|7aBPWR|8RCR|9aTLV
25	35156 11331	7	   	276.38	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	124DUR|349VULN|4BPWR|5ASPD|6DMG|7FEWX|8TLV|aRCR
26	11155 33333	10	   	276.32	DCR|4VULN|2DMG|2DUR	124FEWX|3489VULN|49BPWR|59DMG|6RMIN|79DUR|aRCR
27	13555 33333	10	   	276.32	DCR|4VULN|2DMG|2DUR	134FEWX|2489VULN|49BPWR|59DMG|6RMIN|79DUR|aRCR
28	22324 25318	8	   	275.91	DCR|3VULN|2DMG|3CDMG|1DUR|1ASPD	12aCDMG|3MBVNT|45aVULN|6DUR|7ASPD|8RCR|9aDMG|aBPWR
29	21421 52416	1	   	275.41	DCR|3VULN|3DMG|3CDMG|1ASPD	149CDMG|259VULN|359DMG|59BPWR|6MBVNT|7RPLT|8RCR|aASPD
30	35151 63341	4	   	274.91	DCR|4VULN|3DUR|1CDMG|1AART	124DUR|3467VULN|4BPWR|5AART|8MBVNT|9RCR|aCDMG
31	21412 34411	1	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	19CDMG|279VULN|369DMG|4RPLT|5MBVNT|8RCR|9BPWR|aDUR
32	32132 42436	6	   	274.36	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1DUR|2TLV|3ASPD|4LIT|57DMG|69aVULN|8RCR
33	32132 42436	5	   	274.36	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1DUR|2TLV|3ASPD|4LIT|57DMG|69aVULN|8RCR
34	36433 42132	9	   	274.22	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD|1AART	189DUR|29DMG|3RPLT|4ASPD|5CDMG|6RCR|79VULN|9BPWR|aAART
35	21421 52417	1	   	274.07	DCR|3VULN|3DMG|3CDMG|1AART	149CDMG|259VULN|359DMG|59BPWR|6MBVNT|7RPLT|8RCR|aAART
36	35151 21413	9	   	274.01	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	124DUR|349VULN|49BPWR|59LIT|6CDMG|7TLV|89FEWX|aRCR
37	35151 21623	7	   	274.01	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	124DUR|349VULN|49BPWR|59LIT|6CDMG|7TLV|89ZMB|aRCR
38	35151 21113	9	   	273.81	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	124DUR|349VULN|49BPWR|59LIT|6CDMG|7TLV|89DUST|aRCR
39	33233 65316	6	   	273.68	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aLIT
40	33233 65316	7	   	273.68	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aLIT
41	21161 24314	1	 * 	273.15	DCR|5VULN|3CDMG|2TLV	135CDMG|24689VULN|78TLV|8BPWR|aRCR
42	11133 26312	9	   	273.08	DCR|4VULN|2DUR|3CDMG	127FEWX|379aVULN|4LIT|5aDUR|67aCDMG|7aBPWR|8RCR
43	13213 26312	9	   	273.08	DCR|4VULN|2DUR|3CDMG	147FEWX|279aVULN|3LIT|5aDUR|67aCDMG|7aBPWR|8RCR
44	13533 26312	9	   	273.08	DCR|4VULN|2DUR|3CDMG	137FEWX|279aVULN|4LIT|5aDUR|67aCDMG|7aBPWR|8RCR
45	21421 52411	1	   	272.71	DCR|3VULN|3DMG|3CDMG	149CDMG|259VULN|359DMG|59BPWR|6MBVNT|7RPLT|8RCR|aLIT
46	32316 24143	7	 * 	272.19	DCR|4VULN|2DUR|3TLV|1CDMG	17DUR|267TLV|3BEXP|4LWND|5679VULN|67BPWR|8CDMG|aRCR
