0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21622 34211	8	 * 	307.81	DCR|3VULN|3DMG|3DUR|2CDMG|2ASPD	17aDMG|23ASPD|457DUR|67aVULN|7aBPWR|8aCDMG|9RCR
2	21322 34211	8	   	299.97	DCR|3VULN|3DMG|3DUR|2CDMG	17aDMG|2ASPD|3RCVC|457DUR|67aVULN|7aBPWR|8aCDMG|9RCR
3	22163 12534	5	 * 	292.56	DCR|3VULN|3DMG|2TLV|2DUR	168DMG|28DUR|3ZMB|479VULN|58TLV|8BPWR|aRCR
4	23322 34211	8	   	291.66	DCR|3VULN|3DMG|3DUR|2CDMG	17aDMG|2RMIN|3RCVC|457DUR|67aVULN|7aBPWR|8aCDMG|9RCR
5	23522 34211	8	   	291.66	DCR|3VULN|3DMG|3DUR|2CDMG	17aDMG|23RMIN|457DUR|67aVULN|7aBPWR|8aCDMG|9RCR
6	22234 22561	5	 * 	290.36	DCR|3VULN|3DUR|2DMG|1TLV	18DMG|238DUR|4ASPD|5TLV|678VULN|8BPWR|9RCR|aFEWX
7	22234 22563	5	   	290.36	DCR|3VULN|3DUR|2DMG|1TLV	18DMG|238DUR|4ASPD|5TLV|678VULN|8BPWR|9RCR|aBEXP
8	22234 32561	6	   	290.36	DCR|3VULN|3DUR|2DMG|1TLV	18DMG|238DUR|4ASPD|5TLV|678VULN|8BPWR|9RCR|aFEWX
9	22234 32563	6	   	290.36	DCR|3VULN|3DUR|2DMG|1TLV	18DMG|238DUR|4ASPD|5TLV|678VULN|8BPWR|9RCR|aBEXP
10	22234 22562	5	   	290.11	DCR|3VULN|3DUR|2DMG|1TLV|1SELL	18DMG|238DUR|4ASPD|5TLV|678VULN|8BPWR|9RCR|aSELL
11	22234 32562	6	   	290.11	DCR|3VULN|3DUR|2DMG|1TLV|1SELL	18DMG|238DUR|4ASPD|5TLV|678VULN|8BPWR|9RCR|aSELL
12	21232 23152	1	 * 	288.99	DCR|4VULN|3DMG|2DUR	14aDMG|246aVULN|3RMIN|4aBPWR|5TBNT|7RCR|8aDUR|9AART
13	22443 12124	4	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|28DUR|3RMIN|4TLV|5LHND|789VULN|8BPWR|aRCR
14	22453 12124	5	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|28DUR|3RMIN|4LHND|5TLV|789VULN|8BPWR|aRCR
15	22234 14132	10	   	281.81	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	19DMG|238DUR|49ASPD|5TLV|6LIT|79VULN|9BPWR|aRCR
16	11226 63351	6	   	279.32	DCR|3VULN|3DUR|1TLV|1DMG|2LIT	17LIT|2BEXP|378DUR|4DMG|5TLV|67aVULN|7BPWR|9RCR
17	11226 63351	5	   	279.32	DCR|3VULN|3DUR|1TLV|1DMG|2LIT	17LIT|2BEXP|378DUR|4DMG|5TLV|67aVULN|7BPWR|9RCR
18	21234 23534	1	   	279.23	DCR|4VULN|3DMG|2DUR	148DMG|2469VULN|3RMIN|48BPWR|58ERES|78DUR|aRCR
19	22643 12124	2	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	168DMG|2DUR|38TLV|4FEWX|5ZMB|789VULN|8BPWR|aRCR
20	22643 12124	1	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	168DMG|2DUR|38TLV|4FEWX|5ZMB|789VULN|8BPWR|aRCR
