0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23462 34111	8	 * 	293.49	DCR|4VULN|3DUR|3TLV|2CDMG	169TLV|24aDUR|39CDMG|5679VULN|69BPWR|8RCR
2	26336 36131	3	 * 	282.87	DCR|4VULN|3DMG|3TLV	139TLV|23aCGEN|39aBPWR|489aVULN|59aDMG|6BBNT|7RCR
3	23462 34132	10	   	282.16	DCR|4VULN|2TLV|2DUR|1CDMG	16TLV|24DUR|3CDMG|567aVULN|6BPWR|8RCR|9ASPD
4	23512 34113	8	   	281.59	DCR|4VULN|3DUR|3TLV|1SELL	139TLV|269DUR|4SELL|5679VULN|69BPWR|8RCR|aLIT
5	23512 35623	8	   	281.59	DCR|4VULN|3DUR|3TLV|1SELL	137TLV|267DUR|4SELL|5678VULN|67BPWR|9RCR|aLIT
6	23462 35323	7	   	280.75	DCR|3VULN|3DUR|3TLV|2CDMG	167TLV|248DUR|37CDMG|567VULN|67BPWR|9RCR|aLIT
7	23462 34112	8	   	280.27	DCR|4VULN|3TLV|2DUR|2CDMG	169TLV|24DUR|39CDMG|5679VULN|69BPWR|8RCR|aRMIN
8	23462 34113	8	   	280.17	DCR|4VULN|3TLV|2DUR|2CDMG	169TLV|24DUR|39CDMG|5679VULN|69BPWR|8RCR|aDUST
9	23462 34122	10	   	275.69	DCR|3VULN|3DUR|2TLV|1CDMG|1AART	16TLV|24aDUR|3CDMG|567VULN|6BPWR|8RCR|9AART
10	23414 42321	10	   	274.34	DCR|3VULN|3DUR|2TLV|1CDMG|1NUKE	19TLV|289DUR|3CDMG|4NUKE|5LIT|6RCR|79aVULN|9BPWR
11	23462 34112	10	   	273.75	DCR|4VULN|2TLV|2DUR|1CDMG	16TLV|24DUR|3CDMG|567aVULN|6BPWR|8RCR|9ERES
12	23512 34112	8	   	273.29	DCR|4VULN|3DUR|3TLV|1SELL	139TLV|269DUR|4SELL|5679VULN|69BPWR|8RCR|aLWND
13	23512 34115	8	   	273.29	DCR|4VULN|3DUR|3TLV|1SELL	139TLV|269DUR|4SELL|5679VULN|69BPWR|8RCR|aRMIN
14	23512 34116	8	   	273.29	DCR|4VULN|3DUR|3TLV|1SELL	139TLV|269DUR|4SELL|5679VULN|69BPWR|8RCR|aRCVC
15	23512 35622	8	   	273.29	DCR|4VULN|3DUR|3TLV|1SELL	137TLV|267DUR|4SELL|5678VULN|67BPWR|9RCR|aLWND
16	23512 34111	8	   	273.19	DCR|4VULN|3DUR|3TLV|1SELL	139TLV|269DUR|4SELL|5679VULN|69BPWR|8RCR|aERES
17	23512 35621	8	   	273.19	DCR|4VULN|3DUR|3TLV|1SELL	137TLV|267DUR|4SELL|5678VULN|67BPWR|9RCR|aERES
18	23441 51131	10	 * 	273.09	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|26DUR|3CDMG|4BEXP|568VULN|6BPWR|7RCR|9ASPD|aDMG
19	23462 35322	7	   	272.44	DCR|3VULN|3DUR|3TLV|2CDMG	167TLV|248DUR|37CDMG|567VULN|67BPWR|9RCR|aLWND
