0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35235 13423	7	 * 	296.41	DCR|3VULN|3DMG|3DUR|1CDMG	137LWND|238DUR|378BPWR|4RPLT|578VULN|678DMG|9RCR|aCDMG
2	27612 46121	6	 * 	294.23	DCR|5VULN|3ASPD|2TLV|1DUR	1MBVNT|258ASPD|34589VULN|58BPWR|68TLV|7RCR|aDUR
3	34412 31613	8	 * 	290.84	DCR|4VULN|3DMG|1TLV|1CDMG	1LWND|2458VULN|356DMG|5BPWR|7TLV|9RCR|aCDMG
4	51312 36213	10	 * 	289.35	DCR|4VULN|3DUR|2DMG	1CGEN|245aVULN|358DUR|5BPWR|67DMG|9RCR
5	21263 12183	4	   	289.35	DCR|4VULN|3DUR|2DMG	1MBVNT|238DUR|38BPWR|4MLV|58DMG|6789VULN|aRCR
6	21268 12183	6	   	289.35	DCR|4VULN|3DUR|2DMG	1MBVNT|238DUR|38BPWR|4MLV|58DMG|6789VULN|aRCR
7	21268 12183	5	   	289.35	DCR|4VULN|3DUR|2DMG	1MBVNT|238DUR|38BPWR|4MLV|58DMG|6789VULN|aRCR
8	21663 12183	4	   	289.35	DCR|4VULN|3DUR|2DMG	1MBVNT|238DUR|4MLV|58DMG|6789VULN|8BPWR|aRCR
9	51312 31413	10	   	289.35	DCR|4VULN|3DUR|2DMG	1CGEN|245aVULN|357DUR|5BPWR|68DMG|9RCR
10	27612 36231	10	   	287.64	DCR|5VULN|3ASPD|2TLV	1MBVNT|25aASPD|3456aVULN|5aBPWR|7RCR|8AART|9aTLV
11	27612 46124	6	   	286.28	DCR|5VULN|3ASPD|2TLV	1MBVNT|258ASPD|34589VULN|58BPWR|68TLV|7RCR|aLIT
12	51312 31614	7	   	285.41	DCR|4VULN|3DUR|1DMG|1CDMG	1CGEN|2458VULN|357DUR|5BPWR|6DMG|9RCR|aCDMG
13	21273 12154	4	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|238DUR|38BPWR|4TLV|58DMG|678VULN|9RPLT|aRCR
14	21673 12154	4	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|238DUR|4TLV|58DMG|678VULN|8BPWR|9RPLT|aRCR
15	21273 12134	4	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|238DUR|38BPWR|4TLV|58DMG|678VULN|9DUST|aRCR
16	21673 12134	4	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|238DUR|4TLV|58DMG|678VULN|8BPWR|9DUST|aRCR
