0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45363 31223	10	 * 	285.76	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	18LIT|258DMG|3TLV|4DUR|678VULN|8BPWR|9ZMB|aRCR
2	51431 23361	7	 * 	282.77	DCR|4VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|458aVULN|5BPWR|7DMG|9RCR
3	51431 23631	8	   	282.77	DCR|4VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|459aVULN|5BPWR|7DMG|8RCR
4	52324 13423	7	 * 	281.57	DCR|3VULN|3DUR|2DMG|2LIT	123DUR|29BPWR|49LIT|59DMG|69aVULN|7RCR|8TBNT
5	41213 25423	4	 * 	278.01	ACR|5VULN|3DMG|3LIT|1AART	18aLIT|2RMIN|3RCR|4689aVULN|58aDMG|7AART|8aBPWR
6	51431 23261	7	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	156DUR|2CGEN|3ASPD|45aVULN|5BPWR|78DMG|9RCR
7	52232 35121	5	   	276.37	DCR|3VULN|3DUR|2DMG|1AART	129DUR|259BPWR|35DUST|459VULN|6RPLT|79DMG|8AART|aRCR
8	52232 54121	7	   	276.37	DCR|3VULN|3DUR|2DMG|1AART	129DUR|259BPWR|35DUST|459VULN|6RPLT|79DMG|8AART|aRCR
9	52232 54321	8	   	276.37	DCR|3VULN|3DUR|2DMG|1AART	129DUR|259BPWR|35DUST|459VULN|6RPLT|79DMG|8AART|aRCR
10	52232 55121	6	   	276.37	DCR|3VULN|3DUR|2DMG|1AART	129DUR|259BPWR|35DUST|459VULN|6RPLT|79DMG|8AART|aRCR
11	52324 13116	7	   	274.92	DCR|3VULN|3DUR|2DMG	123DUR|2BPWR|4LIT|59DMG|68aVULN|7RCR
12	43226 21612	10	   	273.49	DCR|4VULN|2DUR|1DMG|2LIT	19LIT|2BELT|39DUR|4DMG|5LHND|679aVULN|8RCR|9BPWR
13	55331 23361	7	   	271.76	DCR|4VULN|3DUR|1DMG	156DUR|2ZMB|3CGEN|458aVULN|5BPWR|7DMG|9RCR
14	55331 23631	8	   	271.76	DCR|4VULN|3DUR|1DMG	156DUR|2ZMB|3CGEN|459aVULN|5BPWR|7DMG|8RCR
15	53341 23361	7	   	271.66	DCR|4VULN|3DUR|1DMG	156DUR|2ERES|3CGEN|458aVULN|5BPWR|7DMG|9RCR
16	53341 23631	8	   	271.66	DCR|4VULN|3DUR|1DMG	156DUR|2ERES|3CGEN|459aVULN|5BPWR|7DMG|8RCR
17	52312 24243	8	 * 	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	123DUR|27BPWR|47MLV|578VULN|67ASPD|9RCR|aDMG
18	52312 24253	9	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	123DUR|27BPWR|47MLV|578VULN|67ASPD|9RCR|aDMG
19	52312 24343	7	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	123DUR|27BPWR|47MLV|578VULN|67ASPD|9RCR|aDMG
