0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62215 32331	8	 * 	285.31	DCR|4VULN|3DUR|1TLV|2CDMG	157aVULN|29aDUR|3TLV|45CDMG|5aBPWR|6aERES|8RCR
2	62235 11232	4	 * 	285.11	DCR|3VULN|2DMG|2TLV|2DUR	168VULN|28DUR|34TLV|56DMG|68BPWR|78DUST|9LIT|aRCR
3	62215 32331	9	 * 	280.17	DCR|4VULN|2TLV|2DUR|2CDMG	157aVULN|2aDUR|39TLV|45CDMG|5aBPWR|6aERES|8RCR
4	62215 32322	10	 * 	277.47	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	157aVULN|2DUR|3TLV|45CDMG|5BPWR|6ERES|8RCR|9DMG
5	62255 11232	3	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	168VULN|28DUR|3TLV|4RCVC|56DMG|68BPWR|78DUST|9LIT|aRCR
6	22234 51632	5	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	1DUST|26DUR|3TLV|478VULN|56DMG|6BPWR|9LIT|aRCR
7	62215 12432	5	 * 	275.74	DCR|5VULN|1TLV|2CDMG|1DUR	1589aVULN|2DUR|3TLV|45CDMG|5BPWR|6BBNT|7RCR
8	42633 73114	10	 * 	275.49	DCR|3VULN|3DUR|3ASPD|1DMG|1CDMG	19aASPD|29aVULN|3DMG|4CDMG|5MBVNT|6RCR|79aDUR|8LEGI|9aBPWR
9	63633 73114	10	   	275.49	DCR|3VULN|3DUR|3ASPD|1DMG|1CDMG	19aVULN|29aASPD|3DMG|4CDMG|5MBVNT|6RCR|79aDUR|8LEGI|9aBPWR
10	62235 51222	4	   	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	178VULN|27DUR|34TLV|5DMG|67LIT|7BPWR|9BEXP|aRCR
11	62235 51232	4	   	274.17	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	178VULN|27DUR|34TLV|5DMG|67LIT|7BPWR|9FEWX|aRCR
12	62235 51212	4	   	274.07	DCR|3VULN|2TLV|2DUR|1DMG|2LIT	178VULN|27DUR|34TLV|5DMG|67LIT|7BPWR|9ERES|aRCR
13	62215 32322	9	 * 	274.00	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	157VULN|2DUR|3TLV|45CDMG|5BPWR|6ERES|8RCR|9aDMG
14	65321 61313	1	 * 	272.64	DCR|3VULN|3DUR|3TLV|1DMG	179VULN|2DMG|379TLV|467DUR|5RMIN|79BPWR|89MLV|aRCR
15	62215 12232	5	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	159aVULN|28DUR|3TLV|45CDMG|5BPWR|6BBNT|7RCR
16	62215 32351	8	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	157aVULN|2aDUR|3TLV|45CDMG|5aBPWR|69aERES|8RCR
17	22518 73414	4	 * 	271.30	DCR|3VULN|3DMG|3DUR	1aDUST|256DUR|35aDMG|4MBVNT|5aBPWR|78aVULN|9RCR
18	62215 32325	10	 * 	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	157VULN|2aDUR|3TLV|45CDMG|5BPWR|6ERES|8RCR|9DMG
19	62235 11632	4	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	168VULN|2DUR|34TLV|56DMG|6BPWR|7DUST|9LIT|aRCR
20	12522 12151	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1BELT|28DUR|358VULN|45DMG|58BPWR|6ERES|78MLV|9RCR|aTLV
21	63333 35633	2	   	267.71	DCR|2VULN|3DUR|2TLV|1CDMG|1AART	1aVULN|2ASPD|3aTLV|4CDMG|5AART|6LIT|7RCR|89aDUR|aBPWR
22	62235 31232	4	   	267.62	DCR|3VULN|2TLV|2DUR|1DMG	178VULN|28DUR|34TLV|5DMG|68FEWX|8BPWR|9LIT|aRCR
23	62514 16324	6	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	15aVULN|2aDUR|3DMG|4MBVNT|6ASPD|7RCR|8DMSP|9aTLV|aBPWR
24	62512 61211	4	 * 	267.13	DCR|5VULN|2DMG|1DUR	1678aVULN|2DUR|38DMG|4MBVNT|568ERES|68BPWR|9RCR
25	12526 31243	4	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1BELT|2aDUR|38aVULN|4DMG|5RMIN|6TLV|7aLIT|9RCR|aBPWR
26	62212 32331	9	   	265.93	DCR|3VULN|3DUR|2TLV|1CDMG	17aVULN|25aDUR|39TLV|4CDMG|6aERES|8RCR|aBPWR
27	62532 51132	8	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1789VULN|2DUR|3DMG|4LIT|5ERES|6TLV|aRCR
28	62212 12432	4	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	189aVULN|25DUR|3TLV|4CDMG|6BBNT|7RCR
29	62212 12432	5	   	265.57	DCR|4VULN|2DUR|1TLV|1CDMG	189aVULN|25DUR|3TLV|4CDMG|6BBNT|7RCR
30	32234 53512	5	 * 	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1LWND|267DUR|3TLV|4aVULN|56DMG|6BPWR|8ASPD|9RCR
31	22234 53512	5	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV	1DUST|267DUR|3TLV|4aVULN|56DMG|6BPWR|8ASPD|9RCR
32	12524 42133	3	   	265.25	DCR|4VULN|3DUR|1TLV	1BELT|249DUR|3568VULN|7TLV|aRCR
33	62215 32312	8	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	157VULN|2DUR|3TLV|45CDMG|5BPWR|6ERES|8RCR|9ASPD|aDMG
34	62212 32322	10	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	17aVULN|25DUR|3TLV|4CDMG|6ERES|8RCR|9DMG
