0	Index      	 *	Score 	Summary	Detail	
1	35621 12353	 * 	257.17	ACR|DCR|2VULN|2DMG	1LHND|2ERES|37VULN|49RCR|5aDMG|6DLOT|8BBNT
2	31311 54251	 * 	254.83	DCR|3VULN|2DMG|2MLV	159LHND|26MLV|3BELT|469VULN|69BPWR|7RCR|89DMG|aBEXP
3	31311 54252	   	254.83	DCR|3VULN|2DMG|2MLV	159LHND|26MLV|3BELT|469VULN|69BPWR|7RCR|89DMG|aRMIN
4	31311 54253	   	254.83	DCR|3VULN|2DMG|2MLV	159LHND|26MLV|3BELT|469VULN|69BPWR|7RCR|89DMG|aCGEN
5	24127 15141	 * 	253.29	DCR|DCR|1VULN|2MLV	1LIT|2MBVNT|38MLV|4VENICY|5MDPS|6VULN|7aRCR|9ERES
6	43211 23164	   	251.15	ACR|DCR|2DMG|1VULN|1ASPD	19RCR|2ASPD|3FEWX|4DUR|57DMG|6DUST|8BEXP|aVULN
7	11362 23631	 * 	249.56	DCR|3VULN|2DMG|2CDMG	136ERES|28DMG|478VULN|58CDMG|8BPWR|9RCR|aDUR
8	61513 24113	 * 	249.20	ACR|DCR|1VULN|1DMG|2CDMG|1MLV	1MLV|2DMG|3BEXP|4LIT|5aRCR|69CDMG|7BELT|8VULN
9	61521 36323	 * 	246.92	DCR|2VULN|3DMG|2MLV	18MLV|248DMG|34BEXP|48BPWR|5DUST|68CGEN|7RCR|9aVULN
10	61322 26323	   	246.72	DCR|2VULN|3DMG|2MLV	18MLV|258DMG|3ERES|4DUST|68BEXP|7RCR|8BPWR|9aVULN
11	61341 26323	   	246.72	DCR|2VULN|3DMG|2MLV	18MLV|248DMG|34ERES|48BPWR|5DUST|68BEXP|7RCR|9aVULN
12	31176 44271	   	246.09	DCR|DCR|1VULN|1MLV	1LHND|2MLV|3MBVNT|4DUR|5VULN|6ERES|7aRCR|8LIT|9MSLREG
13	43431 12361	 * 	245.92	ACR|DCR|1VULN|2ASPD|1DMG	1aRCR|28ASPD|3VULN|4MDPS|5DMG|6LIT|7AIRARM|9DUR
14	43162 22124	   	242.93	ACR|DCR|2VULN|1ASPD|1RPLT	19RCR|2ASPD|3TSLFST|4RPLT|56FEWX|7aVULN|8RMIN
15	42232 23364	   	242.89	ACR|DCR|1VULN|1DMG|1MLV|1ASPD	19RCR|2FEWX|3BEXP|4LWND|5MLV|6ASPD|7DMG|8CGEN|aVULN
16	64315 11211	 * 	242.88	DCR|3VULN|2MLV|3CDMG	15MLV|2LIT|3ERES|456CDMG|5BPWR|789VULN|aRCR
17	43221 23164	   	242.85	ACR|DCR|2DMG|1VULN|1ASPD	19RCR|2ASPD|3FEWX|4LWND|57DMG|6DUST|8BEXP|aVULN
18	43162 22324	   	242.83	ACR|DCR|2VULN|1ASPD|1RPLT	19RCR|2ASPD|3TSLFST|4RPLT|56FEWX|7aVULN|8ERES
19	43152 33331	   	242.75	ACR|DCR|2DMG|1VULN|1ASPD	1aRCR|2ASPD|3TSLFST|4LIT|5LWND|67DMG|8VULN|9MDPS
20	11362 23632	   	241.25	DCR|3VULN|2DMG|2CDMG	136ERES|28DMG|478VULN|58CDMG|8BPWR|9RCR|aBEXP
21	11362 23633	   	241.25	DCR|3VULN|2DMG|2CDMG	136ERES|28DMG|478VULN|58CDMG|8BPWR|9RCR|aLIT
22	11362 23634	   	241.25	DCR|3VULN|2DMG|2CDMG	136ERES|28DMG|478VULN|58CDMG|8BPWR|9RCR|aTLV
23	11362 23636	   	241.25	DCR|3VULN|2DMG|2CDMG	136ERES|28DMG|478VULN|58CDMG|8BPWR|9RCR|aAAC
24	11362 23635	   	241.15	DCR|3VULN|2DMG|2CDMG	136ERES|28DMG|478VULN|58CDMG|8BPWR|9RCR|aAME
25	22315 12323	 * 	241.06	DCR|DCR|1DMG|2AART|1RPLT	19LIT|23AART|4DMG|5LWND|6RPLT|7aRCR|8DUR
26	22315 12333	   	241.06	DCR|DCR|1DMG|2AART|1RPLT	1LIT|23AART|4DMG|59LWND|6RPLT|7aRCR|8DUR
27	35621 12351	   	239.59	ACR|DCR|2VULN|1DMG	1LHND|2ERES|37VULN|49RCR|5DMG|6DLOT|8BBNT|aRMIN
28	35621 12352	   	239.49	ACR|DCR|2VULN|1DMG	1LHND|2ERES|37VULN|49RCR|5DMG|6DLOT|8BBNT|aAME
29	52121 62324	   	238.86	ACR|DCR|2DMG|1VULN|1RPLT	1LWND|2LHND|3TLV|49RCR|58DMG|6CANTOX|7RPLT|aVULN
30	22614 22423	   	238.29	DCR|DCR|1DMG|2RPLT|1AART	1LIT|2AART|3AME|46RPLT|5DUR|7aRCR|8ERES|9DMG
