0	Index      	 *	Score 	Summary	Detail	
1	55135 32231	 * 	328.74	DCR|DCR|3VULN|2MLV|1ASPD	127VULN|37CGEN|47MLV|5RPLT|6aRCR|7BPWR|8LWND|9ASPD
2	55135 32211	   	314.85	DCR|DCR|3VULN|2MLV|1ZMB	127VULN|37CGEN|47MLV|5RPLT|6aRCR|7BPWR|8LWND|9ZMB
3	32125 31252	   	311.58	DCR|DCR|3VULN|1MLV|1ASPD	1MLV|256VULN|3BEXP|4DUR|7LHND|8aRCR|9ASPD
4	32125 34252	   	311.58	DCR|DCR|3VULN|1MLV|1ASPD	1MLV|256VULN|3BEXP|4DUR|7aRCR|8LWND|9ASPD
5	32432 34521	 * 	306.15	ACR|DCR|3VULN|2MLV|1DMG	14MLV|245VULN|3aRCR|4BPWR|6RPLT|7BEXP|8DMG|9TLV
6	32245 32231	   	305.28	DCR|DCR|2VULN|2MLV|1ASPD	17MLV|27VULN|347CGEN|5RPLT|6aRCR|7BPWR|8LWND|9ASPD
7	33652 31252	   	303.73	DCR|DCR|2VULN|2MLV|1ASPD	13MLV|2DUR|46VULN|5FEWX|7LHND|8aRCR|9ASPD
8	32115 23252	   	303.63	DCR|DCR|2VULN|2MLV|1ASPD	17MLV|25VULN|3BEXP|4DUST|6DUR|8aRCR|9ASPD
9	32125 13252	   	303.63	DCR|DCR|2VULN|2MLV|1ASPD	17MLV|25VULN|3BEXP|4DUR|6DUST|8aRCR|9ASPD
10	32335 23252	   	303.63	DCR|DCR|2VULN|2MLV|1ASPD	17MLV|25VULN|3DUST|4FEWX|6DUR|8aRCR|9ASPD
11	32155 32252	   	303.27	DCR|DCR|3VULN|1MLV|1ASPD	1MLV|256VULN|3BEXP|4LWND|7LHND|8aRCR|9ASPD
12	32155 31252	   	303.17	DCR|DCR|3VULN|1MLV|1ASPD	1MLV|256VULN|3BEXP|4LWND|7LEGI|8aRCR|9ASPD
13	15261 34222	   	300.46	DCR|DCR|3VULN|1DMG	1DUR|24aVULN|3LIT|5DMG|6FRZICY|7AAC|89RCR
14	32432 33355	 * 	300.05	ACR|DCR|3VULN|3MLV	14aMLV|245VULN|39RCR|4BPWR|6RPLT|7LIT|8BLAICY
15	32432 33351	   	299.64	ACR|DCR|3VULN|2MLV|1CDMG	14MLV|245VULN|39RCR|4BPWR|6RPLT|7LIT|8BLAICY|aCDMG
16	32432 33651	   	299.64	ACR|DCR|3VULN|2MLV|1CDMG	14MLV|245VULN|39RCR|4BPWR|6RPLT|7LIT|8MSLTOX|aCDMG
17	32432 36231	   	299.64	ACR|DCR|3VULN|2MLV|1ASPD	14MLV|245VULN|3aRCR|4BPWR|6RPLT|7AME|8LWND|9ASPD
18	32436 36321	   	299.64	ACR|DCR|3VULN|2MLV|1ASPD	14MLV|249VULN|3aRCR|4BPWR|5ERES|6RPLT|7ASPD|8LHND
19	55135 31121	   	299.04	DCR|DCR|3VULN|1MLV|1ZMB	129VULN|3CGEN|4MLV|5RPLT|6aRCR|7LWND|8ZMB
