0	Index      	 *	Score 	Summary	Detail	
1	23251 61326	 * 	275.80	DCR|DCR|3VULN|1RPLT	14aVULN|24CGEN|3RPLT|4aBPWR|5aBLAICY|69RCR|7aLWND|8AAC
2	21365 35222	 * 	273.42	DCR|DCR|2VULN|1DMG|1RPLT	15VULN|2BASARM|3DMG|4RPLT|6ERES|79RCR|8LWND|aFEWX
3	21365 35223	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	15VULN|2BASARM|3DMG|4RPLT|6ERES|79RCR|8LWND|aRCVC
4	21365 53222	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	15VULN|2BASARM|3DMG|4RPLT|6AAC|7BBNT|8aRCR|9DUST
5	21365 35221	   	273.32	DCR|DCR|2VULN|1DMG|1RPLT|1MSE	15VULN|2BASARM|3DMG|4RPLT|6ERES|79RCR|8LWND|aMSE
6	13233 52345	   	270.99	DCR|DCR|2VULN|1MLV|1RPLT	1DUST|2LIT|3MLV|4RMIN|57VULN|6aRCR|8BEXP|9RPLT
7	13233 51345	 * 	268.70	DCR|DCR|2MLV|1VULN|1RPLT	1DUST|2LIT|38MLV|4RMIN|5VULN|6aRCR|7DUR|9RPLT
8	45231 11413	 * 	267.60	ACR|DCR|2VULN|2DMG|2DUR	19DUR|29VULN|3aRCR|4BELT|5TSLARM|6LHND|79DMG|8AAC|9BPWR
9	22231 11413	   	267.60	ACR|DCR|2VULN|2DMG|2DUR	19VULN|29DUR|3aRCR|4BELT|5TSLARM|6LHND|79DMG|8AAC|9BPWR
10	23211 65226	   	267.31	DCR|DCR|2VULN|1ASPD|1RPLT	1aVULN|24aCGEN|3RPLT|5BLAICY|69RCR|7ASPD|8aLWND|aBPWR
11	23251 65222	   	267.21	DCR|DCR|2VULN|1ASPD|1RPLT	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7ASPD|8LWND|aFEWX
12	23251 65223	   	267.21	DCR|DCR|2VULN|1ASPD|1RPLT	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7ASPD|8LWND|aRCVC
