0	Index      	 *	Score 	Summary	Detail	
1	26123 52253	 * 	296.25	DCR|DCR|1VULN|2ASPD|2CDMG|1MLV|2DUR	1ERES|29DUR|3VULN|4MLV|59ASPD|6LIT|7aRCR|89CDMG|9BPWR
2	11112 52253	 * 	295.24	DCR|DCR|2VULN|2CDMG|1MLV|1ASPD	1ASPD|29CGEN|3MLV|4LHND|59VULN|6LIT|7aRCR|89CDMG|9BPWR
3	13112 52253	   	295.24	DCR|DCR|2VULN|2CDMG|1MLV|1ASPD	1ASPD|29TLV|3MLV|4LHND|59VULN|6LIT|7aRCR|89CDMG|9BPWR
4	14112 52253	   	295.04	DCR|DCR|2VULN|2CDMG|1MLV|1ASPD	1ASPD|29ERES|3MLV|4LHND|59VULN|6LIT|7aRCR|89CDMG|9BPWR
5	16224 36223	   	288.73	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1ASPD|28VULN|3LIT|4LWND|5CDMG|6TLV|7aRCR|9MLV
6	16224 16223	   	288.63	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1ASPD|28VULN|3LIT|4LWND|5CDMG|6ERES|7aRCR|9MLV
7	16331 36223	   	288.63	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1ASPD|28VULN|3LHND|4CDMG|5AME|6LIT|7aRCR|9MLV
8	11125 52253	   	283.89	DCR|DCR|1VULN|2CDMG|1MLV|2DUR|1ASPD	1ASPD|29CGEN|3MLV|4VULN|59DUR|6LIT|7aRCR|89CDMG|9BPWR
9	13125 52253	   	283.89	DCR|DCR|1VULN|2CDMG|1MLV|2DUR|1ASPD	1ASPD|29TLV|3MLV|4VULN|59DUR|6LIT|7aRCR|89CDMG|9BPWR
10	52323 52253	   	281.49	DCR|DCR|1VULN|2ASPD|2CDMG|1MLV	1VULN|29CGEN|3LHND|4MLV|59ASPD|6LIT|7aRCR|89CDMG|9BPWR
11	16213 34233	   	279.60	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|24VULN|34LIT|4BPWR|5BEXP|6RCVC|7aRCR|8CDMG|9DUR
12	16115 52213	   	279.50	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|23VULN|4LHND|5DUR|6LIT|7aRCR|8CDMG|9RCVC
13	16211 54233	   	279.50	DCR|DCR|2VULN|1CDMG|1ASPD	1ASPD|24VULN|34LIT|4BPWR|5AELOIC|6FEWX|7aRCR|8CDMG|9DUR
14	16211 64233	   	279.50	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|24VULN|34LIT|4BPWR|5AELOIC|6LWND|7aRCR|8CDMG|9DUR
15	13512 52253	   	277.71	DCR|DCR|2VULN|2CDMG|1ASPD	1ASPD|29TLV|3CGEN|4LHND|59VULN|6LIT|7aRCR|89CDMG|9BPWR
