0	Index      	 *	Score 	Summary	Detail	
1	36232 13625	 * 	282.24	DCR|DCR|2VULN|1DMG|1ASPD	1BEXP|2AAC|3ERES|4DMG|5CGEN|6aVULN|7ASPD|89RCR
2	13332 53625	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1LWND|2AAC|3MLV|4DMG|5CGEN|6BEXP|7ASPD|89RCR|aVULN
3	65242 32222	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2MLV|3ERES|4BBNT|5AAC|69RCR|7ASPD|8DMG|aCGEN
4	65242 32223	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2MLV|3ERES|4BBNT|5AAC|69RCR|7ASPD|8DMG|aLWND
5	36232 13621	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1BEXP|2AAC|3ERES|4DMG|5CGEN|6VULN|7ASPD|89RCR|aMLV
6	65242 32221	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2MLV|3ERES|4BBNT|5AAC|69RCR|7ASPD|8DMG|aDUST
7	64332 51221	   	268.59	DCR|DCR|2VULN|1DMG	12VULN|38BEXP|4DMG|5CGEN|6aRCR|7RCVC|9FLTFST
8	36232 13623	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1BEXP|2AAC|3ERES|4DMG|5CGEN|6VULN|7ASPD|89RCR|aCDMG
9	23232 64214	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1SPLARM|2DMG|3VULN|4MBVNT|5LWND|6RPLT|7aRCR|8CGEN|9MLV
10	23235 64214	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1SPLARM|2DMG|3VULN|4MBVNT|5LHND|6RPLT|7aRCR|8CGEN|9MLV
11	62322 22662	 * 	266.52	ACR|DCR|2VULN|2MLV|1CDMG	19VULN|2DUST|39MLV|48RCR|5CDMG|6AME|79LIT|9BPWR|aFLTHEA
12	62322 22663	   	266.52	ACR|DCR|2VULN|2MLV|1CDMG	19VULN|2DUST|39MLV|48RCR|5CDMG|6AME|79LIT|9BPWR|aFEWX
13	62322 22661	   	266.42	ACR|DCR|2VULN|2MLV|1CDMG|1MSE	19VULN|2DUST|39MLV|48RCR|5CDMG|6AME|79LIT|9BPWR|aMSE
14	24232 43682	 * 	266.21	DCR|DCR|3ASPD|1VULN	1SPLARM|2VULN|389ASPD|4MBVNT|5LWND|6DUR|7aRCR
15	64231 32622	 * 	265.01	DCR|4VULN|2ASPD|1DMG|2DUR	1289VULN|38DUR|4DMG|5BELT|6TSLFST|78ASPD|8BPWR|aRCR
16	64232 12411	 * 	262.84	DCR|3VULN|2DMG|2MLV	126VULN|3DUR|4aDMG|57MLV|8BELT|9RCR
17	23232 46834	   	262.13	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1SPLARM|2DMG|3VULN|4MBVNT|5LWND|6DUR|7ZMB|8aRCR|9CDMG
18	23235 46834	   	262.13	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1SPLARM|2DMG|3VULN|4MBVNT|5LHND|6DUR|7ZMB|8aRCR|9CDMG
19	63324 14112	 * 	261.65	DCR|4VULN|2MLV|2DUR|1RPLT	157aVULN|2AAC|3MDPS|4aMLV|6aDUR|8RCR|9RPLT|aBPWR
20	24232 64214	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1SPLARM|2VULN|3ASPD|4MBVNT|5LWND|6RPLT|7aRCR|8CGEN|9MLV
21	24235 64214	   	261.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1SPLARM|2VULN|3ASPD|4MBVNT|5LHND|6RPLT|7aRCR|8CGEN|9MLV
22	12323 43235	 * 	260.28	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	1LWND|2DUST|3MLV|48RCR|5MDPS|6CDMG|79DMG|aVULN
23	42323 43235	   	260.28	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	1LHND|2DUST|3MLV|48RCR|5MDPS|6CDMG|79DMG|aVULN
24	32263 31363	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2VULN|3FEWX|4DUR|5MDPS|6CDMG|7MLV|8aRCR|9FLTHEA
25	32263 31323	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2VULN|3FEWX|4DUR|5MDPS|6CDMG|7MLV|8aRCR|9BLAICY
26	62263 31363	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2DUST|3FEWX|4DUR|5MDPS|6CDMG|7MLV|8aRCR|9FLTHEA
27	62263 31323	   	259.74	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2DUST|3FEWX|4DUR|5MDPS|6CDMG|7MLV|8aRCR|9BLAICY
