0	Index      	 *	Score 	Summary	Detail	
1	11533 25152	 * 	237.53	DCR|4VULN|1AART|1ASPD|1DMG|1CDMG	1249VULN|3DMG|5ERES|6RCR|7ASPD|8AART|aCDMG
2	11115 23122	   	236.46	DCR|4VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1234VULN|5DUR|6RCR|7DMG|8AART|9ASPD|aAAC
3	11115 24122	   	236.46	DCR|4VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1234VULN|5DUR|6RCR|7AART|8DMG|9ASPD|aAAC
4	11243 35611	 * 	236.39	DCR|4VULN|1MDPS|1AART|1DMG|1CDMG	1257VULN|3LWND|4AART|6RCR|8CDMG|9DMG|aMDPS
5	11111 24611	   	236.29	DCR|4VULN|1MDPS|1AART|1DMG|1CDMG	1234VULN|5DUST|6RCR|7AART|8CDMG|9DMG|aMDPS
6	11111 24651	 * 	236.29	DCR|4VULN|1MDPS|1AART|1ASPD|1CDMG	1234VULN|5DUST|6RCR|7AART|8CDMG|9ASPD|aMDPS
7	11533 25122	 * 	235.90	DCR|3VULN|2ASPD|1AART|1DMG|1CDMG	124VULN|3DMG|5ERES|6RCR|79ASPD|8AART|aCDMG
8	11533 24612	 * 	235.28	DCR|3VULN|2AART|2DMG|1CDMG	124VULN|39DMG|5ERES|6RCR|7aAART|8CDMG
9	11115 23125	   	234.93	DCR|4VULN|1AART|1ASPD|1DMG|2DUR	1234VULN|5aDUR|6RCR|7DMG|8AART|9ASPD
10	11115 24125	   	234.93	DCR|4VULN|1AART|1ASPD|1DMG|2DUR	1234VULN|5aDUR|6RCR|7AART|8DMG|9ASPD
11	11532 12261	 * 	233.96	DCR|3VULN|2AART|2DMG|1MDPS	124VULN|36DMG|5RPLT|79AART|8RCR|aMDPS
12	11532 62261	 * 	232.22	DCR|4VULN|2AART|1MDPS|1DMG	1246VULN|3DMG|5RPLT|79AART|8RCR|aMDPS
13	11243 35613	 * 	231.83	DCR|5VULN|1AART|1DMG|1CDMG	1257aVULN|3LWND|4AART|6RCR|8CDMG|9DMG
14	11111 24613	   	231.73	DCR|5VULN|1AART|1DMG|1CDMG	1234aVULN|5DUST|6RCR|7AART|8CDMG|9DMG
15	11111 24653	 * 	231.73	DCR|5VULN|1AART|1ASPD|1CDMG	1234aVULN|5DUST|6RCR|7AART|8CDMG|9ASPD
16	11532 12264	   	231.38	DCR|3VULN|2AART|2DMG|1CDMG	124VULN|36DMG|5RPLT|79AART|8RCR|aCDMG
17	11532 12263	 * 	230.98	DCR|4VULN|2AART|2DMG	124aVULN|36DMG|5RPLT|79AART|8RCR
18	11115 23121	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7DMG|8AART|9ASPD|aFEWX
19	11115 23124	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7DMG|8AART|9ASPD|aLWND
20	11115 23126	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7DMG|8AART|9ASPD|aMLV
21	11115 24121	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7AART|8DMG|9ASPD|aFEWX
22	11115 24124	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7AART|8DMG|9ASPD|aLWND
23	11115 24126	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7AART|8DMG|9ASPD|aMLV
24	11112 23125	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5LHND|6RCR|7DMG|8AART|9ASPD|aDUR
25	11243 35125	   	229.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1257VULN|3LWND|4AART|6RCR|8DMG|9ASPD|aDUR
26	11111 23122	   	229.59	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUST|6RCR|7DMG|8AART|9ASPD|aDUR
27	11111 24122	   	229.59	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUST|6RCR|7AART|8DMG|9ASPD|aDUR
28	11115 23123	   	229.59	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7DMG|8AART|9ASPD|aDUST
29	11115 24123	   	229.59	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1234VULN|5DUR|6RCR|7AART|8DMG|9ASPD|aDUST
30	11243 34523	 * 	228.87	DCR|3VULN|3ASPD|1AART|1CDMG	125VULN|3LWND|4AART|6RCR|789ASPD|aCDMG
31	11112 23122	   	228.16	DCR|4VULN|1AART|1ASPD|1DMG|1AAC	1234VULN|5LHND|6RCR|7DMG|8AART|9ASPD|aAAC
