0	Index      	 *	Score 	Summary	Detail	
1	23121 15366	 * 	238.82	DCR|3VULN|3DMG|3ZMB|1AART|1AAC	158ZMB|2AART|345DMG|58BPWR|68aVULN|7AAC|9RCR
2	53244 31322	 * 	235.11	DCR|2VULN|2AART|2DMG|1ASPD|2DUR	18DMG|29AART|3BEXP|4DMSP|58DUR|6RCR|78VULN|8BPWR|aASPD
3	23125 61351	 * 	230.64	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5AME|6RCR|7CDMG|89VULN|aMDPS
4	23123 61351	   	230.54	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|89VULN|aMDPS
5	23121 15363	   	229.29	DCR|3DMG|2VULN|3ZMB|1AART|1AAC|1DUR	158ZMB|2AART|345DMG|58BPWR|68VULN|7AAC|9RCR|aDUR
6	23163 63513	 * 	222.78	DCR|3DMG|2VULN|1AART|1CDMG|2ZMB	17ZMB|2AART|367DMG|47VULN|5DLOT|7BPWR|8CDMG|9MLV|aRCR
7	23163 63523	   	222.68	DCR|3DMG|2VULN|1AART|1CDMG|2ZMB	17ZMB|2AART|367DMG|47VULN|5DLOT|7BPWR|8CDMG|9TLV|aRCR
8	23133 43521	 * 	221.64	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|37DMG|4CDMG|569VULN|8CGEN|aRCR
9	53211 31322	   	221.56	DCR|2VULN|2AART|2DMG|1ASPD	18DMG|29AART|3BEXP|48LHND|5DMSP|6RCR|78VULN|8BPWR|aASPD
10	53216 31322	   	221.56	DCR|2VULN|2AART|2DMG|1ASPD	18DMG|29AART|3BEXP|458LHND|6RCR|78VULN|8BPWR|aASPD
11	23162 54141	   	221.06	DCR|3VULN|2DMG|3ZMB|1AART	178ZMB|2AART|38DMG|489VULN|5LEGI|6MBVNT|8BPWR|aRCR
12	23121 15361	   	220.98	DCR|3DMG|2VULN|3ZMB|1AART|1AAC	158ZMB|2AART|345DMG|58BPWR|68VULN|7AAC|9RCR|aBEXP
13	23121 15364	   	220.98	DCR|3DMG|2VULN|3ZMB|1AART|1AAC	158ZMB|2AART|345DMG|58BPWR|68VULN|7AAC|9RCR|aLHND
14	23121 15365	   	220.98	DCR|3DMG|2VULN|3ZMB|1AART|1AAC	158ZMB|2AART|345DMG|58BPWR|68VULN|7AAC|9RCR|aCGEN
15	23121 15362	   	220.88	DCR|3DMG|2VULN|3ZMB|1AART|1AAC|1MSE	158ZMB|2AART|345DMG|58BPWR|68VULN|7AAC|9RCR|aMSE
16	53211 31356	   	220.50	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	18DMG|2AART|3BEXP|48LHND|5DMSP|6RCR|78VULN|8BPWR|9CDMG|aMDPS
17	53211 31325	 * 	220.33	DCR|2VULN|2AART|2DMG|1MDPS	18DMG|29AART|3BEXP|48LHND|5DMSP|6RCR|78VULN|8BPWR|aMDPS
18	53216 31325	   	220.33	DCR|2VULN|2AART|2DMG|1MDPS	18DMG|29AART|3BEXP|458LHND|6RCR|78VULN|8BPWR|aMDPS
19	52622 42313	 * 	219.83	DCR|3DMG|2VULN|2ASPD|1CDMG	167DMG|27VULN|3AELBLL|4CGEN|57ASPD|7BPWR|8FEWX|9CDMG|aRCR
20	53211 31353	   	219.51	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2AART|3BEXP|48LHND|5DMSP|6RCR|78aVULN|8BPWR|9CDMG
