0	Index      	 *	Score 	Summary	Detail	
1	22266 23323	 * 	234.30	DCR|3VULN|1SPLARM|1AART|2CDMG|1ASPD	157VULN|2DUST|3ASPD|45CDMG|5BPWR|6LIT|8RCR|9AART|aSPLARM
2	23155 62232	 * 	231.05	DCR|3VULN|1MDPS|2ASPD|1DMG|1CDMG	135VULN|28ASPD|4BEXP|6RCR|7CDMG|9DMG|aMDPS
3	23135 62232	   	230.95	DCR|3VULN|1MDPS|2ASPD|1DMG|1CDMG	135VULN|28ASPD|4DUST|6RCR|7CDMG|9DMG|aMDPS
4	33116 31552	 * 	227.59	DCR|5VULN|2DMG|3ZMB	157ZMB|23589VULN|4RPLT|59BPWR|69DMG|aRCR
5	22264 23323	   	226.77	DCR|3VULN|1SPLARM|1AART|1ASPD|1CDMG	157VULN|2DUST|3ASPD|4CDMG|6LIT|8RCR|9AART|aSPLARM
6	22513 23323	 * 	226.77	DCR|3VULN|1SPLARM|1AART|1DMG|1CDMG	147VULN|2DUST|3LIT|5CDMG|6DMG|8RCR|9AART|aSPLARM
7	22513 42323	   	226.77	DCR|3VULN|1SPLARM|1AART|1ASPD|1CDMG	146VULN|2DUST|3LIT|5CDMG|7ASPD|8RCR|9AART|aSPLARM
8	23113 21331	 * 	225.50	DCR|3VULN|2ASPD|1AART|1DMG|2ZMB	139VULN|29ASPD|4RPLT|5AART|6BEXP|7DMG|89ZMB|9BPWR|aRCR
9	33113 21531	   	225.50	DCR|3VULN|2ASPD|1AART|1DMG|2ZMB	19ZMB|239VULN|4RPLT|5AART|6BEXP|7DMG|89ASPD|9BPWR|aRCR
10	23165 62211	 * 	224.25	DCR|3VULN|2ASPD|1AART|1CDMG|1DUR	135VULN|28ASPD|4LWND|6RCR|7CDMG|9DUR|aAART
11	23135 62241	   	224.15	DCR|3VULN|2ASPD|1AART|1CDMG|1DUR	135VULN|28ASPD|4DUST|6RCR|7CDMG|9DUR|aAART
12	22262 43323	 * 	223.16	DCR|1SPLARM|2VULN|2ASPD|1AART|1CDMG	17VULN|2DUST|36ASPD|4CDMG|5LIT|8RCR|9AART|aSPLARM
13	23135 62236	   	222.46	DCR|3VULN|2ASPD|1DMG|1CDMG|1ZMB	135VULN|28ASPD|4DUST|6RCR|7CDMG|9DMG|aZMB
14	26135 62221	 * 	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	135VULN|2DMG|4DUST|6RCR|7CDMG|8ASPD|9CGEN|aAART
15	26331 26531	 * 	221.55	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB|2SELL	19VULN|29DMG|36SELL|4ZMB|5BEXP|7AART|89ASPD|9BPWR|aRCR
16	26235 62221	 * 	221.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	15VULN|23DMG|4DUST|6RCR|7CDMG|8ASPD|9CGEN|aAART
17	23235 63263	 * 	221.30	DCR|3VULN|2DMG|1ASPD|2ZMB|1DUR	15aVULN|2ASPD|3aDMG|4TLV|6RCR|7RMIN|8DUR|9aZMB|aBPWR
18	22266 23325	 * 	221.22	DCR|3VULN|2AART|2CDMG|1ASPD	157VULN|2DUST|3ASPD|45CDMG|5BPWR|6LIT|8RCR|9aAART
19	23165 62212	   	220.53	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	135VULN|28ASPD|4LWND|6RCR|7CDMG|9DUR|aDMG
20	23135 62242	   	220.43	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	135VULN|28ASPD|4DUST|6RCR|7CDMG|9DUR|aDMG
21	22266 62332	 * 	220.26	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DMG	157VULN|2DUST|3ASPD|45CDMG|5BPWR|6AELBLL|8RCR|9DMG|aMDPS
22	26235 62121	 * 	219.21	DCR|3VULN|2DMG|1AART|1CDMG	159VULN|23DMG|4DUST|6RCR|7CDMG|8FEWX|aAART
23	23165 62222	   	217.76	DCR|3VULN|1MDPS|2ASPD|1CDMG|1AAC	135VULN|28ASPD|4LWND|6RCR|7CDMG|9AAC|aMDPS
24	23155 62121	 * 	217.57	DCR|4VULN|1AART|1ASPD|1CDMG	1359VULN|2ASPD|4BEXP|6RCR|7CDMG|8FEWX|aAART
