0	Index      	 *	Score 	Summary	Detail	
1	51153 12336	 * 	229.43	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	1DUR|259VULN|38DMG|4MLV|6ASPD|7RCR|aAART
2	21232 52226	 * 	228.01	DCR|3VULN|2DMG|2ASPD|1CDMG	1LHND|26aVULN|3LIT|4CDMG|5aASPD|7RCR|8CGEN|9aDMG|aBPWR
3	51153 12236	 * 	227.69	DCR|4VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2589VULN|3DMG|4MLV|6ASPD|7RCR|aAART
4	51232 52111	 * 	223.14	DCR|3VULN|1MDPS|1ASPD|1NUKE|1CDMG|1DUR	1DUR|268VULN|3LIT|4CDMG|5ASPD|7RCR|9NUKE|aMDPS
5	51153 12231	 * 	221.50	DCR|4VULN|2DMG|1ASPD|1DUR	1DUR|2589VULN|3aDMG|4MLV|6ASPD|7RCR
6	51153 12331	 * 	221.30	DCR|3VULN|3DMG|1ASPD|1DUR	1DUR|259VULN|38aDMG|4MLV|6ASPD|7RCR
7	51132 21111	 * 	220.87	DCR|3VULN|3DMG|1AART|1DUR|1SELL	1DUR|256VULN|36aDMG|4SELL|6BPWR|7RPLT|8AART|9RCR
8	51132 25226	 * 	220.23	DCR|3VULN|1MDPS|2DMG|1ASPD|1DUR|1SELL	1DUR|256VULN|36DMG|4SELL|6BPWR|7ASPD|8ERES|9RCR|aMDPS
9	51153 12241	   	219.87	DCR|3VULN|2DMG|2ASPD|1DUR	1DUR|258VULN|3aDMG|4MLV|69ASPD|7RCR
10	21232 52136	 * 	218.55	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1LHND|268VULN|3LIT|4CDMG|5ASPD|7RCR|9AART|aMDPS
11	51153 12341	 * 	217.69	DCR|3DMG|2VULN|2ASPD|1DUR	1DUR|25VULN|38aDMG|4MLV|69ASPD|7RCR
12	51151 12236	   	217.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	15DUR|289VULN|3DMG|45MLV|5BPWR|6ASPD|7RCR|aAART
13	11336 12236	   	217.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	1MLV|23DUR|489VULN|5DMG|6ASPD|7RCR|aAART
14	14336 12236	   	217.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	1MLV|289VULN|34DUR|5DMG|6ASPD|7RCR|aAART
15	51151 12336	   	216.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	15DUR|29VULN|38DMG|45MLV|5BPWR|6ASPD|7RCR|aAART
16	11336 12336	   	216.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1MLV|23DUR|49VULN|58DMG|6ASPD|7RCR|aAART
17	14336 12336	   	216.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1MLV|29VULN|34DUR|58DMG|6ASPD|7RCR|aAART
18	21232 52111	   	214.83	DCR|3VULN|1MDPS|1ASPD|1NUKE|1CDMG	1LHND|268VULN|3LIT|4CDMG|5ASPD|7RCR|9NUKE|aMDPS
19	41633 14111	 * 	214.24	DCR|2ASPD|1AART|1VULN|1DMG|1NUKE|1ZMB|1DUR	1CGEN|2DUR|3ZMB|4DMG|56ASPD|7VULN|8AART|9RCR|aNUKE
20	21132 25111	   	213.72	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1LHND|256VULN|36DMG|4SELL|6BPWR|79ASPD|8DUR|aRCR
21	51132 22211	   	213.72	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1DUR|256VULN|36DMG|4SELL|6BPWR|7BEXP|89ASPD|aRCR
22	51132 25511	   	213.72	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1DUR|256VULN|36DMG|4SELL|6BPWR|79ASPD|8LWND|aRCR
23	11336 12246	 * 	213.47	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	1MLV|23DUR|48VULN|5DMG|69ASPD|7RCR|aAART
24	21153 12231	   	213.19	DCR|4VULN|2DMG|1ASPD	1LHND|2589VULN|3aDMG|4MLV|6ASPD|7RCR
25	61153 12231	   	213.09	DCR|4VULN|2DMG|1ASPD	1DUST|2589VULN|3aDMG|4MLV|6ASPD|7RCR
26	21153 12331	   	213.00	DCR|3VULN|3DMG|1ASPD	1LHND|259VULN|38aDMG|4MLV|6ASPD|7RCR
27	61153 12331	   	212.90	DCR|3VULN|3DMG|1ASPD	1DUST|259VULN|38aDMG|4MLV|6ASPD|7RCR
28	51232 52311	 * 	212.73	DCR|2VULN|1MDPS|2CDMG|1ASPD|1NUKE|1DUR	1DUR|26VULN|3LIT|48CDMG|5ASPD|7RCR|9NUKE|aMDPS
29	21132 21111	 * 	212.57	DCR|3VULN|3DMG|1AART|1SELL	1LHND|256VULN|36aDMG|4SELL|6BPWR|7RPLT|8AART|9RCR
30	11436 12236	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	13MLV|2DUR|489VULN|5DMG|6ASPD|7RCR|aAART
31	51153 12216	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|258VULN|3DMG|4MLV|6ASPD|7RCR|9LIT|aAART
32	52533 22236	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2AELBLL|389VULN|4DMG|5ASPD|6AME|7RCR|aAART
