0	Index      	 *	Score 	Summary	Detail	
1	32331 52254	 * 	223.81	DCR|3VULN|2DMG|2ASPD|1CDMG	1AME|238VULN|47ASPD|5aDMG|6CDMG|9RCR
2	13331 52264	   	223.71	DCR|3VULN|2DMG|2ASPD|1CDMG|1AAC	1AAC|238VULN|47ASPD|5aDMG|6CDMG|9RCR
3	32331 52651	 * 	218.02	DCR|3VULN|2ASPD|2CDMG|1DMG	18AME|238VULN|47ASPD|5DMG|68CDMG|8BPWR|9RCR|aRMIN
4	13141 24352	 * 	215.40	DCR|3VULN|3DMG|1ASPD|1AAC|1DUR	1AAC|249VULN|369DMG|5ASPD|7DUR|89CGEN|9BPWR|aRCR
5	32336 26251	   	214.70	DCR|3VULN|2DMG|2ASPD	17AME|23aVULN|47ASPD|5RMIN|67DMG|7BPWR|8RPLT|9RCR
6	32441 22363	 * 	214.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AME|24VULN|3ZMB|5ASPD|6DMG|7DUR|8CDMG|9AART|aRCR
7	13331 62152	 * 	214.55	DCR|3VULN|3ASPD|1DMG|2DUR|1AAC	1AAC|239VULN|489ASPD|5DMG|6MLV|79DUR|9BPWR|aRCR
8	32331 52653	   	213.85	DCR|3VULN|2ASPD|2CDMG|1DMG	18AME|238VULN|47ASPD|5DMG|68CDMG|8BPWR|9RCR|aLHND
9	32331 52652	   	213.75	DCR|3VULN|2ASPD|2CDMG|1DMG	18AME|238VULN|47ASPD|5DMG|68CDMG|8BPWR|9RCR|aERES
10	13314 12425	 * 	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5ASPD|6RCR|7DUR|8LWND|9DMG|aAART
11	13315 12115	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8ASPD|9LWND|aAART
12	32331 52636	   	211.85	DCR|3VULN|2ASPD|2CDMG|1DMG	18AME|238VULN|47ASPD|5DMG|68CDMG|8BPWR|9LHND|aRCR
13	32331 52643	 * 	211.75	DCR|3VULN|2ASPD|2CDMG|1DMG|1NUKE	18AME|238VULN|47ASPD|5DMG|68CDMG|8BPWR|9NUKE|aRCR
14	13315 12125	   	211.46	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR|1AAC	1AAC|234VULN|5DMG|6RCR|7aDUR|8ASPD|9CDMG
15	32441 22351	   	210.65	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AME|24aVULN|3ZMB|5ASPD|6DMG|7DUR|8CDMG|9RCR
16	13441 22351	   	210.55	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|24aVULN|3ZMB|5ASPD|6DMG|7DUR|8CDMG|9RCR
17	32141 52251	   	210.39	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|248VULN|3DMG|57ASPD|6CDMG|9RCR|aRMIN
18	32331 52251	   	210.39	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|238VULN|47ASPD|5DMG|6CDMG|9RCR|aRMIN
19	53331 52251	   	210.39	DCR|3VULN|2ASPD|1DMG|1CDMG	1CGEN|238VULN|47ASPD|5DMG|6CDMG|9RCR|aRMIN
20	13141 52261	   	210.29	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|248VULN|3DMG|57ASPD|6CDMG|9RCR|aRMIN
21	13331 52261	   	210.29	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|47ASPD|5DMG|6CDMG|9RCR|aRMIN
22	13311 51245	 * 	209.93	ACR|5VULN|2DMG|3CDMG|1AAC	1AAC|2348aVULN|5RCR|67aCDMG|9aDMG|aBPWR
23	13315 16153	 * 	209.85	DCR|3VULN|1SPLARM|1MDPS|2DMG|1CDMG|1AAC	1AAC|234VULN|58DMG|6RCR|7MDPS|9SPLARM|aCDMG
24	13315 12134	   	209.43	DCR|3VULN|2ASPD|1DMG|2DUR|1AAC	1AAC|234VULN|5DMG|6RCR|7aDUR|89ASPD
25	13315 12126	 * 	209.25	DCR|3VULN|2AAC|1ASPD|1DMG|1CDMG|1DUR	1aAAC|234VULN|5DMG|6RCR|7DUR|8ASPD|9CDMG
26	13315 14135	 * 	209.24	DCR|5VULN|2DMG|1AAC|1SELL	1AAC|2349aVULN|5aDMG|6RCR|7SELL|8aFEWX|aBPWR
27	32131 52254	   	208.87	DCR|2VULN|2DMG|2ASPD|1CDMG	1AME|28VULN|3aDMG|4RCVC|57ASPD|6CDMG|9RCR
28	13131 52264	   	208.77	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	1AAC|28VULN|3aDMG|4RCVC|57ASPD|6CDMG|9RCR
29	13315 12133	   	208.35	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|89ASPD|aRMIN
30	13314 12151	 * 	207.80	DCR|3VULN|2ASPD|1AART|1AAC|1DUR	1AAC|234VULN|58ASPD|6RCR|7DUR|9MSLREG|aAART
31	13331 35526	 * 	207.64	DCR|3VULN|2AAC|1AART|1ASPD|1DMG|1DUR	17AAC|23aVULN|4ASPD|5DMG|6AART|8DUR|9RCR
32	13336 22351	   	207.15	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|23aVULN|4ASPD|5RMIN|6DMG|7DUR|8CDMG|9RCR
33	13141 22552	   	207.10	DCR|3VULN|3DMG|1ASPD|1AAC	1AAC|249VULN|369DMG|5ASPD|7MLV|89LWND|9BPWR|aRCR
34	13141 23552	   	207.00	DCR|3VULN|3DMG|1ASPD|1AAC	1AAC|249VULN|369DMG|5ASPD|7TLV|89LWND|9BPWR|aRCR
35	32331 52255	   	206.55	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|238VULN|47ASPD|5DMG|6CDMG|9RCR|aRCVC
36	13331 52265	   	206.45	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|47ASPD|5DMG|6CDMG|9RCR|aRCVC
37	32141 52253	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|248VULN|3DMG|57ASPD|6CDMG|9RCR|aLHND
38	32331 52253	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|238VULN|47ASPD|5DMG|6CDMG|9RCR|aLHND
39	32331 52256	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1aAME|238VULN|47ASPD|5DMG|6CDMG|9RCR
40	53331 52253	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1CGEN|238VULN|47ASPD|5DMG|6CDMG|9RCR|aLHND
41	13315 12121	   	206.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8ASPD|9CDMG|aFEWX
42	13315 12122	   	206.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8ASPD|9CDMG|aLWND
43	13315 12123	   	206.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8ASPD|9CDMG|aBEXP
44	13315 12233	   	206.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8CGEN|9ASPD|aCDMG
45	13315 12333	   	206.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8MLV|9ASPD|aCDMG
46	32441 23363	   	206.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AME|24VULN|3ZMB|5ASPD|6DMG|7DUST|8CDMG|9AART|aRCR
47	13141 52263	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|248VULN|3DMG|57ASPD|6CDMG|9RCR|aLHND
48	13331 52263	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|47ASPD|5DMG|6CDMG|9RCR|aLHND
49	13331 52266	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|47ASPD|5DMG|6CDMG|9RCR|aAME
50	32141 52252	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|248VULN|3DMG|57ASPD|6CDMG|9RCR|aERES
51	32331 52252	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|238VULN|47ASPD|5DMG|6CDMG|9RCR|aERES
52	53331 52252	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1CGEN|238VULN|47ASPD|5DMG|6CDMG|9RCR|aERES
53	13315 12143	   	206.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8ASPD|9TLV|aCDMG
54	13315 12533	   	206.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8ERES|9ASPD|aCDMG
55	13315 13125	   	206.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUST|8ASPD|9CDMG|aDUR
56	13141 35522	 * 	206.06	DCR|2VULN|2AAC|1AART|1ASPD|1DMG|1CDMG|1DUR	17AAC|24VULN|3DMG|5ASPD|6AART|8DUR|9RCR|aCDMG
57	13331 35522	   	206.06	DCR|2VULN|2AAC|1AART|1ASPD|1DMG|1CDMG|1DUR	17AAC|23VULN|4ASPD|5DMG|6AART|8DUR|9RCR|aCDMG
58	53321 26335	 * 	206.05	DCR|5VULN|1DMG|1CDMG	1CGEN|2359aVULN|4LHND|6DMG|7RCR|8CDMG
59	13141 52262	   	206.02	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|248VULN|3DMG|57ASPD|6CDMG|9RCR|aERES
60	13331 52262	   	206.02	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|47ASPD|5DMG|6CDMG|9RCR|aERES
61	53312 26335	   	205.95	DCR|5VULN|1DMG|1CDMG	1CGEN|2349aVULN|5DUST|6DMG|7RCR|8CDMG
62	32314 46131	   	205.90	DCR|3VULN|2ASPD|1AART|1DUR	1AME|234VULN|58ASPD|6DUR|7RCR|9CANARM|aAART
63	13314 14135	 * 	205.87	DCR|5VULN|2ASPD|1AAC|1SELL	1AAC|2349aVULN|5aASPD|6RCR|7SELL|8aFEWX|aBPWR
64	13315 12231	 * 	205.81	DCR|4VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|234aVULN|5DMG|6RCR|7DUR|8CGEN|9ASPD
65	13315 12331	   	205.81	DCR|4VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|234aVULN|5DMG|6RCR|7DUR|8MLV|9ASPD
66	13315 12141	   	205.71	DCR|4VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|234aVULN|5DMG|6RCR|7DUR|8ASPD|9TLV
67	13315 12531	   	205.71	DCR|4VULN|1ASPD|1DMG|1AAC|1DUR	1AAC|234aVULN|5DMG|6RCR|7DUR|8ERES|9ASPD
68	11334 41216	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2BEXP|39aVULN|4AART|5ASPD|6RCR|7FEWX|8DMG
69	13234 41216	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1AAC|29aVULN|3LWND|4AART|5ASPD|6RCR|7FEWX|8DMG
70	16326 31152	   	204.82	DCR|3VULN|3ASPD|2DUR|1AAC|1ZMB	1AAC|29DUR|379VULN|4ZMB|5CGEN|689ASPD|9BPWR|aRCR
71	13314 12256	 * 	204.49	DCR|3VULN|1SPLARM|1ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5ASPD|6RCR|7DUR|8BEXP|9SPLARM|aDMG
72	32336 51243	   	204.37	DCR|3VULN|2CDMG|1ASPD|1DMG	1AME|238VULN|4ASPD|5RMIN|67CDMG|9DMG|aRCR
73	32315 46121	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|234VULN|5DMG|6DUR|7RCR|8ASPD|9CDMG|aFEWX
74	32315 46122	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|234VULN|5DMG|6DUR|7RCR|8ASPD|9CDMG|aLWND
75	32315 46233	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|234VULN|5DMG|6DUR|7RCR|8CGEN|9ASPD|aCDMG
76	32315 46333	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|234VULN|5DMG|6DUR|7RCR|8MLV|9ASPD|aCDMG
77	32362 26125	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	14AME|234VULN|4BPWR|5DUST|6DMG|7RCR|8ASPD|9CDMG|aDUR
78	53321 26125	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1CGEN|235VULN|4LHND|6DMG|7RCR|8ASPD|9CDMG|aDUR
79	13336 51243	   	204.27	DCR|3VULN|2CDMG|1ASPD|1DMG|1AAC	1AAC|238VULN|4ASPD|5RMIN|67CDMG|9DMG|aRCR
80	32141 52236	   	204.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|248VULN|3DMG|57ASPD|6CDMG|9LHND|aRCR
81	32331 52236	   	204.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1AME|238VULN|47ASPD|5DMG|6CDMG|9LHND|aRCR
82	53331 52236	   	204.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1CGEN|238VULN|47ASPD|5DMG|6CDMG|9LHND|aRCR
83	32312 26125	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1AME|234VULN|5DUST|6DMG|7RCR|8ASPD|9CDMG|aDUR
84	32315 46123	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR|1MSE	1AME|234VULN|5DMG|6DUR|7RCR|8ASPD|9CDMG|aMSE
85	53312 26125	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1CGEN|234VULN|5DUST|6DMG|7RCR|8ASPD|9CDMG|aDUR
86	13315 11134	   	204.18	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7BEXP|89ASPD|aDUR
87	13315 12131	   	204.18	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|89ASPD|aAME
88	13315 12135	   	204.18	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|89ASPD|aFEWX
89	13141 52236	   	204.12	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|248VULN|3DMG|57ASPD|6CDMG|9LHND|aRCR
90	13331 52236	   	204.12	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|47ASPD|5DMG|6CDMG|9LHND|aRCR
91	32141 52243	   	204.12	DCR|3VULN|2ASPD|1DMG|1NUKE|1CDMG	1AME|248VULN|3DMG|57ASPD|6CDMG|9NUKE|aRCR
92	32331 52243	   	204.12	DCR|3VULN|2ASPD|1DMG|1NUKE|1CDMG	1AME|238VULN|47ASPD|5DMG|6CDMG|9NUKE|aRCR
93	53331 52243	   	204.12	DCR|3VULN|2ASPD|1DMG|1NUKE|1CDMG	1CGEN|238VULN|47ASPD|5DMG|6CDMG|9NUKE|aRCR
94	13315 12132	   	204.08	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR|1MSE	1AAC|234VULN|5DMG|6RCR|7DUR|89ASPD|aMSE
95	13315 12136	   	204.08	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|89ASPD|aTLV
96	13315 13134	   	204.08	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUST|89ASPD|aDUR
97	32315 46231	   	203.91	DCR|4VULN|1ASPD|1DMG|1DUR	1AME|234aVULN|5DMG|6DUR|7RCR|8CGEN|9ASPD
98	32315 46331	   	203.91	DCR|4VULN|1ASPD|1DMG|1DUR	1AME|234aVULN|5DMG|6DUR|7RCR|8MLV|9ASPD
99	11334 41215	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2BEXP|39VULN|4AART|5ASPD|6RCR|7FEWX|8DMG|aCDMG
100	13234 41215	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|29VULN|3LWND|4AART|5ASPD|6RCR|7FEWX|8DMG|aCDMG
101	13315 12423	   	203.74	DCR|3VULN|2DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|59DMG|6RCR|7DUR|8LWND|aCDMG
102	32362 26115	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	14AME|234VULN|4BPWR|5DUST|6DMG|7RCR|8ASPD|9LWND|aAART
103	53321 26115	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1CGEN|235VULN|4LHND|6DMG|7RCR|8ASPD|9LWND|aAART
104	32312 26115	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1AME|234VULN|5DUST|6DMG|7RCR|8ASPD|9LWND|aAART
105	53312 26115	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1CGEN|234VULN|5DUST|6DMG|7RCR|8ASPD|9LWND|aAART
106	32315 43263	 * 	203.36	DCR|3VULN|2DMG|1AART|1DUR	1AME|234VULN|57DMG|6DUR|8RPLT|9AART|aRCR
107	53321 26133	 * 	203.34	DCR|3VULN|1MDPS|2ASPD|1DMG	1CGEN|235VULN|4LHND|6DMG|7RCR|89ASPD|aMDPS
108	53362 26133	   	203.34	DCR|3VULN|1MDPS|2ASPD|1DMG	14CGEN|234VULN|4BPWR|5DUST|6DMG|7RCR|89ASPD|aMDPS
109	13315 12421	 * 	203.33	DCR|4VULN|2DMG|1AAC|1DUR	1AAC|234aVULN|59DMG|6RCR|7DUR|8LWND
110	53312 26133	   	203.24	DCR|3VULN|1MDPS|2ASPD|1DMG	1CGEN|234VULN|5DUST|6DMG|7RCR|89ASPD|aMDPS
111	53351 26133	   	203.24	DCR|3VULN|1MDPS|2ASPD|1DMG	1CGEN|235VULN|4DUST|6DMG|7RCR|89ASPD|aMDPS
112	32131 52651	   	203.07	DCR|2VULN|2ASPD|2CDMG|1DMG	18AME|28VULN|3DMG|4RCVC|57ASPD|68CDMG|8BPWR|9RCR|aRMIN
113	32336 24533	   	202.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|23VULN|4ASPD|5RMIN|6DMG|7CDMG|8AART|9BEXP|aRCR
114	26333 63531	   	202.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|2SPLREG|38VULN|4DUR|5AART|6RCR|7BASFIG|9ASPD|aDMG
115	35311 62632	 * 	202.84	DCR|3VULN|1AART|2CDMG|2DUR	18AME|28DUR|379VULN|4MLV|58CDMG|6RCR|8BPWR|aAART
116	32336 24513	   	202.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|23VULN|4ASPD|5RMIN|6DMG|7CDMG|8AART|9DUST|aRCR
117	32331 54151	   	202.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1AME|23aVULN|4ASPD|5DMG|6CDMG|7LWND|8ZMB|9RCR
118	32315 46131	   	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	1aAME|234VULN|5DMG|6DUR|7RCR|89ASPD
119	32315 46132	   	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	1AME|234VULN|5DMG|6DUR|7RCR|89ASPD|aRPLT
120	32315 46133	   	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	1AME|234VULN|5DMG|6DUR|7RCR|89ASPD|aLHND
121	32362 26134	   	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	14AME|234VULN|4BPWR|5DUST|6DMG|7RCR|89ASPD|aDUR
122	53321 26134	   	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	1CGEN|235VULN|4LHND|6DMG|7RCR|89ASPD|aDUR
123	13331 54151	   	202.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1AAC|23aVULN|4ASPD|5DMG|6CDMG|7LWND|8ZMB|9RCR
124	32441 23351	   	202.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1AME|24aVULN|3ZMB|5ASPD|6DMG|7DUST|8CDMG|9RCR
125	32312 26134	   	202.18	DCR|3VULN|2ASPD|1DMG|1DUR	1AME|234VULN|5DUST|6DMG|7RCR|89ASPD|aDUR
126	53312 26134	   	202.18	DCR|3VULN|2ASPD|1DMG|1DUR	1CGEN|234VULN|5DUST|6DMG|7RCR|89ASPD|aDUR
127	13441 23351	   	202.14	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1AAC|24aVULN|3ZMB|5ASPD|6DMG|7DUST|8CDMG|9RCR
128	13314 12241	 * 	202.00	DCR|4VULN|1ASPD|1CDMG|1AAC|1DUR	1AAC|234aVULN|5ASPD|6RCR|7DUR|8BEXP|9CDMG
129	13314 12441	   	202.00	DCR|4VULN|1ASPD|1CDMG|1AAC|1DUR	1AAC|234aVULN|5ASPD|6RCR|7DUR|8LWND|9CDMG
130	13315 12441	   	202.00	DCR|4VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|234aVULN|5DMG|6RCR|7DUR|8LWND|9CDMG
131	13315 12641	   	202.00	DCR|4VULN|1DMG|1CDMG|1AAC|1DUR	1AAC|234aVULN|5DMG|6RCR|7DUR|8BEXP|9CDMG
132	53321 26332	 * 	201.15	DCR|4VULN|1MDPS|1DMG|1CDMG	1CGEN|2359VULN|4LHND|6DMG|7RCR|8CDMG|aMDPS
133	53362 26332	   	201.15	DCR|4VULN|1MDPS|1DMG|1CDMG	14CGEN|2349VULN|4BPWR|5DUST|6DMG|7RCR|8CDMG|aMDPS
134	53312 26332	   	201.05	DCR|4VULN|1MDPS|1DMG|1CDMG	1CGEN|2349VULN|5DUST|6DMG|7RCR|8CDMG|aMDPS
135	53351 26332	   	201.05	DCR|4VULN|1MDPS|1DMG|1CDMG	1CGEN|2359VULN|4DUST|6DMG|7RCR|8CDMG|aMDPS
136	13331 61152	   	201.00	DCR|3VULN|3ASPD|1DMG|1AAC	1AAC|239VULN|489ASPD|5DMG|6MLV|79BEXP|9BPWR|aRCR
137	16163 51312	 * 	200.99	DCR|3DMG|1VULN|2CDMG|2DUR|1AAC	1AAC|28DUR|378DMG|4RMIN|58CDMG|6RCR|8BPWR|9AME|aVULN
138	16163 51333	   	200.99	DCR|3DMG|1VULN|2CDMG|2DUR|1AAC	1AAC|28DUR|378DMG|4RMIN|58CDMG|6RCR|8BPWR|9LWND|aVULN
139	13315 11126	   	200.94	DCR|3VULN|2AAC|1ASPD|1DMG|1CDMG	1aAAC|234VULN|5DMG|6RCR|7BEXP|8ASPD|9CDMG
140	13331 63152	   	200.80	DCR|3VULN|3ASPD|1DMG|1AAC	1AAC|239VULN|489ASPD|5DMG|6MLV|79DUST|9BPWR|aRCR
141	13141 51444	   	200.74	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|24aVULN|3DMG|5ASPD|6CDMG|7MBVNT|8RCR|9SPLREG
142	13331 51444	   	200.74	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1AAC|23aVULN|4ASPD|5DMG|6CDMG|7MBVNT|8RCR|9SPLREG
143	13314 12253	 * 	200.67	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1AAC|1DUR	1AAC|234VULN|5ASPD|6RCR|7DUR|8BEXP|9SPLARM|aCDMG
144	13314 12453	   	200.67	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1AAC|1DUR	1AAC|234VULN|5ASPD|6RCR|7DUR|8LWND|9SPLARM|aCDMG
145	13315 12453	   	200.67	DCR|3VULN|1SPLARM|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8LWND|9SPLARM|aCDMG
146	13315 12653	   	200.67	DCR|3VULN|1SPLARM|1DMG|1CDMG|1AAC|1DUR	1AAC|234VULN|5DMG|6RCR|7DUR|8BEXP|9SPLARM|aCDMG
147	26333 63532	   	200.62	DCR|3VULN|1AART|1ASPD|1DUR	1BEXP|2SPLREG|38aVULN|4DUR|5AART|6RCR|7BASFIG|9ASPD
148	32311 43543	 * 	200.59	ACR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1AME|234VULN|5RCR|6AART|7CDMG|8ZMB|9ASPD|aMDPS
149	13311 43543	   	200.49	ACR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC|1ZMB	1AAC|234VULN|5RCR|6AART|7CDMG|8ZMB|9ASPD|aMDPS
150	13131 24352	   	200.46	DCR|3DMG|2VULN|1ASPD|1AAC|1DUR	1AAC|29VULN|369DMG|4RCVC|5ASPD|7DUR|89CGEN|9BPWR|aRCR
151	16221 22416	   	200.43	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB|1DUR	1AAC|2DUR|3LWND|4ZMB|5CDMG|6AART|7RCR|8aVULN|9DMG
152	13314 12123	   	200.37	DCR|3VULN|2ASPD|1CDMG|1AAC|1DUR	1AAC|234VULN|58ASPD|6RCR|7DUR|9BEXP|aCDMG
153	13314 12161	   	200.37	DCR|3VULN|2ASPD|1CDMG|1AAC|1DUR	1AAC|234VULN|58ASPD|6RCR|7DUR|9AELBLL|aCDMG
154	13314 12233	   	200.37	DCR|3VULN|2ASPD|1CDMG|1AAC|1DUR	1AAC|234VULN|59ASPD|6RCR|7DUR|8BEXP|aCDMG
155	13141 62351	   	200.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|24aVULN|3DMG|5ASPD|6MLV|7DUR|8CDMG|9RCR
156	13331 62351	   	200.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|23aVULN|4ASPD|5DMG|6MLV|7DUR|8CDMG|9RCR
157	32362 26153	   	200.17	DCR|3VULN|1ASPD|1DMG|1CDMG	14AME|234VULN|4BPWR|5DUST|6DMG|7RCR|8ASPD|9RMIN|aCDMG
158	53321 26153	   	200.17	DCR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|235VULN|4LHND|6DMG|7RCR|8ASPD|9RMIN|aCDMG
159	13341 22351	   	200.11	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|23aVULN|4TLV|5ASPD|6DMG|7DUR|8CDMG|9RCR
160	32312 26153	   	200.07	DCR|3VULN|1ASPD|1DMG|1CDMG	1AME|234VULN|5DUST|6DMG|7RCR|8ASPD|9RMIN|aCDMG
161	53312 26153	   	200.07	DCR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|234VULN|5DUST|6DMG|7RCR|8ASPD|9RMIN|aCDMG
162	13315 11133	   	200.04	DCR|3VULN|2ASPD|1DMG|1AAC	1AAC|234VULN|5DMG|6RCR|7BEXP|89ASPD|aRMIN
163	13314 12121	 * 	199.97	DCR|4VULN|2ASPD|1AAC|1DUR	1AAC|234aVULN|58ASPD|6RCR|7DUR|9BEXP
164	13314 12231	   	199.97	DCR|4VULN|2ASPD|1AAC|1DUR	1AAC|234aVULN|59ASPD|6RCR|7DUR|8BEXP
