0	Index      	 *	Score 	Summary	Detail	
1	32643 12554	 * 	237.72	DCR|4VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|5789VULN|6RCR|8BPWR|aDUR
2	32643 12581	 * 	237.34	DCR|3VULN|2DMG|2ASPD|1AART|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9AART|aLHND
3	32643 12583	   	237.34	DCR|3VULN|2DMG|2ASPD|1AART|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9AART|aBEXP
4	32643 12584	   	237.34	DCR|3VULN|2DMG|2ASPD|1AART|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9AART|aCGEN
5	32643 12582	   	237.24	DCR|3VULN|2DMG|2ASPD|1AART|1AAC|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9AART|aMSE
6	32213 42264	 * 	233.06	DCR|3DMG|2VULN|1MDPS|2ASPD|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9aVULN
7	32542 13174	 * 	231.76	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	1aDMG|2MBVNT|3ERES|4aASPD|5AART|6LWND|7CDMG|8RCR|9aVULN|aBPWR
8	32542 73174	   	231.76	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	1aDMG|2MBVNT|3ERES|4aASPD|5AART|6LHND|7CDMG|8RCR|9aVULN|aBPWR
9	31111 66262	 * 	230.11	DCR|3VULN|1SPLARM|2DMG|1AART	1aDMG|2ERES|3AART|4LHND|569VULN|7RCR|8SPLARM
10	32643 12551	   	229.41	DCR|4VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|5789VULN|6RCR|8BPWR|aLWND
11	32643 12552	   	229.41	DCR|4VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|5789VULN|6RCR|8BPWR|aFEWX
