0	Index      	 *	Score 	Summary	Detail	
1	32211 42352	 * 	241.26	DCR|4VULN|1MDPS|3CDMG|1ASPD|1DMG	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9RCR|aMDPS
2	32263 63153	 * 	240.15	DCR|5VULN|2ASPD|1AART|1CDMG	1268aVULN|3CDMG|4MLV|56ASPD|6BPWR|7AART|9RCR
3	32211 42354	   	232.77	DCR|4VULN|3CDMG|1ASPD|1DMG|1ZMB	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9RCR|aZMB
4	26211 42352	   	229.58	DCR|3VULN|1MDPS|3CDMG|1ASPD|1DMG	1RCVC|245VULN|347CDMG|4BPWR|6ASPD|8DMG|9RCR|aMDPS
5	32211 42355	   	229.21	DCR|4VULN|3CDMG|1ASPD|1DMG|1AAC	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9RCR|aAAC
6	32211 42362	   	228.74	DCR|4VULN|3CDMG|1ASPD|1DMG|1DUR	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9DUR|aRCR
7	32214 42352	   	227.87	DCR|3VULN|1MDPS|3CDMG|1ASPD|1DMG	124VULN|347CDMG|4BPWR|5RCVC|6ASPD|8DMG|9RCR|aMDPS
8	32263 63152	   	226.21	DCR|4VULN|2ASPD|1AART|1CDMG	1268VULN|3CDMG|4MLV|56ASPD|6BPWR|7AART|9RCR|aRCVC
9	32263 63151	   	225.89	DCR|4VULN|2ASPD|1AART|1CDMG	1268VULN|3CDMG|4MLV|56ASPD|6BPWR|7AART|9RCR|aLWND
10	32263 13153	   	225.83	DCR|5VULN|1AART|1ASPD|1CDMG	1268aVULN|3CDMG|4MLV|5ASPD|7AART|9RCR
11	32222 33353	   	225.73	DCR|5VULN|1AART|1ASPD|1CDMG	1258aVULN|3CDMG|4ERES|6ASPD|7AART|9RCR
12	32222 43353	 * 	225.73	DCR|5VULN|1AART|1DMG|1CDMG	1258aVULN|3CDMG|4ERES|6DMG|7AART|9RCR
13	32212 42352	   	225.41	DCR|3VULN|1MDPS|3CDMG|1ASPD|1DMG	124VULN|347CDMG|4BPWR|5AELBLL|6ASPD|8DMG|9RCR|aMDPS
14	32213 28381	 * 	223.21	DCR|3VULN|1AART|2CDMG|1ASPD|1DMG	124VULN|34CDMG|4BPWR|5MBVNT|6DMG|7ASPD|8AME|9RCR|aAART
15	32213 28781	   	223.11	DCR|3VULN|1AART|2CDMG|1ASPD|1DMG	124VULN|34CDMG|4BPWR|5MBVNT|6DMG|7ASPD|8ERES|9RCR|aAART
16	32211 42353	   	222.44	DCR|4VULN|3CDMG|1ASPD|1DMG	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9RCR|aMLV
17	32211 42351	   	222.34	DCR|4VULN|3CDMG|1ASPD|1DMG	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9RCR|aMBVNT
18	32251 43241	 * 	221.90	DCR|5VULN|2ASPD|2CDMG	12458VULN|39CDMG|69ASPD|79LIT|9BPWR|aRCR
19	32211 16641	   	221.69	DCR|4VULN|2CDMG|1ASPD|1DMG|1DUR	1245VULN|34CDMG|4BPWR|6RPLT|7DMG|8DUR|9ASPD|aRCR
20	32211 35324	 * 	221.60	DCR|5VULN|1AART|2CDMG|1DUR	12456VULN|34CDMG|4BPWR|7LWND|8DUR|9RCR|aAART
21	32211 42222	   	220.44	DCR|4VULN|3CDMG|1ASPD|1DMG	1245VULN|347CDMG|4BPWR|6ASPD|8FEWX|9DMG|aRCR
22	32211 42342	   	220.44	DCR|4VULN|3CDMG|1ASPD|1DMG	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9LWND|aRCR
23	32211 42522	   	220.44	DCR|4VULN|3CDMG|1ASPD|1DMG	1245VULN|347CDMG|4BPWR|6ASPD|8LHND|9DMG|aRCR
24	32134 15241	 * 	219.05	DCR|3VULN|2DMG|1MDPS|2CDMG|1ASPD	128VULN|3MDPS|4DLOT|58DMG|6RCVC|78CDMG|8BPWR|9RCR|aASPD
25	32211 65381	 * 	219.00	DCR|4VULN|1AART|2CDMG|1DMG	1245VULN|34CDMG|4BPWR|6MBVNT|7DMG|8LWND|9RCR|aAART
26	32213 15381	   	219.00	DCR|4VULN|1AART|2CDMG|1DMG	1246VULN|34CDMG|4BPWR|5MBVNT|7DMG|8LWND|9RCR|aAART
27	32263 43153	 * 	219.00	DCR|4VULN|1AART|2CDMG|1ASPD	128aVULN|36CDMG|4MLV|5ASPD|7AART|9RCR
28	32226 33353	   	218.90	DCR|4VULN|1AART|2CDMG|1ASPD	128aVULN|35CDMG|4ERES|6ASPD|7AART|9RCR
29	32226 43353	   	218.90	DCR|4VULN|1AART|2CDMG|1DMG	128aVULN|35CDMG|4ERES|6DMG|7AART|9RCR
30	12623 22164	 * 	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1ZMB|2aVULN|3DUR|45ASPD|6LWND|7RCR|8AART|9DMG
31	13223 22164	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUR|3aVULN|45ASPD|6LWND|7RCR|8AART|9DMG
32	36223 22164	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1aVULN|2DUR|3ZMB|45ASPD|6LWND|7RCR|8AART|9DMG
33	32211 35326	 * 	217.88	DCR|5VULN|2CDMG|1NUKE|1DUR	12456VULN|34CDMG|4BPWR|7LWND|8DUR|9RCR|aNUKE
34	32216 15242	   	217.10	DCR|4VULN|1AART|2CDMG|1ASPD	1246VULN|34CDMG|4BPWR|5BEXP|7LIT|8AART|9ASPD|aRCR
35	26211 42362	   	217.06	DCR|3VULN|3CDMG|1ASPD|1DMG|1DUR	1RCVC|245VULN|347CDMG|4BPWR|6ASPD|8DMG|9DUR|aRCR
36	32212 42354	   	216.92	DCR|3VULN|3CDMG|1ASPD|1DMG|1ZMB	124VULN|347CDMG|4BPWR|5AELBLL|6ASPD|8DMG|9RCR|aZMB
37	36111 55312	   	216.24	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	147aVULN|2DUR|3ASPD|5CGEN|6RCR|8DMG|9ZMB
38	36113 55312	   	216.24	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	147aVULN|2DUR|3ASPD|5AME|6RCR|8DMG|9ZMB
39	26263 13153	   	215.73	DCR|4VULN|1AART|1ASPD|1CDMG	1RCVC|268aVULN|3CDMG|4MLV|5ASPD|7AART|9RCR
40	32253 28381	   	215.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	124VULN|3CDMG|5MBVNT|6DMG|7ASPD|8AME|9RCR|aAART
41	26222 33353	   	215.63	DCR|4VULN|1AART|1ASPD|1CDMG	1RCVC|258aVULN|3CDMG|4ERES|6ASPD|7AART|9RCR
42	26222 43353	   	215.63	DCR|4VULN|1AART|1DMG|1CDMG	1RCVC|258aVULN|3CDMG|4ERES|6DMG|7AART|9RCR
43	33111 55334	   	215.49	DCR|3VULN|2DMG|1ASPD|1CDMG	147VULN|2DUST|3ASPD|5CGEN|6RCR|89DMG|aCDMG
