0	Index      	 *	Score 	Summary	Detail	
1	31124 14143	 * 	225.49	DCR|3VULN|3DMG|3DUR|2SPLREG	18aDMG|238DUR|49BEXP|5aSPLREG|68aVULN|7RCR|8aBPWR
2	32245 26233	 * 	221.72	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC|1ZMB	13aDMG|2RPLT|4MDPS|5ZMB|6RCR|7AAC|8aVULN|9aASPD|aBPWR
3	32342 26233	   	221.72	DCR|3DMG|2VULN|1MDPS|2ASPD|1AAC|1ZMB	14aDMG|2RPLT|3ZMB|5MDPS|6RCR|7AAC|8aVULN|9aASPD|aBPWR
4	33343 11323	 * 	218.75	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	1DMG|2RCVC|34ASPD|5LIT|6AART|7RCR|89VULN|aMDPS
5	31124 14131	   	218.68	DCR|3VULN|3DMG|3DUR	189DMG|238DUR|4BEXP|5SPLREG|68aVULN|7RCR|8BPWR
6	31134 14131	   	218.68	DCR|3VULN|3DMG|3DUR	189DMG|238DUR|4LWND|5SPLREG|68aVULN|7RCR|8BPWR
7	31164 14131	   	218.68	DCR|3VULN|3DMG|3DUR	189DMG|238DUR|4LHND|5SPLREG|68aVULN|7RCR|8BPWR
8	32255 21413	 * 	213.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	13DMG|2RPLT|4LHND|5ZMB|6ASPD|7RCR|8aVULN|9AART
9	62324 14122	 * 	213.47	DCR|3ASPD|2VULN|1AART|2DUR	18DUR|238ASPD|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|9CGEN|aAART
10	35326 63112	 * 	212.91	DCR|3DMG|1AART|1VULN|1ASPD|1CDMG	16aDMG|2LWND|3VULN|4AART|56LIT|6BPWR|7CDMG|8RCR|9ASPD
11	33513 11323	 * 	212.39	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|89VULN|aMDPS
12	36221 21661	 * 	211.31	DCR|3VULN|3ASPD|1DMG|1DUR	1DMG|267VULN|3MLV|4LIT|56aASPD|6BPWR|8DUR|9RCR
13	31124 14132	   	211.18	DCR|3DMG|2VULN|3DUR|1ZMB	189DMG|238DUR|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|aZMB
14	31134 14132	   	211.18	DCR|3DMG|2VULN|3DUR|1ZMB	189DMG|238DUR|4LWND|5SPLREG|68VULN|7RCR|8BPWR|aZMB
