0	Index      	 *	Score 	Summary	Detail	
1	64313 23845	 * 	210.37	DCR|3VULN|1AART|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aDMG
2	64313 23848	 * 	204.53	DCR|3VULN|2ASPD|1AART|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6aASPD|7RCR|9AART
3	43632 14311	 * 	204.18	DCR|2VULN|1AART|2CDMG|1DMG|1AAC|2ZMB	1AAC|29CDMG|3RCVC|4DUST|59VULN|6AART|79ZMB|8RCR|9BPWR|aDMG
4	61223 72514	 * 	204.14	DCR|3VULN|2ASPD|1NUKE|1DUR|1SELL	1MBVNT|2SELL|39FEWX|4DUR|579VULN|6RCR|89ASPD|9BPWR|aNUKE
5	62323 83814	 * 	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2LWND|35VULN|4DMG|6TLV|7RCR|8AART|9CDMG|aASPD
6	63384 72141	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2LIT|3ERES|49VULN|5ASPD|6DMG|7RCR|8AART|aCDMG
7	63834 72141	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2LIT|3ASPD|4ERES|59VULN|6DMG|7RCR|8AART|aCDMG
8	43513 14311	 * 	200.87	DCR|2VULN|2AAC|1AART|2CDMG|1DMG|2ZMB	15AAC|29CDMG|3FEWX|49VULN|6AART|79ZMB|8RCR|9BPWR|aDMG
9	44332 14311	   	200.77	DCR|2VULN|2AAC|1AART|2CDMG|1DMG|2ZMB	12AAC|39CDMG|4DUST|59VULN|6AART|79ZMB|8RCR|9BPWR|aDMG
10	64482 42331	   	200.62	DCR|3VULN|1AART|1DMG|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|478VULN|5DUR|6RCR|9DMG|aAART
11	21313 26551	 * 	200.40	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	1LWND|2CDMG|3RPLT|45VULN|6ASPD|7RMIN|8RCR|9DMG|aNUKE
12	64434 72317	 * 	200.07	DCR|4VULN|2DMG|1RMIN	1MBVNT|2RMIN|3aLIT|4ERES|589aVULN|6aDMG|7RCR|aBPWR
13	64313 23847	 * 	199.67	DCR|3VULN|1MDPS|1AART|1ASPD|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aMDPS
14	24523 23181	 * 	199.62	DCR|3VULN|1ASPD|1DMG|1NUKE	1LWND|259VULN|3LEGI|4DMG|6ASPD|7RCR|8MBVNT|aNUKE
15	66413 23842	 * 	199.22	DCR|4VULN|1AART|1ASPD	1MBVNT|2AME|3BEXP|458aVULN|6ASPD|7RCR|9AART
16	66113 23842	   	199.12	DCR|4VULN|1AART|1ASPD	1MBVNT|2AME|3DUST|458aVULN|6ASPD|7RCR|9AART
17	67413 23842	   	199.12	DCR|4VULN|1AART|1ASPD	1MBVNT|2TLV|3BEXP|458aVULN|6ASPD|7RCR|9AART
18	64313 23435	   	199.06	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7RCR|8ZMB|9CDMG|aAART
19	67113 23842	   	199.02	DCR|4VULN|1AART|1ASPD	1MBVNT|2TLV|3DUST|458aVULN|6ASPD|7RCR|9AART
20	64334 41684	 * 	199.01	DCR|3VULN|2ASPD|1DMG|1RMIN	1MBVNT|2RMIN|37aBEXP|4DMG|59aVULN|6aASPD|8RCR|aBPWR
21	64334 41664	 * 	198.77	DCR|2VULN|2DMG|2ASPD|1RMIN	1MBVNT|2RMIN|37aBEXP|49DMG|5aVULN|6aASPD|8RCR|aBPWR
22	64434 36317	 * 	198.70	DCR|4VULN|2ASPD|1RMIN	1MBVNT|2RMIN|3aLIT|4ERES|589aVULN|6RCR|7aASPD|aBPWR
23	64313 23841	   	198.62	DCR|3VULN|1AART|1ASPD|1DUR|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aDUR
24	12536 23311	 * 	198.28	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|1DUR	1ERES|2RPLT|36ASPD|4VULN|5CDMG|7DMG|8RCR|9DUR|aNUKE
25	36152 14311	 * 	198.27	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	1DMSP|29CDMG|39FEWX|4aDMG|5VULN|6AART|79ZMB|8RCR|9BPWR
26	36352 14311	   	198.27	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	1DMSP|29CDMG|39BEXP|4aDMG|5VULN|6AART|79ZMB|8RCR|9BPWR
27	68213 72444	   	198.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1MBVNT|2DUR|3MLV|467VULN|5AART|8ZMB|9RCR|aASPD
28	21313 36244	 * 	197.72	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2CDMG|3RPLT|459VULN|6CGEN|7AART|8RCR|aDMG
29	11426 34131	 * 	197.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1ERES|2LIT|38ASPD|4VULN|5FEWX|6RCR|7AART|9DMG|aCDMG
30	66413 23844	   	197.59	DCR|3VULN|2ASPD|1AART	1MBVNT|2AME|3BEXP|458VULN|6aASPD|7RCR|9AART
31	66113 23844	   	197.49	DCR|3VULN|2ASPD|1AART	1MBVNT|2AME|3DUST|458VULN|6aASPD|7RCR|9AART
32	67413 23844	   	197.49	DCR|3VULN|2ASPD|1AART	1MBVNT|2TLV|3BEXP|458VULN|6aASPD|7RCR|9AART
33	62441 64252	 * 	197.45	DCR|3VULN|2AART|1ASPD	1MBVNT|2LWND|37AART|4ASPD|5MLV|69aVULN|8RCR
34	62442 74252	   	197.45	DCR|3VULN|2AART|1ASPD	1MBVNT|2LWND|37AART|4ASPD|5CGEN|69aVULN|8RCR
35	67113 23844	   	197.39	DCR|3VULN|2ASPD|1AART	1MBVNT|2TLV|3DUST|458VULN|6aASPD|7RCR|9AART
36	62444 64252	   	197.35	DCR|3VULN|2AART|1ASPD	1MBVNT|2LWND|37AART|4ASPD|5TLV|69aVULN|8RCR
37	64482 42335	   	196.90	DCR|3VULN|1DMG|1NUKE|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|478VULN|5DUR|6RCR|9DMG|aNUKE
38	64482 42181	   	196.80	DCR|3VULN|1AART|1CDMG|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|479VULN|5DUR|6RCR|8AART|aCDMG
39	63384 72313	 * 	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1MBVNT|2LIT|3ERES|489VULN|5ASPD|6DMG|7RCR|aCDMG
40	63834 72313	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1MBVNT|2LIT|3ASPD|4ERES|589VULN|6DMG|7RCR|aCDMG
41	12536 23315	 * 	195.80	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1ERES|2RPLT|36ASPD|4VULN|5CDMG|7aDMG|8RCR|9DUR
42	24423 23252	 * 	195.66	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1LWND|25VULN|3BEXP|49DMG|6ASPD|7RCR|8AAC|aCDMG
43	24523 23252	   	195.56	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1LWND|25VULN|3LEGI|49DMG|6ASPD|7RCR|8AAC|aCDMG
44	62441 64542	   	195.45	DCR|3VULN|2AART|1ASPD	1MBVNT|2LWND|37AART|4ASPD|5MLV|68aVULN|9RCR
45	62444 64542	   	195.35	DCR|3VULN|2AART|1ASPD	1MBVNT|2LWND|37AART|4ASPD|5TLV|68aVULN|9RCR
