0	Index      	 *	Score 	Summary	Detail	
1	63132 61326	 * 	221.32	DCR|3VULN|3DMG|2ASPD	189VULN|278ERES|34LHND|59ASPD|689DMG|89BPWR|aRCR
2	23531 21624	 * 	217.87	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB|1DUR	1LEGI|28CGEN|38ASPD|4ZMB|5DUR|6RCR|78DMG|8BPWR|9AART|aVULN
3	45122 26121	 * 	215.71	DCR|3ASPD|2VULN|1MDPS|1AART|2ZMB|2RCVC	13RCVC|2aZMB|4MDPS|58aASPD|6RCR|7aVULN|9AART|aBPWR
4	32533 25513	 * 	215.59	DCR|3VULN|1SPLARM|2ASPD|1ZMB	1LWND|2aASPD|3CGEN|4ZMB|5aBEXP|6RCR|7SPLARM|89aVULN|aBPWR
5	32316 23321	 * 	212.35	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1LWND|24ASPD|34BEXP|4BPWR|5ZMB|6RCR|79VULN|8DMG|aAART
6	41542 44121	   	212.34	DCR|3ASPD|2VULN|1AART|2ZMB	1RCVC|2MBVNT|3aZMB|4DUST|58aASPD|6RCR|7aVULN|9AART|aBPWR
7	32416 23321	   	212.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	14LWND|24ASPD|3LEGI|4BPWR|5ZMB|6RCR|79VULN|8DMG|aAART
8	32232 12442	 * 	211.95	DCR|3VULN|2ASPD|1AART|1DMG	19LWND|29ASPD|3BELT|4AART|5BEXP|6DMG|789VULN|9BPWR|aRCR
9	62233 11442	   	211.95	DCR|3VULN|2ASPD|1AART|1DMG	189VULN|29ASPD|3BELT|4AART|5LWND|6DMG|79BEXP|9BPWR|aRCR
10	62233 13442	   	211.75	DCR|3VULN|2ASPD|1AART|1DMG	189VULN|29ASPD|3BELT|4AART|5LWND|6DMG|79DUST|9BPWR|aRCR
11	32232 12342	 * 	211.71	DCR|2VULN|2DMG|2ASPD|1AART	19LWND|29ASPD|3BELT|4AART|5BEXP|68DMG|79VULN|9BPWR|aRCR
12	62232 14342	   	211.71	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|29ASPD|3BELT|4AART|5BEXP|68DMG|79LWND|9BPWR|aRCR
13	62233 11342	   	211.71	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|29ASPD|3BELT|4AART|5LWND|68DMG|79BEXP|9BPWR|aRCR
14	62212 14342	   	211.61	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|29ASPD|3BELT|4DUST|5AART|68DMG|79LWND|9BPWR|aRCR
15	62233 13342	   	211.51	DCR|2VULN|2DMG|2ASPD|1AART	19VULN|29ASPD|3BELT|4AART|5LWND|68DMG|79DUST|9BPWR|aRCR
16	15223 15353	 * 	211.07	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB|1SELL	1SELL|23ZMB|48DMG|59VULN|6RCR|7ASPD|aCDMG
