0	Index      	 *	Score 	Summary	Detail	
1	16134 42321	 * 	202.07	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	189LHND|2BELT|39DMG|4DUR|5ZMB|69VULN|7RCR|9BPWR|aAART
2	64211 31511	 * 	201.64	DCR|2VULN|2ASPD|1AART|2CDMG	136CGEN|29CDMG|47ASPD|56VULN|6BPWR|8RCR|aAART
3	62342 83713	 * 	201.37	DCR|2VULN|1MDPS|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47ASPD|5RPLT|67VULN|7BPWR|8RCR|9DMG|aMDPS
4	62372 13713	   	201.37	DCR|2VULN|1MDPS|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47VULN|5RPLT|67ASPD|7BPWR|8RCR|9DMG|aMDPS
5	62382 13713	   	201.37	DCR|2VULN|1MDPS|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|4RPLT|57VULN|67ASPD|7BPWR|8RCR|9DMG|aMDPS
6	11144 13253	 * 	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1LHND|27VULN|3BELT|4aDUR|5ASPD|6RCR|8AART|9DMG
7	31144 13253	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1LWND|27VULN|3BELT|4aDUR|5ASPD|6RCR|8AART|9DMG
8	62342 83711	 * 	200.38	DCR|3VULN|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47ASPD|5RPLT|67aVULN|7BPWR|8RCR|9DMG
9	62372 13711	   	200.38	DCR|3VULN|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47aVULN|5RPLT|67ASPD|7BPWR|8RCR|9DMG
10	62382 13711	   	200.38	DCR|3VULN|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|4RPLT|57aVULN|67ASPD|7BPWR|8RCR|9DMG
11	61111 36512	 * 	196.03	DCR|2VULN|2ASPD|1DMG|1CDMG|1SELL	1CGEN|27RCVC|3SELL|46ASPD|56VULN|6BPWR|8RCR|9CDMG|aDMG
12	11134 15253	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LHND|27VULN|3BELT|4LWND|5ASPD|6RCR|8AART|9DMG|aDUR
13	11144 13251	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LHND|27VULN|3BELT|4DUR|5ASPD|6RCR|8AART|9DMG|aFEWX
14	31144 13251	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|27VULN|3BELT|4DUR|5ASPD|6RCR|8AART|9DMG|aFEWX
15	41111 36512	 * 	195.93	DCR|2VULN|2ASPD|1DMG|1CDMG|1SELL	1ERES|27RCVC|3SELL|46ASPD|56VULN|6BPWR|8RCR|9CDMG|aDMG
16	11124 15253	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LHND|27VULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DMG|aDUR
17	11144 13252	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LHND|27VULN|3BELT|4DUR|5ASPD|6RCR|8AART|9DMG|aTLV
18	31124 15253	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|27VULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DMG|aDUR
19	31144 13252	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|27VULN|3BELT|4DUR|5ASPD|6RCR|8AART|9DMG|aTLV
20	64211 31531	   	195.81	DCR|2VULN|2ASPD|1AART|1CDMG	136CGEN|2CDMG|47ASPD|56VULN|6BPWR|8RCR|9RCVC|aAART
21	62342 83714	 * 	195.47	DCR|3ASPD|2VULN|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47aASPD|5RPLT|67VULN|7BPWR|8RCR|9DMG
