0	Index      	 *	Score 	Summary	Detail	
1	63411 33412	 * 	238.90	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	1RPLT|29VULN|3AART|4RMIN|5LHND|69DMG|79ASPD|8RCR|9BPWR|aCDMG
2	22361 62521	   	231.82	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|2DUR	1AART|2AME|35VULN|45DUR|5BPWR|6RCR|7aASPD|8CDMG|9DMG
3	16523 32353	 * 	225.05	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1DUR	13ASPD|2AELBLL|45VULN|6DUR|7DMG|8RCR|9AART|aMDPS
4	16533 12353	   	225.05	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1DUR	13ASPD|2AELBLL|4DUR|56VULN|7DMG|8RCR|9AART|aMDPS
5	22361 62522	 * 	225.03	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	1AART|2AME|35VULN|45DUR|5BPWR|6RCR|7ASPD|8aCDMG|9DMG
6	14363 12325	 * 	223.12	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|3MLV|47aVULN|58DMG|6RCR|9AART
7	14363 13125	   	223.12	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|3MLV|48aVULN|57DMG|6RCR|9AART
8	14532 12325	   	223.02	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|38DMG|4ERES|57aVULN|6RCR|9AART
9	14532 13125	   	223.02	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|37DMG|4ERES|58aVULN|6RCR|9AART
10	63411 33411	   	222.65	DCR|2VULN|2DMG|2ASPD|1AART	1aRPLT|29VULN|3AART|4RMIN|5LHND|69DMG|79ASPD|8RCR|9BPWR
11	63411 33413	   	222.55	DCR|2VULN|2DMG|2ASPD|1AART	1RPLT|29VULN|3AART|4RMIN|5LHND|69DMG|79ASPD|8RCR|9BPWR|aBASFIG
12	22311 61622	 * 	221.88	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2AME|357VULN|45LHND|5BPWR|6RCR|8ASPD|9DMG|aCDMG
13	22311 62524	   	221.88	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2AME|35aVULN|45LHND|5BPWR|6RCR|7ASPD|8CDMG|9DMG
14	22331 62524	   	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2AME|35aVULN|45DUST|5BPWR|6RCR|7ASPD|8CDMG|9DMG
15	14363 12125	 * 	221.38	DCR|4VULN|1AART|1ASPD|1DMG	1ASPD|2LIT|3MLV|478aVULN|5DMG|6RCR|9AART
16	14532 12125	   	221.28	DCR|4VULN|1AART|1ASPD|1DMG	1ASPD|2LIT|3DMG|4ERES|578aVULN|6RCR|9AART
17	14463 13331	 * 	220.94	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|2LIT|3CGEN|49VULN|578DMG|6RCR|aAART
18	63415 11112	   	220.51	DCR|2VULN|2ASPD|1AART|1DMG|2ZMB	1RPLT|29VULN|3AART|4RMIN|59ASPD|6LEGI|7RCR|89ZMB|9BPWR|aDMG
19	15633 12353	 * 	220.36	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1ASPD|2BEXP|346VULN|5AELBLL|7DMG|8RCR|9AART|aMDPS
20	63411 31116	 * 	219.99	DCR|2VULN|2AART|2DMG|2ZMB	1RPLT|29VULN|3aAART|4RMIN|5LHND|69DMG|7RCR|89ZMB|9BPWR
21	62231 23513	 * 	219.98	DCR|3VULN|2DMG|1MDPS|1AART	1RPLT|29DMG|3DUST|49FEWX|589VULN|6AART|7RCR|9BPWR|aMDPS
22	63411 31112	   	219.57	DCR|3DMG|2VULN|1AART|2ZMB	1RPLT|29VULN|3AART|4RMIN|5LHND|69aDMG|7RCR|89ZMB|9BPWR
23	22361 62622	   	218.78	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2AME|35VULN|45DUR|5BPWR|6RCR|7ASPD|8RCVC|9DMG|aCDMG
24	22311 62521	   	218.27	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|2AME|35VULN|45LHND|5BPWR|6RCR|7aASPD|8CDMG|9DMG
25	22331 62521	   	218.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|2AME|35VULN|45DUST|5BPWR|6RCR|7aASPD|8CDMG|9DMG
26	22361 62523	   	217.60	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2AME|35VULN|45DUR|5BPWR|6RCR|7ASPD|8CDMG|9DMG|aFEWX
27	11636 12353	   	217.38	DCR|4VULN|1AART|1ASPD|1DMG	1ASPD|2FEWX|3456VULN|7DMG|8RCR|9LIT|aAART
