0	Index      	 *	Score 	Summary	Detail	
1	51431 24323	 * 	218.29	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	19DMG|24DUST|39ASPD|5LHND|6DUR|7RCR|89VULN|9BPWR|aCDMG
2	52551 21122	 * 	215.49	DCR|3VULN|2DMG|1ASPD|1CDMG	13DMG|2CDMG|4ERES|5ASPD|6RCR|79aVULN|8RMIN
3	52551 23123	 * 	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	13DMG|2CDMG|4ERES|5ASPD|6RCR|7AART|8DUR|9VULN|aCGEN
4	52551 23121	   	209.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	13DMG|2CDMG|4ERES|5ASPD|6RCR|7AART|8DUR|9VULN|aDUST
5	52551 23122	   	209.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR|1MSE	13DMG|2CDMG|4ERES|5ASPD|6RCR|7AART|8DUR|9VULN|aMSE
6	24444 22124	 * 	208.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1aTSLFST|2MBVNT|3BEXP|4aASPD|5AART|6DMG|7RCR|8DUR|9aVULN|aBPWR
7	52522 22341	 * 	207.99	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	136DMG|2CDMG|4SPLREG|5AART|7DUR|8RCR|9VULN|aMLV
8	52522 22342	   	207.99	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	136DMG|2CDMG|4SPLREG|5AART|7DUR|8RCR|9VULN|aLHND
9	52522 22343	   	207.89	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	136DMG|2CDMG|4SPLREG|5AART|7DUR|8RCR|9VULN|aERES
10	52553 21122	   	205.76	DCR|3VULN|2DMG|1CDMG|1ZMB	13DMG|2CDMG|4ERES|5ZMB|6RCR|79aVULN|8RMIN
11	53532 12533	   	205.76	DCR|3VULN|2DMG|1CDMG|1ZMB	1aDMG|2ZMB|3LIT|478VULN|5CDMG|6RCR|9DUST
12	52531 16322	 * 	205.41	DCR|3DMG|2VULN|1ASPD|1CDMG	135DMG|2CDMG|4LWND|67VULN|8RPLT|9ASPD|aRCR
13	51431 24321	   	205.37	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	19DMG|24DUST|39ASPD|5LHND|6DUR|7RCR|89VULN|9BPWR|aAAC
14	12542 51222	   	205.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1ERES|2CDMG|35DMG|4DUST|6AART|7ASPD|8RCR|9VULN|aDUR
15	52522 22315	 * 	204.28	DCR|3DMG|1AART|1ASPD|1CDMG|1DUR	136DMG|2CDMG|4SPLREG|5AART|7DUR|8RCR|9RPLT|aASPD
16	33335 46221	 * 	203.87	DCR|3VULN|2AART|1CDMG|1ZMB	1TLV|2ZMB|3ERES|459VULN|6CDMG|7aAART|8RCR
17	53121 14323	   	203.09	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	19DMG|2ZMB|3RCVC|49DUR|5LHND|6BEXP|7RCR|89VULN|9BPWR|aCDMG
18	53121 34323	   	203.09	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	19DMG|2ZMB|3RCVC|49DUR|5LHND|6FEWX|7RCR|89VULN|9BPWR|aCDMG
19	51532 32622	 * 	202.62	DCR|3DMG|2VULN|1ASPD|1NUKE|1AAC|2ZMB	158DMG|2DUST|38VULN|4NUKE|6AAC|78ZMB|8BPWR|9ASPD|aRCR
20	51431 24322	   	202.04	DCR|2VULN|2DMG|2ASPD|1DUR	19DMG|24DUST|39ASPD|5LHND|6DUR|7RCR|89VULN|9BPWR|aRMIN
21	52522 22351	 * 	201.98	DCR|3DMG|1AART|2CDMG|1ZMB|1DUR	136DMG|2aCDMG|4SPLREG|5AART|7DUR|8RCR|9ZMB
22	51462 33323	   	201.73	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	15DMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9ZMB|aCDMG
23	51462 34223	   	201.73	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	15DMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9ZMB|aCDMG
24	51464 31323	   	201.73	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	17DMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9ZMB|aCDMG
25	51462 33324	 * 	201.14	DCR|3DMG|2ASPD|1VULN|1ZMB	15aDMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9ZMB
26	51462 34224	   	201.14	DCR|3DMG|2ASPD|1VULN|1ZMB	15aDMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9ZMB
27	51464 31324	   	201.14	DCR|3DMG|2ASPD|1VULN|1ZMB	17aDMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9ZMB
28	52551 23323	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	13DMG|2CDMG|4ERES|5ASPD|6RCR|7AART|8BEXP|9VULN|aCGEN
