0	Index      	 *	Score 	Summary	Detail	
1	22636 14324	 * 	298.50	DCR|DCR|2TLV|2DMG|1AEPOI	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9RAT|aAEPOI
2	22636 74344	 * 	296.91	DCR|DCR|2TLV|3DMG	1LIT|25aDMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9DUR
3	22636 14344	   	296.81	DCR|DCR|2TLV|3DMG	1LIT|25aDMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9DUR
4	22636 74343	   	294.91	DCR|DCR|2TLV|2DMG|1ASPD	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9DUR|aASPD
5	22636 14343	   	294.81	DCR|DCR|2TLV|2DMG|1ASPD	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9DUR|aASPD
6	22636 74314	 * 	291.56	DCR|DCR|2TLV|2DMG|1AEBURN	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9ERES|aAEBURN
7	22636 14384	 * 	291.46	DCR|DCR|2TLV|2DMG|1AEFBLL	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9MDPS|aAEFBLL
8	22636 14348	   	290.82	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9DUR|aNUKE
9	22636 74334	   	287.25	DCR|DCR|2TLV|3DMG	1LIT|25aDMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9FEWX
10	22636 14334	   	287.15	DCR|DCR|2TLV|3DMG	1LIT|25aDMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9FEWX
11	22636 14374	   	287.15	DCR|DCR|2TLV|3DMG	1LIT|25aDMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9LWND
12	22162 34367	 * 	285.52	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	19LIT|2DMG|3AEBURN|4MBVNT|5LWND|6TLV|78RCR|aVULN
13	22162 34387	   	285.52	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	1LIT|2DMG|3AEBURN|4MBVNT|5LWND|6TLV|78RCR|9BEXP|aVULN
14	22634 44367	   	285.52	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	19LIT|2DMG|3TLV|4MBVNT|5LHND|6AEBURN|78RCR|aVULN
15	22634 44387	   	285.52	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	1LIT|2DMG|3TLV|4MBVNT|5LHND|6AEBURN|78RCR|9BEXP|aVULN
16	22168 34313	   	285.52	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	1LIT|2DMG|3AEBURN|4MBVNT|5BEXP|68RCR|7CGEN|9VULN|aTLV
17	22164 34367	   	285.42	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	19LIT|2DMG|3AEBURN|4MBVNT|5LEGI|6TLV|78RCR|aVULN
18	22164 34387	   	285.42	DCR|DCR|1TLV|1VULN|1DMG|1AEBURN	1LIT|2DMG|3AEBURN|4MBVNT|5LEGI|6TLV|78RCR|9BEXP|aVULN
19	22636 14323	   	285.37	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9RAT|aZMB
20	22636 74333	   	285.24	DCR|DCR|2TLV|2DMG|1ASPD	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9FEWX|aASPD
21	22636 14333	   	285.14	DCR|DCR|2TLV|2DMG|1ASPD	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9FEWX|aASPD
22	22636 14373	   	285.14	DCR|DCR|2TLV|2DMG|1ASPD	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9LWND|aASPD
23	22636 14383	   	285.04	DCR|DCR|2TLV|2DMG|1ASPD	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9MDPS|aASPD
24	22636 14381	 * 	285.04	DCR|DCR|3TLV|2DMG	1LIT|25DMG|35aTLV|4MBVNT|5BPWR|6DUST|78RCR|9MDPS
25	51632 33523	 * 	283.04	DCR|DCR|1TLV|1VULN|2DMG	1RMIN|2LIT|3TLV|4MBVNT|5aDMG|69RCR|7VULN|8LWND
26	51632 34314	   	283.04	DCR|DCR|1TLV|1VULN|2DMG	1RMIN|2LIT|3TLV|4MBVNT|5aDMG|68RCR|7CGEN|9VULN
27	51632 44314	   	283.04	DCR|DCR|1TLV|1VULN|2DMG	1RMIN|2LIT|3TLV|4MBVNT|5aDMG|6CGEN|78RCR|9VULN
28	22632 14367	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	19LIT|25DMG|3TLV|4MBVNT|6DUST|78RCR|aVULN
29	22632 14357	   	282.84	DCR|DCR|1TLV|1VULN|2DMG	1LIT|25DMG|3TLV|4MBVNT|69DUST|78RCR|aVULN
30	22632 14386	   	282.84	DCR|DCR|1TLV|1VULN|2DMG	1LIT|25DMG|3TLV|4MBVNT|6DUST|78RCR|9MDPS|aVULN
31	22636 14382	   	282.40	DCR|DCR|2TLV|2DMG|1AART	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9MDPS|aAART
32	11466 13231	 * 	281.93	DCR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1LWND|2CGEN|3AEBURN|4ASPD|58aVULN|6DMG|7RCR|9TLV
33	22636 74341	   	281.25	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9DUR|aBEXP
34	22636 14338	   	281.15	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9FEWX|aNUKE
35	22636 14341	   	281.15	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9DUR|aBEXP
36	22636 14347	   	281.15	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9DUR|aCGEN
37	22636 14362	   	281.15	DCR|DCR|2TLV|2DMG	19LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|aDUR
38	22636 74342	   	281.15	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9DUR|aERES
39	22636 14312	   	281.05	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9ERES|aDUR
40	22636 14342	   	281.05	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9DUR|aERES
41	22636 14346	   	281.05	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6aDUST|78RCR|9DUR
42	22636 14352	   	281.05	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|69DUST|78RCR|aDUR
43	23311 14552	 * 	279.28	ACR|3VULN|1TLV|1DMG|2AEBURN|1AART	18LIT|2MDPS|38AEBURN|4AART|5RCR|678VULN|8BPWR|9DMG|aTLV
44	22612 42315	 * 	279.11	DCR|2VULN|1TLV|2DMG|1AEPOI|1AART	1LIT|27DMG|3TLV|4AART|56VULN|8AEPOI|9RCR|aZMB
45	51632 33524	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1RMIN|2LIT|3TLV|4MBVNT|5DMG|69RCR|7VULN|8LWND|aASPD
46	51632 34313	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1RMIN|2LIT|3TLV|4MBVNT|5DMG|68RCR|7CGEN|9VULN|aASPD
47	51632 44313	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1RMIN|2LIT|3TLV|4MBVNT|5DMG|6CGEN|78RCR|9VULN|aASPD
48	22636 74321	   	278.53	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9RAT|aRMIN
49	22636 74323	   	278.53	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9RAT|aLHND
50	22636 74324	   	278.53	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6LWND|78RCR|9RAT|aCGEN
51	22636 14321	   	278.43	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9RAT|aRMIN
52	22636 14325	   	278.43	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9RAT|aRPLT
53	22636 14326	   	278.43	DCR|DCR|2TLV|2DMG	1LIT|25DMG|35TLV|4MBVNT|5BPWR|6DUST|78RCR|9RAT|aFEWX
