0	Index      	 *	Score 	Summary	Detail	
1	33216 12364	 * 	305.05	DCR|DCR|2VULN|1TLV|2DUR|1AART	14DUR|2NUKE|34VULN|4BPWR|5LHND|68RCR|7RMIN|9AART|aTLV
2	32332 66221	   	302.02	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUR|2MDPS|3TLV|4AEPOI|5VULN|6RAT|7BASICY|8DMG|9aRCR
3	26211 12354	   	295.91	DCR|DCR|2VULN|1TLV|1AART	14DUST|2AAC|34VULN|4BPWR|5DUR|68RCR|7RMIN|9AART|aTLV
4	23211 12354	   	295.81	DCR|DCR|2VULN|1TLV|1AART	14DUST|2NUKE|34VULN|4BPWR|5DUR|68RCR|7RMIN|9AART|aTLV
5	33216 12325	   	294.05	DCR|DCR|2VULN|1TLV|2DUR	14DUR|2NUKE|34VULN|4BPWR|5LHND|68RCR|7RMIN|9FEWX|aTLV
6	33216 12334	   	293.95	DCR|DCR|2VULN|1TLV|2DUR	14DUR|2NUKE|34VULN|4BPWR|5LHND|68RCR|7RMIN|9MSLREG|aTLV
7	33216 12344	   	293.95	DCR|DCR|2VULN|1TLV|2DUR	14DUR|2NUKE|34VULN|4BPWR|5LHND|68RCR|7RMIN|9CANTOX|aTLV
8	31253 12365	 * 	292.70	DCR|DCR|1TLV|1VULN|2DMG	1DUR|2LHND|3DUST|45DMG|68RCR|7RMIN|9VULN|aTLV
9	22332 66221	   	292.26	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1DUST|2MDPS|3TLV|4AEPOI|5VULN|6RAT|7BASICY|8DMG|9aRCR
10	32332 24621	   	288.89	DCR|DCR|1TLV|1VULN|1AEPOI	1DUR|2MDPS|3TLV|4AEPOI|5VULN|6ZMB|7RAT|8CANSTR|9aRCR
11	31334 12365	   	288.77	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1DUR|2LHND|3ASPD|4DUST|5AEPOI|68RCR|7RMIN|9VULN|aTLV
12	26211 12325	   	284.91	DCR|DCR|2VULN|1TLV	14DUST|2AAC|34VULN|4BPWR|5DUR|68RCR|7RMIN|9LWND|aTLV
13	23211 12325	   	284.81	DCR|DCR|2VULN|1TLV	14DUST|2NUKE|34VULN|4BPWR|5DUR|68RCR|7RMIN|9FEWX|aTLV
14	23216 12355	   	284.81	DCR|DCR|2VULN|1TLV	14DUST|2NUKE|34VULN|4BPWR|5LHND|68RCR|7RMIN|9DUR|aTLV
15	26211 12343	   	284.81	DCR|DCR|2VULN|1TLV	14DUST|2AAC|34VULN|4BPWR|5DUR|68RCR|7RMIN|9CANTOX|aTLV
16	26211 15313	   	284.81	DCR|DCR|2VULN|1TLV	14DUST|2AAC|34VULN|4BPWR|5DUR|68RCR|7CGEN|9NUKE|aTLV
17	23211 12333	   	284.71	DCR|DCR|2VULN|1TLV	14DUST|2NUKE|34VULN|4BPWR|5DUR|68RCR|7RMIN|9MSLREG|aTLV
18	23211 12343	   	284.71	DCR|DCR|2VULN|1TLV	14DUST|2NUKE|34VULN|4BPWR|5DUR|68RCR|7RMIN|9CANTOX|aTLV
19	21153 12365	   	283.04	DCR|DCR|1TLV|1VULN|2DMG	1DUST|2LHND|3FEWX|45DMG|68RCR|7RMIN|9VULN|aTLV
20	46322 23121	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1CANARM|2TLV|3RAT|4LWND|5VULN|6DUR|7DMG|8LHND|9aRCR
21	46332 43321	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1CANARM|2TLV|3RAT|4DUR|5VULN|6LHND|7DMG|8FEWX|9aRCR
22	32312 66221	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2MDPS|3TLV|4DMSP|5VULN|6RAT|7BASICY|8DMG|9aRCR
23	46332 53121	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1CANARM|2TLV|3RAT|4DUR|5VULN|6DUST|7DMG|8LHND|9aRCR
24	46352 23121	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1CANARM|2TLV|3RAT|4DUST|5VULN|6DUR|7DMG|8LHND|9aRCR
25	22332 24621	   	279.13	DCR|DCR|1TLV|1VULN|1AEPOI	1DUST|2MDPS|3TLV|4AEPOI|5VULN|6ZMB|7RAT|8CANSTR|9aRCR
26	42532 21631	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CANARM|2AAC|3TLV|4ERES|5CDMG|6DMG|7AETHUN|8aRCR|9VULN
27	13224 12354	   	276.65	DCR|DCR|2VULN|1TLV|1MSE	1AME|2MSE|3aVULN|4TLV|5ZMB|68RCR|7RMIN|9DUR
28	33215 15336	 * 	275.88	DCR|DCR|3VULN|3DUR	149DUR|2NUKE|349VULN|49BPWR|5AETHUN|68RCR|79CGEN|aRAT
29	33253 15336	   	275.88	DCR|DCR|3VULN|3DUR	159DUR|2NUKE|359VULN|4AETHUN|59BPWR|68RCR|79CGEN|aRAT
30	26216 12325	   	275.25	DCR|DCR|2VULN|1TLV	14DUST|2AAC|34VULN|4BPWR|5LHND|68RCR|7RMIN|9LWND|aTLV
