0	Index      	 *	Score 	Summary	Detail	
1	21521 43431	 * 	302.41	ACR|4VULN|2TLV|1AEFBLL	1RAT|2789VULN|3aTLV|4LWND|5RCR|6AEFBLL
2	21321 65523	 * 	301.52	DCR|3VULN|2TLV|1DMG|1AEPOI	1RAT|267VULN|3FEWX|4LHND|56TLV|6BPWR|8DMG|9RCR|aAEPOI
3	21421 62142	   	300.16	DCR|3VULN|2TLV|1AEPOI|2DUR	1RAT|269VULN|38DUR|4LHND|56TLV|6BPWR|7AEPOI|aRCR
4	21121 43431	   	296.27	ACR|4VULN|1TLV|1AEFBLL|1DMG	1RAT|2789VULN|3DMG|4LWND|5RCR|6AEFBLL|aTLV
5	21421 62522	   	295.53	DCR|2TLV|2VULN|1DMG|1AEPOI|2DUR	1RAT|26VULN|3aDUR|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR
6	42411 22231	 * 	291.96	ACR|3VULN|2TLV|2DMG|1SELL	1SELL|2RCR|39aVULN|49TLV|5BEXP|68DMG|79AME|9BPWR
7	42414 21321	   	291.96	ACR|4VULN|2TLV|1SELL	1SELL|2RCR|367aVULN|47TLV|57MLV|7BPWR|8ZMB|9DUR
8	21431 62342	   	291.12	DCR|3VULN|2TLV|1AEPOI	1RAT|269VULN|3DUR|48BEXP|56TLV|6BPWR|7AEPOI|aRCR
9	21221 65522	   	291.02	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|3DUST|4LHND|56TLV|6BPWR|8DMG|9RCR|aDUR
10	21153 12562	 * 	290.62	DCR|2TLV|2VULN|2DMG|2RAT	18RAT|27VULN|38DMG|4CGEN|5AEFRZ|68TLV|8BPWR|9DUR|aRCR
11	21542 11236	   	290.38	DCR|2TLV|2VULN|1AEFBLL|1DMG|1CDMG	1RAT|24VULN|34TLV|4BPWR|5RCVC|6AEFBLL|7CDMG|8MGNSTR|9DMG|aRCR
12	25112 12562	 * 	289.21	DCR|3VULN|1TLV|2DMG|2RAT	18RAT|28DMG|3TLV|4MLV|5RCVC|678VULN|8BPWR|9DUR|aRCR
13	21521 53431	   	288.95	ACR|4VULN|2TLV|2RAT	16RAT|2789VULN|3aTLV|4LWND|5RCR
14	21143 32334	 * 	288.39	DCR|3VULN|1TLV|3DMG	1RAT|247VULN|349DMG|4BPWR|5BASHEA|6FEWX|8TLV|aRCR
15	33461 12152	   	288.27	ACR|3VULN|2TLV|1DMG|1ASPD	17CGEN|2AAC|3RCR|4DMG|57TLV|679VULN|7BPWR|8LWND|aASPD
16	33461 12252	   	288.27	ACR|3VULN|2TLV|1DMG|1ASPD	17CGEN|2AAC|3RCR|4DMG|57TLV|679VULN|7BPWR|8BEXP|aASPD
17	21521 43213	   	288.17	ACR|3VULN|2TLV|1AEFBLL|2RAT	19RAT|27aVULN|39TLV|4LWND|5RCR|6AEFBLL|89LIT|9BPWR
18	21541 12327	   	288.07	DCR|3VULN|2TLV|1AEPOI|2RAT	19RAT|249VULN|34TLV|49BPWR|5LEGI|6MBVNT|7AEPOI|89MLV|aRCR
19	63323 11212	   	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	1RCVC|2LIT|3AEBURN|456VULN|7aTLV|8RCR|9CDMG
20	25112 22542	   	288.07	DCR|3VULN|2TLV|1DMG|2RAT	18RAT|2DMG|38TLV|4MLV|5RCVC|6DUST|789VULN|8BPWR|aRCR
21	42414 21121	   	288.02	ACR|3VULN|2TLV|1DMG|1CDMG|1SELL	1SELL|2RCR|367VULN|47TLV|57MLV|7BPWR|8LHND|9CDMG|aDMG
22	21321 62526	   	287.83	DCR|2TLV|2VULN|1DMG|1AEPOI|1AART	1RAT|26VULN|3FEWX|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aAART
23	63323 11253	 * 	287.61	DCR|5VULN|1TLV|1AEBURN	1RCVC|2LIT|3AEBURN|4569aVULN|7TLV|8RCR
