0	Index      	 *	Score 	Summary	Detail	
1	12436 23215	 * 	240.20	紫2易伤1基础对甲2基地爆炸1攻速1伤害1暴击	1雷电24易伤34基地爆炸4序列升级5核6攻速7双倍矿8基础对甲9暴击a伤害
2	12436 23224	 * 	221.59	紫2易伤1基础对甲2攻速2基地爆炸	1雷电24易伤34基地爆炸4序列升级5核6a攻速7双倍矿8基础对甲9散射对甲
3	12436 26211	   	219.25	紫2易伤1基础对甲2基地爆炸1攻速1暴击	1雷电24易伤34基地爆炸4序列升级5核6攻速7立即金币8基础对甲9暴击a火球减费
4	12436 26213	   	219.11	紫2易伤1基础对甲2基地爆炸1攻速1暴击1卖塔	1雷电24易伤34基地爆炸4序列升级5核6攻速7立即金币8基础对甲9暴击a卖塔
5	12436 23216	   	217.75	紫2易伤1基础对甲2基地爆炸1攻速1暴击	1雷电24易伤34基地爆炸4序列升级5核6攻速7双倍矿8基础对甲9暴击a策反
6	12436 23211	   	217.65	紫2易伤1基础对甲2基地爆炸1攻速1暴击	1雷电24易伤34基地爆炸4序列升级5核6攻速7双倍矿8基础对甲9暴击a火球减费
7	12436 23214	   	217.65	紫2易伤1基础对甲2基地爆炸1攻速1暴击	1雷电24易伤34基地爆炸4序列升级5核6攻速7双倍矿8基础对甲9暴击a掉矿
8	12436 23213	   	217.50	紫2易伤1基础对甲2基地爆炸1攻速1暴击1卖塔	1雷电24易伤34基地爆炸4序列升级5核6攻速7双倍矿8基础对甲9暴击a卖塔
9	12436 26221	 * 	214.54	紫2易伤1基础对甲3基地爆炸1攻速	1a雷电24易伤34a基地爆炸4a序列升级5核6攻速7立即金币8基础对甲9a散射对甲
10	13136 26215	   	213.31	紫2易伤1基础对甲1攻速1伤害1暴击	1雷电24低血量敌人34易伤4序列升级5核6攻速7立即金币8基础对甲9暴击a伤害
11	12436 23221	   	212.94	紫2易伤1基础对甲3基地爆炸1攻速	1a雷电24易伤34a基地爆炸4a序列升级5核6攻速7双倍矿8基础对甲9a散射对甲
12	12416 23215	   	211.73	紫1基础对甲1易伤1攻速1伤害1基地爆炸1暴击	14雷电2易伤3基地爆炸5核6攻速7双倍矿8基础对甲9暴击a伤害
13	12636 23215	   	211.71	紫2易伤1基础对甲1攻速1伤害1暴击	1雷电24易伤34敌人爆炸4序列升级5核6攻速7双倍矿8基础对甲9暴击a伤害
14	13136 23215	   	211.71	紫2易伤1基础对甲1攻速1伤害1暴击	17雷电24低血量敌人34易伤4序列升级5核6攻速8基础对甲9暴击a伤害
15	13156 23215	   	211.61	紫2易伤1基础对甲1攻速1伤害1暴击	17雷电2低血量敌人34易伤5核6攻速8基础对甲9暴击a伤害
16	12236 23215	   	211.51	紫2易伤1基础对甲1攻速1伤害1暴击	1雷电24易伤34挖尘4序列升级5核6攻速7双倍矿8基础对甲9暴击a伤害
17	12256 23215	   	211.51	紫2易伤1基础对甲1攻速1伤害1暴击	1雷电24易伤3挖尘5核6攻速7双倍矿8基础对甲9暴击a伤害
