0	Index      	 *	Score 	Summary	Detail	
1	13442 31411	 * 	238.85	紫3攻速1基础对甲2伤害1基地爆炸	1技能点29伤害3矿等4核578攻速6基地爆炸a基础对甲
2	62633 31115	 * 	237.68	紫3易伤2伤害3全技能2基地爆炸	138全技能29伤害4最后敌人5核69基地爆炸79a易伤9序列升级
3	13442 31421	   	222.01	紫3攻速1基础对甲1伤害1基地爆炸	1技能点2伤害3矿等4核578攻速6基地爆炸9立即金币a基础对甲
4	62633 31112	   	221.28	紫2易伤2伤害3全技能2基地爆炸	138全技能29伤害4最后敌人5核69基地爆炸79易伤9序列升级a低血量敌人
5	62633 31114	   	221.28	紫2易伤2伤害3全技能2基地爆炸	138全技能29伤害4a最后敌人5核69基地爆炸79易伤9序列升级
6	62633 31116	   	221.28	紫2易伤2伤害3全技能2基地爆炸	138全技能29伤害4最后敌人5核69基地爆炸79易伤9序列升级a平台
7	62633 31111	   	221.18	紫2易伤2伤害3全技能2基地爆炸	138全技能29伤害4最后敌人5核69基地爆炸79易伤9序列升级a等级
8	62633 31113	   	221.18	紫2易伤2伤害3全技能2基地爆炸	138全技能29伤害4最后敌人5核69基地爆炸79易伤9序列升级a掉矿
9	62633 32325	 * 	221.13	紫1基础对甲2伤害2基地爆炸2全技能	13全技能28伤害4最后敌人5核68基地爆炸78掉矿8序列升级9立即金币a基础对甲
10	62613 12315	   	221.03	紫1基础对甲2伤害2基地爆炸2全技能	13全技能28伤害4挖尘5核68基地爆炸78掉矿8序列升级9立即金币a基础对甲
11	62233 32325	   	213.17	紫1基础对甲2伤害2基地爆炸1全技能	1全技能28伤害39立即金币4最后敌人5核68基地爆炸78掉矿8序列升级a基础对甲
12	62213 12315	   	213.07	紫1基础对甲2伤害2基地爆炸1全技能	1全技能28伤害39立即金币4挖尘5核68基地爆炸78掉矿8序列升级a基础对甲
13	53136 23253	 * 	210.77	紫3伤害2易伤2基地爆炸1全技能	1双倍秒伤2全技能39易伤4策反5核69a伤害79基地爆炸8立即金币9序列升级
14	62233 31126	   	210.76	紫2易伤2伤害2基地爆炸2全技能	18全技能2a伤害3立即金币4最后敌人5核6a基地爆炸7a易伤9双倍秒伤a序列升级
15	62133 32325	   	209.89	紫1基础对甲2伤害2基地爆炸1全技能	1全技能28伤害3最后敌人4双倍矿5核68基地爆炸78掉矿8序列升级9立即金币a基础对甲
16	62633 21115	   	208.99	紫3易伤2伤害3全技能	138全技能29伤害4最后敌人5核69挖尘79a易伤9序列升级
