0	Index      	 *	Score 	Summary	Detail	
1	33324 31425	 * 	282.89	紫2易伤1基础对甲2攻速3暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58a暴击68攻速7全技能8序列升级9基础对甲
2	33324 31422	   	274.85	紫2易伤1基础对甲2攻速2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a金币生成
3	33324 31423	   	274.85	紫2易伤1基础对甲2攻速2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a时间
4	33324 31426	   	274.85	紫2易伤1基础对甲2攻速2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a敌人爆炸
5	33324 31421	   	274.75	紫2易伤1基础对甲2攻速2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸58暴击68攻速7全技能8序列升级9基础对甲a挖尘
6	33263 43684	 * 	269.62	紫3易伤3攻速3基地爆炸1全技能	1核28a易伤3全技能4敌人爆炸5加一68a攻速78a基地爆炸8a序列升级9技能
7	33113 35462	 * 	269.09	紫3易伤3全技能2伤害2基地爆炸	1核27a易伤3防空对直升47伤害57基地爆炸689全技能7序列升级
8	33242 22623	 * 	264.43	紫4易伤2全技能2伤害2暴击	1核247a易伤35全技能6a暴击8双倍秒伤9a伤害a序列升级
9	33324 11425	 * 	264.39	紫2易伤1基础对甲2基地爆炸3暴击1全技能	1核28易伤3平台48基地爆炸58a暴击6技能7全技能8序列升级9基础对甲
10	33233 42524	 * 	263.20	紫2易伤1基础对甲2攻速1全技能1伤害	1核28易伤3全技能4低血量敌人5加一68攻速78策反8序列升级9基础对甲a伤害
11	33233 44524	   	263.20	紫2易伤1基础对甲2攻速1全技能1伤害	1核28易伤3全技能48低血量敌人5加一68攻速7随机矿8序列升级9基础对甲a伤害
12	33233 43624	 * 	263.00	紫2易伤1基础对甲2伤害1全技能1攻速	1核27易伤3全技能4低血量敌人5加一6攻速8a伤害9基础对甲
13	33263 45624	   	263.00	紫2易伤1基础对甲2伤害1全技能1攻速	1核27易伤3全技能4敌人爆炸5加一6攻速8a伤害9基础对甲
14	33113 35533	 * 	262.76	紫3伤害2易伤3基地爆炸1全技能1暴击	1核27易伤3防空对直升478伤害579基地爆炸6全技能7序列升级a暴击
15	33242 13225	 * 	262.05	紫3易伤1基础对甲2全技能1基地爆炸1暴击	1核246易伤35全技能7双倍秒伤8基地爆炸9基础对甲a暴击
16	33233 43626	   	259.07	紫2易伤1基础对甲1全技能1攻速1伤害1暴击	1核27易伤3全技能4低血量敌人5加一6攻速8伤害9基础对甲a暴击
17	33113 35535	 * 	258.11	紫3易伤3伤害3基地爆炸1全技能	1核27a易伤3防空对直升478伤害579基地爆炸6全技能7序列升级
18	33233 42526	   	256.79	紫2易伤1基础对甲2攻速1全技能1暴击	1核28易伤3全技能4低血量敌人5加一68攻速78策反8序列升级9基础对甲a暴击
19	33233 44526	   	256.79	紫2易伤1基础对甲2攻速1全技能1暴击	1核28易伤3全技能48低血量敌人5加一68攻速7随机矿8序列升级9基础对甲a暴击
20	33324 11422	   	256.35	紫2易伤1基础对甲2基地爆炸2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a金币生成
21	33324 11423	   	256.35	紫2易伤1基础对甲2基地爆炸2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a时间
22	33324 11426	   	256.35	紫2易伤1基础对甲2基地爆炸2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a敌人爆炸
23	33324 11421	   	256.25	紫2易伤1基础对甲2基地爆炸2暴击1全技能	1核28易伤3平台48基地爆炸58暴击6技能7全技能8序列升级9基础对甲a挖尘
24	33113 35155	 * 	255.90	紫2易伤2伤害2基地爆炸1攻速1全技能1暴击	1核27易伤3防空对直升47伤害57基地爆炸6全技能7序列升级8敌人爆炸9攻速a暴击
25	33324 31325	   	255.07	紫2易伤1基础对甲1攻速2暴击1全技能1基地爆炸	1核28易伤3平台4基地爆炸5a暴击6攻速7全技能9基础对甲
26	33113 35461	   	254.99	紫2易伤3全技能2伤害2基地爆炸	1核27易伤3防空对直升47伤害57基地爆炸689全技能7序列升级a核弹
27	33113 35463	   	254.99	紫2易伤3全技能2伤害2基地爆炸	1核27易伤3防空对直升47伤害57基地爆炸689全技能7序列升级a挖尘
28	33113 32322	   	253.97	紫1基础对甲2易伤1攻速1伤害1全技能1基地爆炸	1核29易伤3防空对直升4伤害5基地爆炸6全技能7双倍物品8攻速a基础对甲
29	33242 43225	   	253.55	紫2易伤1基础对甲2全技能1基地爆炸1暴击	1核24易伤35全技能6立即金币7双倍秒伤8基地爆炸9基础对甲a暴击
30	33242 21123	   	253.22	紫3易伤2全技能2伤害2暴击	1核24a易伤35全技能6a暴击7时间8敌人爆炸9a伤害a序列升级
31	33242 25123	   	253.22	紫3易伤2全技能2伤害2暴击	1核24a易伤35全技能6a暴击7低血量敌人8敌人爆炸9a伤害a序列升级
32	33113 26162	 * 	253.21	紫1基础对甲2伤害1易伤2基地爆炸1攻速	1核2易伤3防空对直升47伤害58基地爆炸6攻速9雷电a基础对甲
33	33113 35436	   	253.19	紫2易伤2伤害2全技能2基地爆炸1暴击	1核27易伤3防空对直升47伤害57基地爆炸68全技能7序列升级9火球减费a暴击
