0	Index      	 *	Score 	Summary	Detail	
1	25211 25162	 * 	208.87	DCR|3VULN|2AART|2DMG|1CDMG	19AART|2aDMG|357VULN|4ERES|6RCR|8CDMG
2	25211 25122	 * 	203.73	DCR|3VULN|2DMG|1AART|2CDMG	1AART|2aDMG|357VULN|4ERES|6RCR|89CDMG
3	25242 31116	 * 	201.82	DCR|4VULN|2AART|2DMG	14AART|29DMG|3569VULN|7RMIN|8RCVC|9BPWR|aRCR
4	25242 36131	 * 	200.64	DCR|4VULN|3AART|1DMG|1DUR	148AART|2DMG|356aVULN|7RCR|9DUR
5	26123 16341	 * 	200.03	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	1AART|27CGEN|3FEWX|4RCR|57VULN|67aDMG|7BPWR|8DUR|9ZMB
6	26323 16341	   	200.03	ACR|3DMG|2VULN|1AART|1ZMB|1DUR	1AART|27CGEN|3LWND|4RCR|57VULN|67aDMG|7BPWR|8DUR|9ZMB
7	25243 25122	 * 	199.62	DCR|2AART|2VULN|2DMG|2CDMG	14AART|2aDMG|37VULN|5CGEN|6RCR|89CDMG
8	25424 17223	   	199.62	DCR|2AART|2VULN|2DMG|2CDMG	15AART|2aDMG|3MBVNT|4RMIN|6RCR|7DUST|8aVULN|9aCDMG|aBPWR
9	25211 25523	   	198.07	DCR|4VULN|2DMG|1AART	1AART|2aDMG|357aVULN|4ERES|6RCR|8CGEN|9aFEWX|aBPWR
10	25222 13316	 * 	197.74	ACR|3VULN|3DMG|1AART	1AART|26aDMG|37aVULN|4RCR|5LHND|8MLV|9aCGEN|aBPWR
11	25223 13623	   	197.74	ACR|3VULN|3DMG|1AART	1AART|28aDMG|37aVULN|4RCR|58TLV|68CGEN|8aBPWR|9aFEWX
12	25224 13316	   	197.74	ACR|3VULN|3DMG|1AART	1AART|26aDMG|37aVULN|4RCR|5BEXP|8MLV|9aCGEN|aBPWR
13	25222 16216	   	197.64	ACR|3VULN|3DMG|1AART	1AART|26aDMG|38aVULN|4RCR|5LHND|7TLV|9aCGEN|aBPWR
14	25223 13146	   	197.64	ACR|3VULN|3DMG|1AART	1AART|29aDMG|37aVULN|4RCR|5TLV|6CGEN|8aBEXP|aBPWR
15	25221 13316	   	197.54	ACR|3VULN|3DMG|1AART	1AART|26aDMG|37aVULN|4RCR|5DUST|8TLV|9aCGEN|aBPWR
16	25221 16216	   	197.54	ACR|3VULN|3DMG|1AART	1AART|26aDMG|38aVULN|4RCR|5DUST|7TLV|9aCGEN|aBPWR
17	25222 13356	   	197.54	ACR|3VULN|3DMG|1AART	1AART|26aDMG|37aVULN|4RCR|5LHND|8MLV|9aTLV|aBPWR
18	25223 13616	   	197.54	ACR|3VULN|3DMG|1AART	1AART|28aDMG|37aVULN|4RCR|58TLV|68CGEN|8aBPWR|9aDUST
19	25223 13246	   	197.44	ACR|3VULN|3DMG|1AART	1AART|29aDMG|37aVULN|4RCR|5TLV|6CGEN|8aDUST|aBPWR
20	21542 11232	   	196.62	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2RCVC|39CDMG|49VULN|5LIT|6DUR|7RCR|89DMG|9BPWR|aLWND
21	21542 11236	   	196.62	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2RCVC|39CDMG|49VULN|5LIT|6DUR|7RCR|89DMG|9BPWR|aLHND
