0	Index      	 *	Score 	Summary	Detail	
1	12216 14136	 * 	206.46	DCR|3DMG|2VULN|3ZMB|1AART	15aDMG|27aZMB|3AART|4LHND|6BEXP|8RCR|9aVULN|aBPWR
2	13152 32345	 * 	197.64	ACR|3DMG|2VULN|1AART|3DUR	19aDMG|2DLOT|3RCR|4aVULN|579FEWX|6AART|89aDUR|9aBPWR
3	13152 32245	 * 	197.04	ACR|3VULN|3DMG|1AART	19aDMG|2DLOT|3RCR|49aVULN|579FEWX|6AART|8LEGI|9aBPWR
4	13152 31633	 * 	196.24	ACR|3DMG|2VULN|1AART|2ZMB	17aDMG|2DLOT|3RCR|4aVULN|5FEWX|6AART|8LIT|9aZMB|aBPWR
5	13151 31633	   	196.14	ACR|3DMG|2VULN|1AART|2ZMB	17aDMG|2DLOT|3RCR|4aVULN|5DUST|6AART|8LIT|9aZMB|aBPWR
6	13152 31245	   	194.94	ACR|3DMG|2VULN|1AART|1CDMG	179DMG|2DLOT|3RCR|49VULN|59FEWX|6AART|8LEGI|9BPWR|aCDMG
7	13151 31245	   	194.74	ACR|3DMG|2VULN|1AART|1CDMG	179DMG|2DLOT|3RCR|49VULN|59DUST|6AART|8LEGI|9BPWR|aCDMG
8	11145 22226	   	193.30	ACR|3VULN|3DMG|1AART|1SELL	13aDMG|2RPLT|3aBPWR|4AART|5RCR|68aVULN|7aLHND|9SELL
9	12216 16136	   	192.92	DCR|3DMG|2VULN|1AART|2ZMB	15aDMG|2aZMB|3AART|4LHND|6BEXP|7DMSP|8RCR|9aVULN|aBPWR
10	13152 32515	 * 	192.83	ACR|3DMG|2VULN|2AART	189DMG|2DLOT|3RCR|49VULN|579FEWX|6aAART|9BPWR
11	12216 43136	   	192.82	DCR|3DMG|2VULN|1AART|2ZMB	15aDMG|2aZMB|3AART|46LHND|7DUST|8RCR|9aVULN|aBPWR
12	12133 33163	   	191.32	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1aDMG|2ZMB|3DLOT|4aLIT|5RCR|6CDMG|7DUR|8AART|9aVULN|aBPWR
13	12133 61135	 * 	190.84	ACR|3VULN|2DMG|1AART|2ZMB	19DMG|26ZMB|3DLOT|49LIT|5RCR|7AART|89aVULN|9BPWR
14	12213 44136	   	190.80	DCR|2VULN|2DMG|3ZMB|1AART	1aDMG|27aZMB|3AART|4LHND|56BEXP|8RCR|9aVULN|aBPWR
15	13152 31345	   	189.68	ACR|3DMG|1AART|1VULN|1CDMG|2DUR	179DMG|2DLOT|3RCR|4VULN|59FEWX|6AART|89DUR|9BPWR|aCDMG
16	13151 31345	   	189.48	ACR|3DMG|1AART|1VULN|1CDMG|2DUR	179DMG|2DLOT|3RCR|4VULN|59DUST|6AART|89DUR|9BPWR|aCDMG
17	12251 64133	   	189.30	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	19DMG|27ZMB|3AART|45DUR|6aVULN|8RCR
18	63162 25213	 * 	188.86	DCR|3VULN|3DMG|1ZMB|1DUR	157VULN|2DUST|3FEWX|458DMG|5BPWR|6RCR|9DUR|aZMB
19	12133 31223	   	188.14	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1aDMG|2aZMB|3DLOT|4LIT|5RCR|6CDMG|7aVULN|8AART|9LEGI|aBPWR
20	13351 14253	   	187.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2DLOT|3BEXP|47VULN|57DUST|6RCR|7BPWR|8CDMG|9ZMB|aAART
21	11142 51261	   	187.30	DCR|3DMG|2VULN|1AART|2DUR	135DMG|2RPLT|35aBPWR|4AART|6aLWND|7aVULN|8aDUR|9RCR
22	12133 61136	 * 	186.64	ACR|2VULN|2DMG|2AART|2ZMB	19DMG|26ZMB|3DLOT|49LIT|5RCR|7aAART|89VULN|9BPWR
23	12131 61143	   	185.90	DCR|2VULN|2DMG|3ZMB|1AART	1aDMG|26aZMB|3DLOT|4LIT|5LWND|7AART|8aVULN|9RCR|aBPWR
24	13151 32432	 * 	185.60	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2DLOT|3RCR|4aVULN|5DUST|6AART|7FEWX|8RPLT|9aCDMG|aBPWR
25	13151 34232	   	185.60	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2DLOT|3RCR|4aVULN|5DUST|6AART|7RPLT|8FEWX|9aCDMG|aBPWR
26	12251 66133	   	185.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19DMG|2ZMB|3AART|45DUR|6aVULN|7DMSP|8RCR
27	63162 23224	 * 	185.41	DCR|3VULN|2DMG|1AART|1DUR	158VULN|2DUST|3FEWX|45DMG|5BPWR|6RCR|7DUR|9LIT|aAART
28	16212 35241	 * 	185.02	DCR|4VULN|3DMG	158DMG|2LHND|3FEWX|4579VULN|5BPWR|6RCR|aVENICY
29	16212 35242	   	185.02	DCR|4VULN|3DMG	158DMG|2LHND|3FEWX|4579VULN|5BPWR|6RCR|aERES
30	63162 25231	   	184.92	DCR|4VULN|3DMG	1579VULN|2DUST|3FEWX|458DMG|5BPWR|6RCR|aVENICY
31	63162 25232	   	184.92	DCR|4VULN|3DMG	1579VULN|2DUST|3FEWX|458DMG|5BPWR|6RCR|aERES
32	16212 35243	   	184.88	DCR|4VULN|3DMG|1SELL	158DMG|2LHND|3FEWX|4579VULN|5BPWR|6RCR|aSELL
33	63162 25233	   	184.78	DCR|4VULN|3DMG|1SELL	1579VULN|2DUST|3FEWX|458DMG|5BPWR|6RCR|aSELL
34	12133 34263	   	184.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aDMG|2ZMB|3DLOT|4aLIT|5RCR|6CDMG|7LHND|8AART|9aVULN|aBPWR
35	12133 35263	   	184.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aDMG|2ZMB|3DLOT|4aLIT|5RCR|6CDMG|7LWND|8AART|9aVULN|aBPWR
36	11154 36123	 * 	183.47	DCR|3VULN|3DMG|2ZMB	13aDMG|2RPLT|3aBPWR|4MLV|59aVULN|6MBVNT|7RCR|8aZMB
37	66262 33221	   	183.34	DCR|4VULN|2DMG|1DUR|1ASPD	158aVULN|2LWND|3DUR|45DMG|5BPWR|6RCR|7FEWX|9ASPD
38	66262 32132	   	183.15	DCR|3VULN|3DMG|2DUR	159VULN|2LWND|3aDUR|458DMG|5BPWR|6RCR|7ERES
39	63262 25222	   	183.05	DCR|3VULN|3DMG|2DUR	157VULN|2DUST|3aDUR|458DMG|5BPWR|6RCR|9TLV
40	63262 25232	   	183.05	DCR|3VULN|3DMG|2DUR	157VULN|2DUST|3aDUR|458DMG|5BPWR|6RCR|9ERES
41	13152 23434	   	182.24	ACR|3VULN|3DMG|1ZMB	19aDMG|2DLOT|3RCR|478VULN|5FEWX|6ZMB
42	13151 23234	   	182.14	ACR|3VULN|3DMG|1ZMB	19aDMG|2DLOT|3RCR|478VULN|5DUST|6ZMB
43	16212 35253	   	181.92	DCR|3VULN|3DMG|1ZMB	158DMG|2LHND|3FEWX|457VULN|5BPWR|6RCR|9DUST|aZMB
44	11644 32113	 * 	181.67	ACR|3DMG|2VULN|3ZMB	19aDMG|2RPLT|35VULN|4RCR|6MBVNT|79aTLV|89aZMB|9aBPWR
45	13152 33245	   	181.59	ACR|3DMG|2VULN|1AART	19aDMG|2DLOT|3RCR|4aVULN|589FEWX|6AART|79aBEXP|9aBPWR
46	13152 32512	   	181.39	ACR|3DMG|2VULN|1AART	189DMG|2DLOT|3RCR|49VULN|579FEWX|6AART|9BPWR|aLIT
47	13152 32513	   	181.39	ACR|3DMG|2VULN|1AART	189DMG|2DLOT|3RCR|49VULN|579FEWX|6AART|9BPWR|aBELT
48	13152 32514	   	181.39	ACR|3DMG|2VULN|1AART	189DMG|2DLOT|3RCR|49VULN|579FEWX|6AART|9BPWR|aMLV
