0	Index      	 *	Score 	Summary	Detail	
1	12122 36314	 * 	179.27	ACR|3VULN|3DMG|2DUR	19aBEXP|246LWND|34DUR|49aBPWR|5RCR|79aDMG|89aVULN
2	33231 55262	 * 	178.82	DCR|3DMG|1VULN|2ZMB|1CDMG|2DUR	17aFEWX|2CDMG|3BELT|47aDMG|57DUR|6RCR|7aBPWR|8VULN|9aZMB
3	12152 36314	   	173.88	ACR|3VULN|3DMG|1DUR	19aBEXP|246LWND|3DUR|5RCR|79aDMG|89aVULN|9aBPWR
4	32152 36314	   	173.88	ACR|3VULN|3DMG|1DUR	19aFEWX|246LWND|3DUR|5RCR|79aDMG|89aVULN|9aBPWR
5	33231 54262	   	173.32	DCR|3DMG|1VULN|2ZMB|1CDMG|1DUR	1aFEWX|2CDMG|3BELT|47aDMG|5DUR|6RCR|8VULN|9aZMB|aBPWR
6	33231 55225	 * 	171.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	17FEWX|2CDMG|3BELT|47DMG|57DUR|6RCR|7BPWR|8VULN|9DUST|aAART
7	13231 55341	   	169.79	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	17BEXP|2CDMG|3BELT|47DMG|57DUR|6RCR|7BPWR|8ZMB|9AART|aASPD
8	33231 55341	   	169.79	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	17FEWX|2CDMG|3BELT|47DMG|57DUR|6RCR|7BPWR|8ZMB|9AART|aASPD
9	61313 35131	 * 	169.64	DCR|5VULN|1DMG|2DUR	1RPLT|25DUR|3458aVULN|5BPWR|6ERES|7DMG|9RCR
10	53342 26112	 * 	169.59	ACR|4VULN|1AART|2ZMB	1AIRHEA|2BELT|36ZMB|4RCR|5689VULN|6BPWR|7AART|aLHND
11	53342 26113	   	169.59	ACR|4VULN|1AART|2ZMB	1AIRHEA|2BELT|36ZMB|4RCR|5689VULN|6BPWR|7AART|aCGEN
12	53342 26111	   	169.49	ACR|4VULN|1AART|2ZMB	1AIRHEA|2BELT|36ZMB|4RCR|5689VULN|6BPWR|7AART|aDLOT
13	13231 55335	   	169.19	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	17BEXP|2CDMG|3BELT|47DMG|57DUR|6RCR|7BPWR|8ZMB|9ASPD|aAART
14	33231 55335	   	169.19	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	17FEWX|2CDMG|3BELT|47DMG|57DUR|6RCR|7BPWR|8ZMB|9ASPD|aAART
15	13221 24632	 * 	168.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1aBEXP|2CDMG|3BELT|48aVULN|5ASPD|6LHND|7aDMG|9RCR|aBPWR
16	13235 42632	   	168.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1aBEXP|2CDMG|3BELT|4aDMG|5ASPD|6LHND|78aVULN|9RCR|aBPWR
17	33221 24632	   	168.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1aFEWX|2CDMG|3BELT|48aVULN|5ASPD|6LHND|7aDMG|9RCR|aBPWR
18	33235 42632	   	168.85	DCR|3VULN|2DMG|1CDMG|1ASPD	1aFEWX|2CDMG|3BELT|4aDMG|5ASPD|6LHND|78aVULN|9RCR|aBPWR
19	53342 22232	 * 	167.22	ACR|3VULN|3ZMB|1AART	1AIRHEA|27BELT|368ZMB|4RCR|569VULN|6BPWR|aAART
20	53342 23232	   	167.22	ACR|3VULN|3ZMB|1AART	1AIRHEA|2BELT|368ZMB|4RCR|569VULN|6BPWR|7DMSP|aAART
21	53342 26231	 * 	167.02	ACR|2VULN|3ZMB|1AART|1CDMG	1AIRHEA|2aBELT|368ZMB|4RCR|56VULN|6BPWR|7AART|9CDMG
22	53342 26233	   	166.92	ACR|2VULN|3ZMB|1AART|1CDMG	1AIRHEA|2BELT|368ZMB|4RCR|56VULN|6BPWR|7AART|9CDMG|aERES
