0	Index      	 *	Score 	Summary	Detail	
1	64253 31133	 * 	219.47	DCR|3VULN|3DMG|1AART|1CDMG|1ZMB	125VULN|345DMG|5BPWR|6RCR|7BEXP|8CDMG|9AART|aZMB
2	64253 32331	 * 	216.71	DCR|4VULN|3DMG|1CDMG|1ZMB	1257VULN|345DMG|5BPWR|6RCR|8DUR|9CDMG|aZMB
3	64253 32311	 * 	215.26	DCR|4VULN|3DMG|1AART	1257VULN|345DMG|5BPWR|6RCR|8DUR|9DMSP|aAART
4	64253 11331	   	211.91	DCR|4VULN|3DMG|1CDMG|1ZMB	1256VULN|345DMG|5BPWR|7DUR|8RCR|9CDMG|aZMB
5	24331 22533	 * 	210.59	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	19BEXP|278VULN|3RCR|49ZMB|5AART|69DMG|9BPWR|aCDMG
6	64253 11311	   	210.46	DCR|4VULN|3DMG|1AART	1256VULN|345DMG|5BPWR|7DUR|8RCR|9DMSP|aAART
7	64253 32313	 * 	210.28	DCR|5VULN|3DMG|2DUR	1257aVULN|345DMG|5aBPWR|6RCR|8aDUR|9DMSP
8	24341 12533	 * 	209.84	ACR|4VULN|2DMG|1AART|1CDMG	19BEXP|2789VULN|3RCR|49DMG|5AART|6RMIN|9BPWR|aCDMG
9	64253 32111	   	209.77	DCR|4VULN|3DMG|1CDMG|1ZMB	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9BEXP|aZMB
10	64253 32231	   	209.67	DCR|4VULN|3DMG|1CDMG|1ZMB	1257VULN|345DMG|5BPWR|6RCR|8DUST|9CDMG|aZMB
11	64253 11131	   	209.51	DCR|4VULN|3DMG|1CDMG|1ZMB	1256VULN|345DMG|5BPWR|7DUR|8CDMG|9RCR|aZMB
12	64253 33113	   	208.82	DCR|4VULN|3DMG|1AART	125aVULN|345DMG|5BPWR|6RCR|7MLV|8ERES|9AART
13	64253 31131	   	208.47	DCR|3VULN|3DMG|1AART|1CDMG	125VULN|345DMG|5BPWR|6RCR|7BEXP|8CDMG|9AART|aLIT
14	64253 31132	   	208.37	DCR|3VULN|3DMG|1AART|1CDMG	125VULN|345DMG|5BPWR|6RCR|7BEXP|8CDMG|9AART|aERES
15	64253 32211	   	208.22	DCR|4VULN|3DMG|1AART	1257VULN|345DMG|5BPWR|6RCR|8DUST|9DMSP|aAART
16	64253 32333	   	205.71	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8DUR|9CDMG|aLWND
17	64253 32332	   	205.61	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8DUR|9CDMG|aLEGI
18	64253 11313	   	205.48	DCR|5VULN|3DMG|2DUR	1256aVULN|345DMG|5aBPWR|7aDUR|8RCR|9DMSP
19	24331 22534	   	203.88	ACR|3VULN|2DMG|1AART|2ZMB	19BEXP|278VULN|3RCR|49ZMB|5AART|69DMG|9BPWR|aASPD
20	64253 33111	   	201.66	DCR|3VULN|3DMG|1AART	125VULN|345DMG|5BPWR|6RCR|7MLV|8ERES|9AART|aDUR
21	64253 31221	   	201.06	DCR|3VULN|3DMG|1AART	125VULN|345DMG|5BPWR|6RCR|7BEXP|8CANHEL|9DUR|aAART
22	64253 11333	   	200.91	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7DUR|8RCR|9CDMG|aLWND
23	64253 11332	   	200.81	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7DUR|8RCR|9CDMG|aLEGI
24	24331 22513	 * 	200.40	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	1BEXP|278VULN|3RCR|4ZMB|59AART|6DMG|aCDMG
25	34331 22513	   	200.30	ACR|3VULN|2AART|1DMG|1CDMG|1ZMB	1DUST|278VULN|3RCR|4ZMB|59AART|6DMG|aCDMG
26	24221 15623	   	199.41	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|28aVULN|39DMG|4DUR|5AART|6RCR|7ZMB
27	34221 15623	   	199.31	DCR|3VULN|2DMG|1AART|1ZMB	1DUST|28aVULN|39DMG|4DUR|5AART|6RCR|7ZMB
28	64253 32113	   	198.77	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9BEXP|aLWND
29	64253 32121	   	198.77	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9CGEN|aBEXP
30	64253 32123	   	198.77	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9CGEN|aFEWX
31	64253 32131	   	198.77	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9RMIN|aBEXP
32	64253 32133	   	198.77	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9RMIN|aFEWX
33	64253 32112	   	198.67	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9BEXP|aLEGI
34	64253 32122	   	198.67	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9CGEN|aNUKE
35	64253 32132	   	198.67	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8CDMG|9RMIN|aNUKE
36	64253 32233	   	198.67	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8DUST|9CDMG|aLWND
37	64253 32232	   	198.57	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6RCR|8DUST|9CDMG|aLEGI
38	64253 11133	   	198.51	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7DUR|8CDMG|9RCR|aLWND
39	64253 11132	   	198.41	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7DUR|8CDMG|9RCR|aLEGI
40	24341 22513	 * 	198.27	ACR|2VULN|2AART|2DMG|1CDMG	1BEXP|28VULN|3RCR|46DMG|59AART|7ASPD|aCDMG
41	34341 22513	   	198.17	ACR|2VULN|2AART|2DMG|1CDMG	1DUST|28VULN|3RCR|46DMG|59AART|7ASPD|aCDMG
42	64253 21131	   	198.01	DCR|4VULN|3DMG|1CDMG	1257VULN|345DMG|5BPWR|6ASPD|8RCVC|9CDMG|aRCR
43	64253 32213	   	197.85	DCR|5VULN|3DMG	1257aVULN|345DMG|5aBPWR|6RCR|8aDUST|9DMSP
44	64253 22331	   	197.71	DCR|3VULN|3DMG|1CDMG|1ZMB	125VULN|345DMG|5BPWR|6ASPD|7TLV|8RCR|9CDMG|aZMB
45	24331 21533	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	179BEXP|28aVULN|3RCR|49ZMB|5AART|69DMG|9BPWR
46	24331 22531	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	19BEXP|278VULN|3RCR|49ZMB|5AART|69DMG|9BPWR|aCGEN
47	24331 22535	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	19aBEXP|278VULN|3RCR|49ZMB|5AART|69DMG|9BPWR
48	24331 22536	   	196.94	ACR|3VULN|2DMG|1AART|2ZMB	19BEXP|278VULN|3RCR|49ZMB|5AART|69DMG|9BPWR|aLIT
49	24341 11533	   	196.19	ACR|4VULN|2DMG|1AART	179BEXP|289aVULN|3RCR|49DMG|5AART|6RMIN|9BPWR
50	24341 12531	   	196.19	ACR|4VULN|2DMG|1AART	19BEXP|2789VULN|3RCR|49DMG|5AART|6RMIN|9BPWR|aCGEN
51	24341 22531	 * 	195.64	ACR|3DMG|2VULN|1AART|2ASPD	19BEXP|28VULN|3RCR|469DMG|5AART|79ASPD|9BPWR|aCGEN
52	24341 22532	   	195.64	ACR|3DMG|2VULN|1AART|2ASPD	19aBEXP|28VULN|3RCR|469DMG|5AART|79ASPD|9BPWR
53	24341 22533	   	195.64	ACR|3DMG|2VULN|1AART|2ASPD	19BEXP|28VULN|3RCR|469DMG|5AART|79ASPD|9BPWR|aLIT
54	64253 33131	   	195.57	DCR|3VULN|3DMG|1CDMG|1ZMB	125VULN|345DMG|5BPWR|6RCR|7MLV|8ERES|9CDMG|aZMB
55	24345 12313	   	195.49	ACR|4VULN|2DMG|1AART	1BEXP|256aVULN|3RCR|47DMG|8RCVC|9AART
56	64253 22131	   	195.31	DCR|3VULN|3DMG|1CDMG|1ZMB	125VULN|345DMG|5BPWR|6ASPD|7TLV|8CDMG|9RCR|aZMB
57	24221 15621	 * 	195.20	DCR|2VULN|2AART|2DMG|1ZMB	1BEXP|28VULN|39DMG|4DUR|5aAART|6RCR|7ZMB
58	34221 15621	   	195.10	DCR|2VULN|2AART|2DMG|1ZMB	1DUST|28VULN|39DMG|4DUR|5aAART|6RCR|7ZMB
59	24331 26533	   	194.94	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	19BEXP|28VULN|3RCR|49ZMB|5AART|69DMG|7DMSP|9BPWR|aCDMG
60	64253 33112	   	194.72	DCR|3VULN|3DMG|1AART	125VULN|345DMG|5BPWR|6RCR|7MLV|8ERES|9AART|aLHND
