0	Index      	 *	Score 	Summary	Detail	
1	12644 64714	 * 	188.14	ACR|4VULN|3DMG	168BEXP|2RCR|3MBVNT|49FEWX|589aVULN|789DMG|89BPWR
2	13322 45341	 * 	181.80	DCR|2VULN|2AART|2DMG|1DUR	1BEXP|28DMG|3RPLT|4DUR|59AART|6aVULN|7RCR
3	12644 74724	 * 	181.49	ACR|3VULN|2DMG|1AART	18BEXP|2RCR|3MBVNT|46FEWX|568VULN|68BPWR|78DMG|9LHND|aAART
4	12644 64712	   	180.98	ACR|3VULN|3DMG|1DUR	168BEXP|2RCR|3MBVNT|49FEWX|589VULN|789DMG|89BPWR|aDUR
5	12674 44724	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	18BEXP|2RCR|3MBVNT|46DUR|58VULN|78DMG|8BPWR|9LHND|aAART
6	52641 73241	 * 	175.94	ACR|2VULN|2AART|1DMG|1CDMG	1DUST|2RCR|3MBVNT|4FEWX|56AART|7aVULN|8CDMG|9DMG
7	52641 73244	 * 	175.94	ACR|2AART|2DMG|1VULN|1CDMG	1DUST|2RCR|3MBVNT|4FEWX|56AART|7VULN|8CDMG|9aDMG
8	43122 21534	 * 	175.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1FEWX|29DMG|3MLV|4ASPD|5AART|6ZMB|7VULN|8RCR|aCDMG
9	22433 12561	 * 	174.39	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1aCDMG|24CGEN|3ZMB|5AART|69DMG|7VULN|8RCR
10	12644 64713	   	174.04	ACR|3VULN|3DMG	168BEXP|2RCR|3MBVNT|49FEWX|589VULN|789DMG|89BPWR|aMLV
11	26526 11312	 * 	173.98	DCR|3DMG|3CDMG|1AART|2ZMB	189CDMG|2MBVNT|3RMIN|459DMG|69ZMB|7AART|9BPWR|aRCR
12	12644 64711	   	173.94	ACR|3VULN|3DMG	168BEXP|2RCR|3MBVNT|49FEWX|589VULN|789DMG|89BPWR|aERES
13	12644 74731	   	173.94	ACR|3VULN|3DMG	18BEXP|2RCR|3MBVNT|46FEWX|568VULN|68BPWR|78aDMG|9LIT
14	12644 74741	   	173.94	ACR|3VULN|3DMG	18BEXP|2RCR|3MBVNT|469FEWX|568VULN|68BPWR|78aDMG
15	22521 31531	 * 	173.73	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1CDMG|2CGEN|356DUR|4DMG|7RCR|8AART|9aVULN
16	23521 31531	   	173.63	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	1CDMG|2ERES|356DUR|4DMG|7RCR|8AART|9aVULN
17	21125 34532	 * 	172.46	DCR|2DMG|2AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3MLV|45DMG|6aAART|7DUR|8VULN|9RCR
18	21125 36632	   	172.46	DCR|2DMG|2AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3MLV|45DMG|6aAART|7VULN|8DUR|9RCR
19	21325 34532	   	172.46	DCR|2DMG|2AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3RMIN|45DMG|6aAART|7DUR|8VULN|9RCR
20	62511 21216	 * 	172.46	ACR|5VULN|2CDMG|2DUR	1LIT|24CDMG|34DUR|4BPWR|5RCR|6789aVULN
21	12644 74713	 * 	171.93	ACR|3VULN|2DMG|1CDMG	18BEXP|2RCR|3MBVNT|46FEWX|568VULN|68BPWR|78DMG|9CDMG|aCGEN
22	12644 74714	   	171.93	ACR|3VULN|2DMG|1CDMG	18BEXP|2RCR|3MBVNT|46FEWX|568VULN|68BPWR|78DMG|9CDMG|aRMIN
23	22433 12563	 * 	171.93	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CDMG|24CGEN|3aZMB|5AART|69DMG|7VULN|8RCR
24	12644 74711	   	171.83	ACR|3VULN|2DMG|1CDMG	18BEXP|2RCR|3MBVNT|46FEWX|568VULN|68BPWR|78DMG|9CDMG|aERES
25	12644 74712	   	171.83	ACR|3VULN|2DMG|1CDMG	18BEXP|2RCR|3MBVNT|46FEWX|568VULN|68BPWR|78DMG|9CDMG|aDUST
26	26548 44143	 * 	171.33	DCR|2VULN|1AART|3CDMG|1DMG	157CDMG|2MBVNT|3RMIN|4AART|57BPWR|67VULN|8RCR|9DMG|aRCVC
27	26735 43311	 * 	170.67	ACR|2VULN|2DMG|3CDMG|1ASPD	158CDMG|2MBVNT|3ASPD|4RCR|68CGEN|78DMG|8BPWR|9aVULN
28	24141 32314	 * 	170.53	DCR|3VULN|2DMG|2CDMG	1aCDMG|2RPLT|3MLV|46aVULN|5LWND|7AIRHEA|8RCR|9aDMG|aBPWR
29	26735 33311	   	170.47	ACR|2VULN|2DMG|3CDMG|1ASPD	158CDMG|2MBVNT|3ASPD|4RCR|68ERES|78DMG|8BPWR|9aVULN
30	12674 44731	   	170.42	ACR|3DMG|2VULN|2DUR	18BEXP|2RCR|3MBVNT|46DUR|58VULN|78aDMG|8BPWR|9LIT
31	26548 44141	   	170.03	DCR|2VULN|1AART|3CDMG|1DMG	157CDMG|2MBVNT|3RMIN|4AART|57BPWR|67VULN|8RCR|9DMG|aLHND
32	26548 44142	   	170.03	DCR|2VULN|1AART|3CDMG|1DMG	157CDMG|2MBVNT|3RMIN|4AART|57BPWR|67VULN|8RCR|9DMG|aBELT
33	26548 44144	   	169.93	DCR|2VULN|1AART|3CDMG|1DMG	157CDMG|2MBVNT|3RMIN|4AART|57BPWR|67VULN|8RCR|9DMG|aCANHEL
34	12521 36153	 * 	169.31	ACR|2VULN|1AART|1DMG|2FLTHEA	1BEXP|2RCR|3aCGEN|4TLV|5LWND|6aFLTHEA|7DMG|8AART|9aVULN|aBPWR
35	12644 74744	   	169.29	ACR|3VULN|2DMG|1ZMB	18BEXP|2RCR|3MBVNT|469FEWX|568VULN|68BPWR|78DMG|aZMB
36	26541 73211	   	169.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2MBVNT|3RMIN|4AART|5VENICY|6RCR|7aVULN|8DUR|9DMG
37	26542 73211	   	169.21	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2MBVNT|3RMIN|4AART|5AIRHEL|6RCR|7aVULN|8DUR|9DMG
38	12231 36153	   	169.21	ACR|2VULN|1AART|1DMG|2FLTHEA	1BEXP|2RCR|3aTLV|4CGEN|5LWND|6aFLTHEA|7DMG|8AART|9aVULN|aBPWR
39	12261 36153	   	169.21	ACR|2VULN|1AART|1DMG|2FLTHEA	1BEXP|2RCR|3aTLV|4MLV|5LWND|6aFLTHEA|7DMG|8AART|9aVULN|aBPWR
40	42231 36153	   	169.21	ACR|2VULN|1AART|1DMG|2FLTHEA	1FEWX|2RCR|3aTLV|4CGEN|5LWND|6aFLTHEA|7DMG|8AART|9aVULN|aBPWR
41	12421 36153	   	169.11	ACR|2VULN|1AART|1DMG|2FLTHEA	1BEXP|2RCR|3aERES|4TLV|5LWND|6aFLTHEA|7DMG|8AART|9aVULN|aBPWR
42	52231 36153	   	169.11	ACR|2VULN|1AART|1DMG|2FLTHEA	1DUST|2RCR|3aTLV|4CGEN|5LWND|6aFLTHEA|7DMG|8AART|9aVULN|aBPWR
43	62236 33521	 * 	168.78	4VULN|3DMG|1AART|2CDMG	19aLIT|27CDMG|3NUKE|4AART|569aVULN|89aDMG|9aBPWR
44	52521 36233	   	168.61	ACR|2VULN|1AART|1DMG|2FLTHEA	1DUST|2RCR|3aCGEN|4TLV|5LWND|6aFLTHEA|7DMG|8aVULN|9AART|aBPWR
45	13355 21334	 * 	168.53	DCR|3DMG|1AART|1VULN|1CDMG	1BEXP|269DMG|3RPLT|4AART|5CDMG|7VULN|8LHND|aRCR
46	52231 36233	   	168.51	ACR|2VULN|1AART|1DMG|2FLTHEA	1DUST|2RCR|3aTLV|4CGEN|5LWND|6aFLTHEA|7DMG|8aVULN|9AART|aBPWR
47	12674 44713	   	168.41	ACR|2VULN|2DMG|1CDMG|2DUR	18BEXP|2RCR|3MBVNT|46DUR|58VULN|78DMG|8BPWR|9CDMG|aCGEN
48	12674 44714	   	168.41	ACR|2VULN|2DMG|1CDMG|2DUR	18BEXP|2RCR|3MBVNT|46DUR|58VULN|78DMG|8BPWR|9CDMG|aRMIN
49	52261 36233	   	168.41	ACR|2VULN|1AART|1DMG|2FLTHEA	1DUST|2RCR|3aTLV|4ERES|5LWND|6aFLTHEA|7DMG|8aVULN|9AART|aBPWR
50	52421 36233	   	168.41	ACR|2VULN|1AART|1DMG|2FLTHEA	1DUST|2RCR|3aERES|4TLV|5LWND|6aFLTHEA|7DMG|8aVULN|9AART|aBPWR
51	26121 14742	 * 	168.35	DCR|2VULN|2DMG|3CDMG|2DUR	169CDMG|2MBVNT|3MLV|49DMG|56DUR|69BPWR|7CANHEL|89VULN|aRCR
52	26321 14742	   	168.35	DCR|2VULN|2DMG|3CDMG|2DUR	169CDMG|2MBVNT|3CGEN|49DMG|56DUR|69BPWR|7CANHEL|89VULN|aRCR
53	12674 44711	   	168.31	ACR|2VULN|2DMG|1CDMG|2DUR	18BEXP|2RCR|3MBVNT|46DUR|58VULN|78DMG|8BPWR|9CDMG|aERES
54	12674 44712	   	168.31	ACR|2VULN|2DMG|1CDMG|2DUR	18BEXP|2RCR|3MBVNT|46DUR|58VULN|78DMG|8BPWR|9CDMG|aDUST
55	43122 21531	   	168.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1FEWX|29DMG|3MLV|4ASPD|5AART|6ZMB|7VULN|8RCR|aDUR
56	46222 21531	   	168.31	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1FEWX|2MLV|39DMG|4ASPD|5AART|6ZMB|7VULN|8RCR|aDUR
57	26821 14742	   	168.25	DCR|2VULN|2DMG|3CDMG|2DUR	169CDMG|2MBVNT|3TLV|49DMG|56DUR|69BPWR|7CANHEL|89VULN|aRCR
58	22433 12535	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|249CGEN|3ZMB|5AART|6DMG|7aVULN|8RCR
59	22433 12562	   	168.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|24CGEN|3ZMB|5AART|69DMG|7VULN|8RCR|aRPLT
60	21125 34533	   	167.95	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2LWND|3MLV|45DMG|6AART|7DUR|8VULN|9RCR|aASPD
61	21125 36633	   	167.95	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2LWND|3MLV|45DMG|6AART|7VULN|8DUR|9RCR|aASPD
62	21325 34533	   	167.95	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2LWND|3RMIN|45DMG|6AART|7DUR|8VULN|9RCR|aASPD
63	26548 44122	   	167.91	DCR|2VULN|1AART|3CDMG|1ZMB|1DUR	157CDMG|2MBVNT|3RMIN|4AART|57BPWR|67VULN|8RCR|9DUR|aZMB
64	42361 32241	   	167.87	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1FEWX|2RCR|3LHND|47DUR|5AART|6aVULN|8CDMG|9ZMB
65	52361 32241	   	167.77	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1DUST|2RCR|3LHND|47DUR|5AART|6aVULN|8CDMG|9ZMB
66	33332 41441	 * 	167.49	ACR|3VULN|2AART|2DMG|2MSE	17MSE|27DMG|3RPLT|4RCR|59AART|67aVULN|7BPWR|8FEWX
67	33332 41512	 * 	167.39	ACR|2AART|2VULN|2DMG|1CDMG|2MSE	17MSE|27DMG|3RPLT|4RCR|59AART|67VULN|7BPWR|8RCVC|aCDMG
68	42361 32222	 * 	167.19	ACR|2VULN|1AART|2CDMG|3DUR	1aFEWX|2RCR|3LHND|479DUR|5AART|6aVULN|8aCDMG|aBPWR
69	63421 42233	   	167.07	DCR|3VULN|2DMG|1ZMB	19LIT|29DMG|3RPLT|4RCVC|5ZMB|6DUST|7RCR|89aVULN|9BPWR
70	33332 41151	   	167.04	ACR|3VULN|2DMG|1AART|1ZMB|2MSE	17MSE|27DMG|3RPLT|4RCR|5AART|67aVULN|7BPWR|8ZMB|9MLV
71	33332 41161	   	167.04	ACR|3VULN|2DMG|1AART|1ZMB|2MSE	17MSE|27DMG|3RPLT|4RCR|5AART|67aVULN|7BPWR|8ZMB|9CGEN
72	52361 32222	   	166.99	ACR|2VULN|1AART|2CDMG|3DUR	1aDUST|2RCR|3LHND|479DUR|5AART|6aVULN|8aCDMG|aBPWR
73	33332 41131	   	166.94	ACR|3VULN|2DMG|1AART|1ZMB|2MSE	17MSE|27DMG|3RPLT|4RCR|5AART|67aVULN|7BPWR|8ZMB|9ERES
74	33332 41241	   	166.94	ACR|3VULN|2DMG|1AART|1ZMB|2MSE	17MSE|27DMG|3RPLT|4RCR|5AART|67aVULN|7BPWR|8ERES|9ZMB
75	63323 13254	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2DMG|3RCR|4ASPD|5RMIN|6aVULN|7LHND|8CDMG|9AART
76	63323 26214	   	166.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2DMG|3RCR|4ASPD|5RMIN|6FEWX|7CDMG|8aVULN|9AART
77	12263 16153	   	166.73	ACR|2VULN|2DMG|1AART	1BEXP|2RCR|3aTLV|4MLV|5VENICY|6aDMG|7LWND|8AART|9aVULN|aBPWR
78	12215 16153	   	166.63	ACR|2VULN|2DMG|1AART	1BEXP|2RCR|3aTLV|4BASICY|5ERES|6aDMG|7LWND|8AART|9aVULN|aBPWR
79	12423 16153	   	166.63	ACR|2VULN|2DMG|1AART	1BEXP|2RCR|3aERES|4TLV|5VENICY|6aDMG|7LWND|8AART|9aVULN|aBPWR
80	13322 45353	   	166.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|28DMG|3RPLT|4DUR|5AART|6VULN|7RCR|9CDMG|aCGEN
81	13322 45351	   	166.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|28DMG|3RPLT|4DUR|5AART|6VULN|7RCR|9CDMG|aDLOT
82	13322 45352	   	166.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|28DMG|3RPLT|4DUR|5AART|6VULN|7RCR|9CDMG|aDUST
83	42121 26332	 * 	166.30	ACR|3DMG|1AART|1VULN	18FEWX|2RCR|3RMIN|4LIT|58MLV|6AART|789DMG|8BPWR|aVULN
