0	Index      	 *	Score 	Summary	Detail	
1	31325 56311	 * 	208.46	DCR|3VULN|2DMG|1AART|2CDMG|2DUR	147VULN|2AART|3aDUR|57CDMG|67DMG|7BPWR|8LHND|9RCR
2	31353 63362	 * 	206.35	DCR|3VULN|3DMG|1AART|2DUR	14aVULN|2AART|34DUR|4BPWR|579DMG|6ERES|8RCR
3	52134 36128	 * 	205.82	DCR|4VULN|3DMG|1AART	159DMG|2MBVNT|379aVULN|4BELT|6AART|8RCR|9BPWR
4	52134 36141	   	205.82	DCR|4VULN|3DMG|1AART	15aDMG|2MBVNT|379aVULN|4BELT|6AART|8RCR|aBPWR
5	52134 36181	 * 	203.17	DCR|3VULN|3DMG|2AART	15aDMG|2MBVNT|37aVULN|4BELT|69AART|8RCR|aBPWR
6	31325 56312	   	203.07	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	147VULN|2AART|3DUR|57CDMG|67DMG|7BPWR|8LHND|9RCR|aMBVNT
7	31323 63362	   	200.96	DCR|3VULN|3DMG|1AART|1DUR	14aVULN|2AART|3DUR|579DMG|6ERES|8RCR
8	31315 56233	 * 	200.27	DCR|2VULN|2DMG|1AART|3CDMG|3DUR	17VULN|2AART|348DUR|579CDMG|67DMG|7BPWR|aRCR
9	31355 52233	   	199.58	DCR|3VULN|1AART|1DMG|2CDMG|2DUR|1ZMB	149VULN|2AART|34DUR|49BPWR|59CDMG|6DMG|7ZMB|89LIT|aRCR
10	31353 25111	   	197.84	DCR|2AART|2VULN|2DMG|1CDMG|2DUR	14VULN|2aAART|34DUR|4BPWR|57DMG|6BEXP|8CDMG|9RCR
11	31315 56311	   	196.63	DCR|2VULN|2DMG|1AART|2CDMG|3DUR	17VULN|2AART|34aDUR|57CDMG|67DMG|7BPWR|8LHND|9RCR
12	31325 52233	   	194.18	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	149VULN|2AART|3DUR|59CDMG|6DMG|7ZMB|89LIT|9BPWR|aRCR
13	31353 25112	   	193.34	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	14VULN|2AART|34DUR|4BPWR|57DMG|6BEXP|8CDMG|9RCR|aASPD
14	52134 36111	   	193.33	DCR|3VULN|3DMG|1AART	15aDMG|2MBVNT|37aVULN|4BELT|6AART|8RCR|9RCVC|aBPWR
15	52134 36123	   	193.03	DCR|3VULN|3DMG|1AART	159DMG|2MBVNT|379VULN|4BELT|6AART|8RCR|9BPWR|aRCVC
16	31315 56312	   	192.71	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17VULN|2AART|34DUR|57CDMG|67DMG|7BPWR|8LHND|9RCR|aMBVNT
17	31323 25111	   	192.45	DCR|2AART|2VULN|2DMG|1CDMG|1DUR	14VULN|2aAART|3DUR|57DMG|6BEXP|8CDMG|9RCR
18	36253 35111	   	191.95	DCR|2AART|2VULN|2DMG|1CDMG|1DUR	14VULN|24FEWX|3aAART|4BPWR|57DMG|6DUR|8CDMG|9RCR
19	52134 36121	   	191.72	DCR|3VULN|3DMG|1AART	159DMG|2MBVNT|379VULN|4BELT|6AART|8RCR|9BPWR|aLWND
20	52134 36125	   	191.72	DCR|3VULN|3DMG|1AART	159DMG|2MBVNT|379VULN|4BELT|6AART|8RCR|9BPWR|aCGEN
21	52134 36127	   	191.72	DCR|3VULN|3DMG|1AART	159DMG|2MBVNT|379VULN|4BELT|6AART|8RCR|9BPWR|aRPLT
22	31353 63361	   	190.70	DCR|3DMG|2VULN|1AART|2DUR	14VULN|2AART|34DUR|4BPWR|579DMG|6ERES|8RCR|aFEWX
23	31313 63362	   	190.60	DCR|3DMG|2VULN|1AART|2DUR	1aVULN|2AART|34DUR|579DMG|6ERES|8RCR
24	31353 63311	   	190.60	DCR|3VULN|2DMG|1AART|2DUR	14aVULN|2AART|34DUR|4BPWR|57DMG|6ERES|8RCR|9DLOT
25	31353 63363	   	190.60	DCR|3DMG|2VULN|1AART|2DUR	14VULN|2AART|34DUR|4BPWR|579DMG|6aERES|8RCR
26	31353 63343	 * 	189.90	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	14VULN|2AART|34DUR|4BPWR|57DMG|6ERES|8RCR|9aZMB
27	31313 35364	 * 	189.82	DCR|3DMG|2VULN|1AART|3DUR	19VULN|2AART|346DUR|589DMG|7RPLT|9BPWR|aRCR
28	52271 24218	   	188.20	DCR|3DMG|2VULN|1AART|2DUR	17aDMG|2MBVNT|3aDUR|47DUST|57ERES|6AART|7aBPWR|8RCR|9aVULN
29	21325 56212	 * 	188.11	DCR|2AART|2DMG|1VULN|2CDMG|1DUR|1ASPD	17DUST|23AART|4VULN|57CDMG|67DMG|7BPWR|8DUR|9RCR|aASPD
30	52162 21213	   	188.05	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	1aDMG|2MBVNT|346VULN|5ASPD|7DUR|8RCR|9AART
31	31323 25112	   	187.94	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	14VULN|2AART|3DUR|57DMG|6BEXP|8CDMG|9RCR|aASPD
32	33522 24314	   	187.67	DCR|3DMG|2VULN|1AART|2ASPD|1SELL	1aVULN|2ERES|3aASPD|45aDMG|6RMIN|7SELL|8RCR|9AART|aBPWR
33	52143 43713	   	187.57	DCR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|369VULN|4ZMB|5AART|7FEWX|8RCR
34	52143 46813	   	187.47	DCR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|369VULN|4ZMB|5AART|7LEGI|8RCR
35	36253 35112	   	187.44	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	14VULN|24FEWX|3AART|4BPWR|57DMG|6DUR|8CDMG|9RCR|aASPD
36	52134 36144	   	186.97	DCR|3VULN|2DMG|1AART|1ZMB	15DMG|2MBVNT|379VULN|4BELT|6AART|8RCR|aZMB
37	31323 63366	   	186.61	DCR|3DMG|2VULN|1AART|1DUR	14VULN|2AART|3DUR|579DMG|6ERES|8RCR|aRCVC
38	31353 63333	   	186.49	DCR|2AART|2VULN|2DMG|2DUR	14VULN|2aAART|34DUR|4BPWR|57DMG|6ERES|8RCR|9RPLT
39	31353 25113	   	186.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14VULN|2AART|34DUR|4BPWR|57DMG|6BEXP|8CDMG|9RCR|aFEWX
40	31353 25116	   	186.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14VULN|2AART|34DUR|4BPWR|57DMG|6BEXP|8CDMG|9RCR|aRMIN
41	31353 63312	   	186.39	DCR|2AART|2VULN|2DMG|2DUR	14VULN|2aAART|34DUR|4BPWR|57DMG|6ERES|8RCR|9DLOT
42	31325 55311	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14VULN|2AART|3aDUR|5CDMG|67DMG|8LHND|9RCR
43	31353 25432	   	186.30	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14VULN|2AART|34DUR|4BPWR|57DMG|6BEXP|8SNIHEL|9RCR|aCDMG
44	31353 63341	   	186.05	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14VULN|2AART|34DUR|4BPWR|57DMG|6ERES|8RCR|9ZMB|aLHND
45	31353 63342	   	186.05	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14VULN|2AART|34DUR|4BPWR|57DMG|6ERES|8RCR|9ZMB|aCGEN
46	31353 63353	   	185.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14VULN|2AART|34DUR|4BPWR|57DMG|6ERES|8RCR|9TLV|aZMB
47	31325 45333	   	185.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2AART|3DUR|5CDMG|6FEWX|7RCR|8RPLT|9aDMG
48	52143 11546	   	185.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|2MBVNT|39VULN|4ZMB|5AART|6CGEN|79BEXP|8RCR|9BPWR|aCDMG
49	52143 33546	   	185.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|2MBVNT|39VULN|4ZMB|5AART|6BEXP|79CGEN|8RCR|9BPWR|aCDMG
50	52143 13546	   	185.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	19DMG|2MBVNT|39VULN|4ZMB|5AART|6CGEN|79DUST|8RCR|9BPWR|aCDMG
51	21325 56211	 * 	185.45	DCR|3AART|2DMG|1VULN|2CDMG|1DUR	17DUST|23aAART|4VULN|57CDMG|67DMG|7BPWR|8DUR|9RCR
52	31323 63361	   	185.31	DCR|3DMG|2VULN|1AART|1DUR	14VULN|2AART|3DUR|579DMG|6ERES|8RCR|aFEWX
53	31323 63364	   	185.31	DCR|3DMG|2VULN|1AART|1DUR	14VULN|2AART|3DUR|579DMG|6ERES|8RCR|aCGEN
54	31323 63311	   	185.21	DCR|3VULN|2DMG|1AART|1DUR	14aVULN|2AART|3DUR|57DMG|6ERES|8RCR|9DLOT
55	31323 63356	   	185.21	DCR|3VULN|2DMG|1AART|1DUR	14aVULN|2AART|3DUR|57DMG|6ERES|8RCR|9TLV
56	31323 63363	   	185.21	DCR|3DMG|2VULN|1AART|1DUR	14VULN|2AART|3DUR|579DMG|6aERES|8RCR
57	36253 25111	   	185.01	DCR|2AART|2VULN|2DMG|1CDMG	14VULN|24FEWX|3aAART|4BPWR|57DMG|6BEXP|8CDMG|9RCR
58	11362 42362	   	184.66	DCR|3DMG|2AART|1VULN|2DUR	1LHND|27AART|36DUR|469DMG|5RMIN|6BPWR|8RCR|aVULN
59	21366 35122	 * 	184.52	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD|1DUR	1DUST|23AART|47DMG|5RCR|6DUR|8CDMG|9VULN|aASPD
60	21366 35131	   	184.52	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD|1DUR	1DUST|23AART|47DMG|5RCR|6DUR|8CDMG|9ASPD|aVULN
61	31323 63343	   	184.51	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	14VULN|2AART|3DUR|57DMG|6ERES|8RCR|9aZMB
62	31325 54311	   	184.36	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	147VULN|2AART|3aDUR|5CDMG|6DMG|8LHND|9RCR
63	52823 44118	   	184.20	DCR|3VULN|2DMG|1AART|2DUR	18DMG|2MBVNT|3RMIN|4LHND|5AART|689VULN|78DUR|8BPWR|aRCR
64	52843 43118	   	184.20	DCR|3VULN|2DMG|1AART|2DUR	18DMG|2MBVNT|3RMIN|4FEWX|5AART|68DUR|789VULN|8BPWR|aRCR
65	31353 25136	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	14VULN|2AART|34DUR|4BPWR|57DMG|6BEXP|8CDMG|9LHND|aRCR
66	31315 52233	   	183.82	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ZMB	19VULN|2AART|34DUR|59CDMG|6DMG|7ZMB|89LIT|9BPWR|aRCR
67	52134 11536	   	183.62	DCR|3DMG|2VULN|1AART|1CDMG	157DMG|2MBVNT|37VULN|4BELT|67TLV|7BPWR|8AART|9CDMG|aRCR
68	52134 21536	   	183.62	DCR|3DMG|2VULN|1AART|1CDMG	157DMG|2MBVNT|37VULN|4BELT|67ERES|7BPWR|8AART|9CDMG|aRCR
69	52143 42533	   	183.57	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1DMG|2MBVNT|368VULN|4ZMB|57AART|9DUR|aRCR
70	52168 22113	   	183.51	DCR|3VULN|2DMG|1AART|1DUR	1aDMG|2MBVNT|345VULN|6DUR|7RCR|8RMIN|9AART
71	52143 11486	   	183.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2MBVNT|38VULN|4ZMB|5AART|6CGEN|78BEXP|8BPWR|9RCR|aCDMG
72	52143 33486	   	183.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2MBVNT|38VULN|4ZMB|5AART|6BEXP|78CGEN|8BPWR|9RCR|aCDMG
73	52143 73713	   	183.36	DCR|2VULN|2AART|2DMG|1ZMB	1aDMG|2MBVNT|39VULN|4ZMB|56AART|7FEWX|8RCR
74	66143 32311	   	183.21	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCVC|23DMG|3BPWR|4aVULN|5CGEN|6DUR|7CDMG|8RCR|9AART
