0	Index      	 *	Score 	Summary	Detail	
1	11315 52363	 * 	192.19	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	1FEWX|25aDMG|3AART|45CDMG|5BPWR|6RCVC|7RCR|8DUR|9VULN
2	11333 32312	 * 	191.91	DCR|3VULN|2AART|2DMG	18FEWX|28DMG|39AART|4MLV|5LWND|68aVULN|7RCR|8BPWR
3	41154 32312	   	191.21	DCR|3VULN|2AART|2DMG	18LWND|28DMG|3TLV|49AART|5FEWX|68aVULN|7RCR|8BPWR
4	51154 32312	   	191.21	DCR|3VULN|2AART|2DMG	18LHND|28DMG|3TLV|49AART|5FEWX|68aVULN|7RCR|8BPWR
5	11353 32416	 * 	189.71	DCR|2AART|2VULN|2DMG|1CDMG	1FEWX|2aDMG|38AART|46VULN|5RMIN|7RCR|9CDMG
6	11356 32316	   	189.61	DCR|2AART|2VULN|2DMG|1CDMG	1FEWX|2aDMG|38AART|46VULN|5TLV|7RCR|9CDMG
7	51161 32263	 * 	189.37	DCR|3DMG|2VULN|1AART|1ZMB	1LHND|24aDMG|3TLV|59VULN|6AART|7RCR|8ZMB
8	24413 51443	 * 	188.65	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1ZMB	1DMSP|2AART|3RCR|4MBVNT|57ASPD|67DMG|7BPWR|8ZMB|9VULN|aCDMG
9	21311 32316	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DMSP|2ZMB|3LHND|4aDMG|58VULN|6AART|7RCR|9CDMG
10	11333 32334	   	187.41	DCR|3VULN|2DMG|1AART|1DUR	18FEWX|28DMG|3AART|4MLV|5LWND|68aVULN|7RCR|8BPWR|9DUR
11	11353 32263	 * 	187.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3AART|469VULN|5RMIN|7RCR|8ZMB|aCDMG
12	11354 32263	   	187.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3AART|469VULN|5NUKE|7RCR|8ZMB|aCDMG
13	11356 32263	   	187.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|2DMG|3AART|469VULN|5TLV|7RCR|8ZMB|aCDMG
14	51161 32316	 * 	185.88	DCR|3DMG|2AART|1VULN|1CDMG	1LHND|24aDMG|3TLV|5VULN|68AART|7RCR|9CDMG
15	11311 52363	   	185.77	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|25aDMG|3AART|4CDMG|6RCVC|7RCR|8DUR|9VULN
16	11353 32152	   	185.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1FEWX|2aDMG|3AART|46VULN|5RMIN|7RCR|8CDMG|9ASPD
17	11354 32152	   	185.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1FEWX|2aDMG|3AART|46VULN|5NUKE|7RCR|8CDMG|9ASPD
18	11356 32152	   	185.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1FEWX|2aDMG|3AART|46VULN|5TLV|7RCR|8CDMG|9ASPD
19	11353 32136	 * 	184.58	DCR|2VULN|2DMG|1AART|2CDMG	1FEWX|2aDMG|3AART|46VULN|5RMIN|7RCR|89CDMG
20	11356 32136	   	184.48	DCR|2VULN|2DMG|1AART|2CDMG	1FEWX|2aDMG|3AART|46VULN|5TLV|7RCR|89CDMG
21	24235 32363	   	183.87	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DMSP|2AART|36aDMG|4FEWX|5CDMG|7RCR|8DUR|9VULN
22	11315 52362	   	183.47	DCR|2DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	1FEWX|25DMG|3AART|45CDMG|5BPWR|6RCVC|7RCR|8DUR|9VULN|aASPD
23	11353 32156	   	183.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2DMG|3AART|46aVULN|5RMIN|7RCR|8CDMG|9ASPD
24	51161 32353	   	183.23	DCR|3DMG|2AART|1VULN|1ZMB	1LHND|24aDMG|3TLV|5VULN|68AART|7RCR|9ZMB
25	11335 52233	   	183.13	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1FEWX|2aDMG|35AART|4MLV|6VULN|7RCR|8ZMB|9CDMG
26	11353 32453	   	183.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1FEWX|2DMG|38AART|46VULN|5RMIN|7RCR|9ZMB|aCDMG
27	11356 32353	   	183.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1FEWX|2DMG|38AART|46VULN|5TLV|7RCR|9ZMB|aCDMG
28	11312 32256	   	182.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|26DMG|3AART|4CDMG|5LHND|7DUR|8RCR|9aVULN
29	11315 12252	   	182.63	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1FEWX|25DMG|3AART|45CDMG|5BPWR|6BEXP|7DUR|8RCR|9VULN|aZMB
30	24413 51142	 * 	181.58	ACR|2VULN|2DMG|1AART|2ASPD	1DMSP|2AART|3RCR|4MBVNT|57ASPD|67DMG|7BPWR|8LHND|9aVULN
31	24413 51242	   	181.58	ACR|2VULN|2DMG|1AART|2ASPD	1DMSP|2AART|3RCR|4MBVNT|57ASPD|67DMG|7BPWR|8FEWX|9aVULN
32	51161 32152	   	181.37	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|24aDMG|3TLV|5VULN|6AART|7RCR|8CDMG|9ASPD
33	21311 32416	   	181.33	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB	1DMSP|2ZMB|3LHND|4aDMG|5VULN|68AART|7RCR|9CDMG
