0	Index      	 *	Score 	Summary	Detail	
1	56363 33331	 * 	213.29	DCR|2VULN|2ASPD|1AART|2CDMG|2DUR	18VULN|28ASPD|3AME|46CDMG|58DUR|7BELT|8BPWR|9RCR|aAART
2	56531 22332	 * 	212.61	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	135VULN|29ASPD|4ZMB|6LIT|7RCR|8DMG|aDUR
3	54112 34122	 * 	211.66	ACR|2VULN|2DMG|2ASPD|1AART|1CDMG	19VULN|2RCR|39DMG|4BEXP|5AART|6CDMG|79ASPD|8RMIN|9BPWR|aLHND
4	54112 34121	   	211.56	ACR|2VULN|2DMG|2ASPD|1AART|1CDMG	19VULN|2RCR|39DMG|4BEXP|5AART|6CDMG|79ASPD|8RMIN|9BPWR|aERES
5	54112 34123	   	211.56	ACR|2VULN|2DMG|2ASPD|1AART|1CDMG	19VULN|2RCR|39DMG|4BEXP|5AART|6CDMG|79ASPD|8RMIN|9BPWR|aDUST
6	65132 24331	 * 	211.12	DCR|2VULN|2DMG|1ASPD|1NUKE|2DUR	1SNIFST|29DUR|3ASPD|45DMG|67VULN|8RCR|aNUKE
7	56512 22133	 * 	209.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	13aVULN|2ASPD|45CDMG|6DUR|7DMG|8RCR|9CGEN
8	52624 21211	 * 	209.62	DCR|4VULN|1AART|1DMG|1DUR	1579VULN|2MLV|3DUR|4AART|6RCR|8CGEN|aDMG
9	51624 21211	   	209.52	DCR|4VULN|1AART|1DMG|1DUR	1579VULN|2ERES|3DUR|4AART|6RCR|8CGEN|aDMG
10	55324 21211	   	209.52	DCR|4VULN|1AART|1DMG|1DUR	1579VULN|2DUR|3AART|4TLV|6RCR|8CGEN|aDMG
11	51624 21311	   	209.42	DCR|4VULN|1AART|1DMG|1DUR	1579VULN|2ERES|3DUR|4AART|6RCR|8TLV|aDMG
12	21316 42142	 * 	209.03	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CGEN|3DMG|4CDMG|56VULN|7aASPD|8RCR|9DUR
13	25316 32142	   	208.93	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2ERES|3DMG|4CDMG|56VULN|7aASPD|8RCR|9DUR
14	26316 32142	   	208.93	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2TLV|3DMG|4CDMG|56VULN|7aASPD|8RCR|9DUR
15	21312 35543	 * 	208.51	DCR|3DMG|1AART|1VULN|2CDMG|1ZMB	1ZMB|2CGEN|38aDMG|45CDMG|6VULN|7AART|9RCR
16	22111 55323	 * 	206.68	DCR|4VULN|2DMG|2ZMB	16ZMB|2DMSP|38DMG|4DUST|569aVULN|6BPWR|7RCR
17	56512 22122	 * 	206.13	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR	13VULN|2aASPD|45CDMG|6DUR|7DMG|8RCR|9FEWX
18	52624 21212	 * 	205.81	DCR|4VULN|1AART|1CDMG|1DUR	1579VULN|2MLV|3DUR|4AART|6RCR|8CGEN|aCDMG
19	51624 21212	   	205.71	DCR|4VULN|1AART|1CDMG|1DUR	1579VULN|2ERES|3DUR|4AART|6RCR|8CGEN|aCDMG
20	55324 21212	   	205.71	DCR|4VULN|1AART|1CDMG|1DUR	1579VULN|2DUR|3AART|4TLV|6RCR|8CGEN|aCDMG
21	51624 21312	   	205.61	DCR|4VULN|1AART|1CDMG|1DUR	1579VULN|2ERES|3DUR|4AART|6RCR|8TLV|aCDMG
22	56321 15311	 * 	205.55	DCR|3VULN|2DMG|1ASPD|1DUR	145VULN|2ASPD|3AME|6DUST|7RCR|8aDMG|9DUR
23	22111 55353	 * 	205.51	DCR|2VULN|2DMG|3ZMB|1ASPD	16aZMB|2DMSP|38DMG|4DUST|56VULN|6BPWR|7RCR|9ASPD
24	55332 33362	 * 	205.49	DCR|3ASPD|2VULN|1AART|3DUR	19VULN|289DUR|3AART|4AELBLL|5ERES|679ASPD|9BPWR|aRCR
25	56531 22333	   	204.31	DCR|3VULN|2ASPD|1DMG|1ZMB	135VULN|29ASPD|4ZMB|6LIT|7RCR|8DMG|aCGEN
26	26316 32133	   	204.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2TLV|3DMG|4CDMG|56aVULN|7ASPD|8RCR|9CGEN
27	56531 22331	   	204.21	DCR|3VULN|2ASPD|1DMG|1ZMB	135VULN|29ASPD|4ZMB|6LIT|7RCR|8DMG|aDUST
28	21316 42141	 * 	204.18	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CGEN|3DMG|4CDMG|56VULN|7ASPD|8RCR|9DUR|aMDPS
29	21316 42132	 * 	204.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|29CGEN|3aDMG|4CDMG|56VULN|7ASPD|8RCR
30	25316 32141	   	204.08	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2ERES|3DMG|4CDMG|56VULN|7ASPD|8RCR|9DUR|aMDPS
31	26316 32141	   	204.08	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2TLV|3DMG|4CDMG|56VULN|7ASPD|8RCR|9DUR|aMDPS
32	21316 42162	   	203.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|2CGEN|3aDMG|4CDMG|56VULN|7ASPD|8RCR|9ERES
33	25316 32132	   	203.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|2ERES|3aDMG|4CDMG|56VULN|7ASPD|8RCR|9CGEN
34	25316 32162	   	203.89	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|29ERES|3aDMG|4CDMG|56VULN|7ASPD|8RCR
35	26316 32162	   	203.89	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1ZMB|2TLV|3aDMG|4CDMG|56VULN|7ASPD|8RCR|9ERES
36	56321 15312	 * 	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	145aVULN|2ASPD|3AME|6DUST|7RCR|8DMG|9DUR
37	54632 22322	   	203.38	ACR|2VULN|2DMG|2ASPD|1AART|1DUR|1SELL	19VULN|2RCR|3SELL|49ASPD|5ERES|6DUR|7AART|89DMG|9BPWR|aMLV
38	54632 22323	   	203.38	ACR|2VULN|2DMG|2ASPD|1AART|1DUR|1SELL	19VULN|2RCR|3SELL|49ASPD|5ERES|6DUR|7AART|89DMG|9BPWR|aBEXP
39	23523 15323	   	203.36	DCR|4VULN|2DMG|1ZMB	1ZMB|25DUST|359aVULN|4DMSP|5BPWR|68DMG|7RCR
40	54632 22321	   	203.28	ACR|2VULN|2DMG|2ASPD|1AART|1DUR|1SELL	19VULN|2RCR|3SELL|49ASPD|5aERES|6DUR|7AART|89DMG|9BPWR
41	56521 22332	   	202.18	DCR|3VULN|2ASPD|1DMG|1AAC|1DUR	135VULN|29ASPD|4AAC|6LIT|7RCR|8DMG|aDUR
42	65132 24321	   	202.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1SNIFST|2DUR|3ASPD|45DMG|67VULN|8RCR|9CDMG|aLWND
43	65132 24323	   	202.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1SNIFST|2DUR|3ASPD|45DMG|67VULN|8RCR|9CDMG|aCGEN
44	56531 22223	 * 	202.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	135VULN|2ASPD|4ZMB|6LIT|7RCR|8DUST|9DUR|aAART
45	65132 24322	   	201.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1SNIFST|2DUR|3ASPD|45DMG|67VULN|8RCR|9CDMG|aTLV
