0	Index      	 *	Score 	Summary	Detail	
1	22114 25115	 * 	235.62	DCR|3VULN|1AART|2CDMG|1DMG|1NUKE|1DUR	1AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aNUKE
2	22114 25116	 * 	233.14	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	1AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9aDMG
3	22114 12356	 * 	228.12	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aZMB
4	22115 25115	   	228.09	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG|1DUR	1AART|2FEWX|3CDMG|456VULN|7RCR|8DUR|9DMG|aNUKE
5	22115 25116	   	225.61	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1AART|2FEWX|3CDMG|456VULN|7RCR|8DUR|9aDMG
6	22114 12351	   	224.56	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aAAC
7	26114 12351	   	224.46	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aAAC
8	22114 25113	   	222.33	DCR|3VULN|1AART|2CDMG|1DMG|1AAC|1DUR	1AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aAAC
9	26114 25113	   	222.23	DCR|3VULN|1AART|2CDMG|1DMG|1AAC|1DUR	1AART|2DUST|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aAAC
10	22114 12653	   	222.09	DCR|2VULN|2DMG|1AART|2CDMG|1AAC|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|89DMG|aAAC
11	22413 45112	 * 	221.54	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG|1DUR	14AART|2FEWX|37DMG|5ASPD|6DUR|8RCR|9CDMG|aVULN
12	22115 12356	   	220.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aZMB
13	22114 12352	   	217.79	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aLIT
14	22114 12354	   	217.79	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aRPLT
15	22114 12353	   	217.69	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aTLV
16	22114 12355	   	217.69	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR|1SELL	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aSELL
17	26114 12352	   	217.69	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aLIT
18	26114 12353	   	217.59	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9DMG|aTLV
19	22413 52116	 * 	217.29	DCR|2AART|2ASPD|1VULN|2CDMG|1DMG	14AART|2FEWX|3DMG|56ASPD|7VULN|8RCR|9aCDMG
20	22115 12351	   	217.03	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aAAC
21	26115 12351	   	216.93	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AART|2DUST|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aAAC
22	31262 41215	 * 	216.56	DCR|3VULN|2ASPD|1DMG|1CDMG|1ZMB	1CDMG|26ASPD|3LWND|4ZMB|58aVULN|7DMG|9RCR
23	22114 12314	 * 	216.45	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aDMG
24	22114 12614	 * 	216.45	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8aDMG|9MDPS
25	22114 12616	 * 	216.45	DCR|2VULN|2AART|1MDPS|2CDMG|1DMG|1DUR	1aAART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS
26	26114 12314	   	216.35	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aDMG
27	22114 42351	   	216.26	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	1AART|2FEWX|35CDMG|45VULN|5BPWR|6LWND|7RCR|8ASPD|9DMG|aAAC
28	22114 52351	   	216.16	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1AAC	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUST|7RCR|8ASPD|9DMG|aAAC
29	22114 25112	   	215.56	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aAME
