0	Index      	 *	Score 	Summary	Detail	
1	33635 11253	 * 	218.66	DCR|3DMG|2VULN|1AART|2CDMG|1AAC	1aLHND|2AAC|38CDMG|45aDMG|6aVULN|7AART|9RCR|aBPWR
2	66231 12151	 * 	213.80	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19LWND|2DUR|38DMSP|4AART|59DMG|6RCR|79VULN|9BPWR|aASPD
3	26331 22432	 * 	211.76	DCR|5VULN|1ASPD|1DMG	1AME|2DLOT|34578VULN|6RCR|9ASPD|aDMG
4	61231 16152	   	211.41	DCR|3DMG|2VULN|1AART|1ZMB	179LWND|27DUST|3DMSP|4AART|579DMG|6RCR|79BPWR|89VULN|aZMB
5	33635 11153	   	211.23	DCR|3DMG|2VULN|1AART|1CDMG|1AAC	18aLHND|2AAC|3CDMG|45aDMG|6aVULN|7AART|9RCR|aBPWR
6	66231 12152	 * 	209.81	DCR|2VULN|2AART|2DMG|1DUR	19LWND|2DUR|38DMSP|4aAART|59DMG|6RCR|79VULN|9BPWR
7	61231 12551	   	206.57	DCR|2VULN|2DMG|1AART|1ASPD	19LWND|2DUST|3DMSP|4AART|59DMG|6RCR|79VULN|8RCVC|9BPWR|aASPD
8	32515 15332	 * 	205.59	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR|1SELL	19LHND|2SELL|39ASPD|4RMIN|5DMG|6CDMG|79VULN|8RCR|9BPWR|aDUR
9	32532 15332	 * 	205.59	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR|1SELL	19LHND|2SELL|39ASPD|4DMG|5RMIN|6CDMG|79VULN|8RCR|9BPWR|aDUR
10	62532 15332	 * 	205.59	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR|1SELL	19LWND|2SELL|39ASPD|4DMG|5RMIN|6CDMG|79VULN|8RCR|9BPWR|aDUR
11	65231 12151	   	205.49	DCR|2VULN|2DMG|1AART|1ASPD	19LWND|2FEWX|38DMSP|4AART|59DMG|6RCR|79VULN|9BPWR|aASPD
12	33633 11253	   	205.46	DCR|2VULN|2DMG|1AART|2CDMG|1AAC	1aLHND|2AAC|38CDMG|4aDMG|5RCVC|6aVULN|7AART|9RCR|aBPWR
13	61231 12151	   	205.39	DCR|2VULN|2DMG|1AART|1ASPD	19LWND|2DUST|38DMSP|4AART|59DMG|6RCR|79VULN|9BPWR|aASPD
14	61231 14151	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	19LWND|27DUST|3DMSP|4AART|59DMG|6RCR|89VULN|9BPWR|aASPD
15	26331 22533	 * 	204.02	DCR|4VULN|1DMG|1CDMG|1ZMB	1AME|2DLOT|3457VULN|6RCR|8CDMG|9DMG|aZMB
16	52215 15333	 * 	203.95	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR|1AAC|1SELL	1AAC|29DUR|3SELL|4RMIN|5DMG|69CDMG|79VULN|8RCR|9BPWR|aASPD
17	52232 15333	 * 	203.95	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR|1AAC|1SELL	1AAC|29DUR|3SELL|4DMG|5RMIN|69CDMG|79VULN|8RCR|9BPWR|aASPD
18	16321 12452	 * 	202.76	DCR|3VULN|2DMG|1AART|1AAC	19TLV|2DLOT|3AAC|49DMG|579VULN|6RCR|8LEGI|9BPWR|aAART
19	61231 12552	   	202.58	DCR|2VULN|2AART|2DMG	19LWND|2DUST|3DMSP|4aAART|59DMG|6RCR|79VULN|8RCVC|9BPWR
20	26331 21135	 * 	202.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1AME|2DLOT|3458VULN|6RCR|7DUR|9CDMG|aASPD
21	16531 21135	   	201.90	DCR|4VULN|1ASPD|1CDMG|1DUR	1TLV|2DLOT|3458VULN|6RCR|7DUR|9CDMG|aASPD
22	65231 12152	   	201.50	DCR|2VULN|2AART|2DMG	19LWND|2FEWX|38DMSP|4aAART|59DMG|6RCR|79VULN|9BPWR
23	61231 12152	   	201.40	DCR|2VULN|2AART|2DMG	19LWND|2DUST|38DMSP|4aAART|59DMG|6RCR|79VULN|9BPWR
24	61231 14152	   	201.30	DCR|2VULN|2AART|2DMG	19LWND|27DUST|3DMSP|4aAART|59DMG|6RCR|89VULN|9BPWR
25	16321 12152	 * 	201.02	DCR|4VULN|1AART|1DMG|1AAC	1TLV|2DLOT|3AAC|4DMG|578aVULN|6RCR|9AART
26	16361 12152	 * 	201.02	DCR|4VULN|1AART|1ASPD|1AAC	1TLV|2DLOT|3AAC|4ASPD|578aVULN|6RCR|9AART
27	61231 16151	   	200.98	DCR|3DMG|2VULN|1AART	179LWND|27DUST|3DMSP|4AART|579DMG|6RCR|79BPWR|89VULN|aERES
28	61231 16153	   	200.98	DCR|3DMG|2VULN|1AART	179LWND|27aDUST|3DMSP|4AART|579DMG|6RCR|79BPWR|89VULN
29	32515 41233	 * 	200.62	DCR|2VULN|2DMG|2ASPD|1SELL	18LHND|2SELL|38ASPD|4RMIN|58DMG|6DMSP|7RCR|8BPWR|9aVULN
30	32532 41233	 * 	200.62	DCR|2VULN|2DMG|2ASPD|1SELL	18LHND|2SELL|38ASPD|48DMG|5RMIN|6DMSP|7RCR|8BPWR|9aVULN
31	62532 41233	 * 	200.62	DCR|2VULN|2DMG|2ASPD|1SELL	18LWND|2SELL|38ASPD|48DMG|5RMIN|6DMSP|7RCR|8BPWR|9aVULN
32	32532 15336	 * 	200.62	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC|1SELL	19LHND|2SELL|39ASPD|4DMG|5RMIN|6CDMG|79VULN|8RCR|9BPWR|aAAC
33	35613 23326	 * 	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|2FEWX|3CDMG|45aVULN|6LWND|7RCR|8ASPD|9AART
34	31613 23326	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|2DUST|3CDMG|45aVULN|6LWND|7RCR|8ASPD|9AART
35	31613 23426	 * 	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2DUST|3CDMG|45aVULN|6LWND|7RCR|8DMG|9AART
36	61613 13326	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1LWND|2DUST|3CDMG|45aVULN|6LHND|7RCR|8ASPD|9AART
37	51112 62336	 * 	199.22	DCR|3VULN|2DMG|2CDMG|1AAC	1AAC|2RPLT|379VULN|4LHND|59DMG|69CDMG|8RMIN|9BPWR|aRCR
